,GDP_water_all,perc_fff,d_plan,w_plan,base_w_stress,invest,tax_break,corruption,perc_vote,innovate,climate_real,hs_ed,pop_dens,w_quality,debt,flood_pop,flood_build,flood_car,impervious,beds_1000,alone_65,child_5,health_ins,older_1999,mobile_home,rent_50plus,trees,heating,disabled,poverty,older_1979,work_outside,no_car,pop_under_1ft,pop_under_3ft,impact_plus1ft,impact_plus3ft,lat,long,city_km2,pop_2015,median_income
0,17.14891186,0.243116522,1,0,3.368071252,19,0,48,0.496519072,5.21e-05,39,16.5,419.7296486000001,8,759.37,31.28,35.77,37.55751557,16.4067867,6.5370706720000005,10.2460565,7.3,82.4,88.57,3.3,23.5,15.91539888,0.998,15.7,14.378483,63.4,12.96,5.6,0.0,0.0,0.0,0.0,32.4487,-99.7331,291.2017305,122226,43189
1,16.75818588,0.19279167,0,0,3.376584958,18,1,18,0.722946216,0.0005868819999999999,40,13.7,1239.715136,2,3022.84,7.06,6.91,8.047370489,36.64741804,10.245602,11.555375,6.7,86.7,95.61,0.3,28.2,26.51739448,0.996,15.2,27.1067349,85.7,11.74,15.2,0.0,0.0,0.0,0.0,41.0814,-81.51899999999999,159.9794939,198329,34512
2,5.659316195,0.237721877,1,1,5.0,20,3,12,0.6439548660000001,0.00019586200000000002,48,11.0,1139.837021,1,1660.55,5.44,5.35,5.295091253,26.8604716,3.172136985,10.6362957,6.6,86.0,81.37,3.8,26.2,4.861575888,0.998,12.9,15.4089636,50.6,10.21,7.4,0.0,0.0,0.0,0.0,35.0853,-106.6056,487.8697478,556092,47030
3,2.4020348559999998,0.066972725,0,1,2.645669654,21,1,40,0.686520855,0.00018082599999999998,51,8.5,3819.963313,0,2217.47,11.09,12.38,11.3478412,44.93352015,2.1297257480000003,7.624216900000001,7.5,85.7,87.71,0.1,17.5,21.72304223,0.995,6.2,4.8684937999999995,66.9,7.58,9.3,6.319525835,8.441214881,0.051605461,0.067121138,38.8048,-77.0469,39.08807173,149315,89134
4,15.05085479,0.271557402,0,0,3.145631481,15,0,27,0.66622699,0.000493334,42,22.7,2581.11084,3,1165.14,12.23,11.87,29.31780328,43.78150483,1.802768717,9.865677400000001,7.6,83.2,94.72,0.3,32.7,19.01402013,0.996,18.5,28.3847347,85.1,19.98,19.6,0.0,0.0,0.0,0.0,40.6084,-75.4902,46.20529973,119261,36930
5,18.32765356,0.28906291100000003,0,0,2.810262902,20,0,48,0.5066436089999999,6.54e-05,42,16.6,755.0810275,9,407.08,6.78,5.98,10.01944343,25.78847984,5.3110580910000005,9.0786288,8.0,80.7,85.85,4.3,21.7,4.964627916,0.998,11.5,13.8158863,65.2,13.37,5.9,0.0,0.0,0.0,0.0,35.222,-101.8313,260.3310014,196571,47735
6,10.45625624,0.342928401,1,1,5.0,0,0,53,0.39171167799999995,0.000914935,45,24.2,2633.295191,0,4029.31,2.7,2.87,1.5816224280000002,52.14426983,2.584076533,6.997090400000001,7.2,80.7,91.88,3.4,31.7,5.127450176,0.93,8.2,12.1310324,70.0,15.98,6.9,0.0,0.0,0.0,0.0,33.8366,-117.9143,131.2340527,345578,60752
7,13.4990996,0.261888353,0,1,2.9808871339999996,15,0,4,0.412390545,6.69e-05,43,7.0,56.59235277,12,4953.66,15.32,15.35,20.76322967,23.14147543,2.564299732,5.8882814,7.5,84.5,85.3,4.7,20.1,19.15,0.996,10.1,11.0092703,48.9,11.35,5.8,0.0,0.0,0.0,0.0,61.2181,-149.9003,5285.290068,299107,78326
8,12.30907034,0.07027166,0,1,0.0,20,3,4,0.796084679,0.002216938,46,3.6,1575.409387,1,1152.67,5.95,5.72,5.586496931,32.97535812,9.54438267,9.7818945,4.3,94.9,91.82,0.4,30.5,29.51664123,0.992,7.0,7.895461999999999,70.0,4.17,12.6,0.0,0.0,0.0,0.0,42.2808,-83.743,73.75479728,116194,55990
9,10.49677557,0.30761898600000004,0,1,4.478620174,0,0,12,0.521462168,0.000947022,50,13.1,1442.354699,0,793.98,7.9,9.37,7.8849491689999995,32.69403921,2.744160519,5.996797,5.8,89.3,83.57,1.2,33.1,5.666949527000001,0.995,14.5,13.3756451,43.1,13.57,6.8,4.308797127,4.53577176,0.000109984,0.00013748,38.0049,-121.8058,74.53159758,107501,64329
