,city,state,geo_id,overall_risk,overall_readiness,risk_ready_cat
0,Abilene,TX,1600000US4801000,1,0,3
1,Akron,OH,1600000US3901000,1,1,4
2,Albuquerque,NM,1600000US3502000,0,1,2
3,Alexandria,VA,1600000US5101000,1,1,4
4,Allentown,PA,1600000US4202000,1,0,3
5,Amarillo,TX,1600000US4803000,0,0,1
6,Anaheim,CA,1600000US0602000,1,0,3
7,Anchorage,AK,1600000US0203000,0,0,1
8,Ann Arbor,MI,1600000US2603000,0,1,2
9,Antioch,CA,1600000US0602252,0,0,1
10,Arlington,TX,1600000US4804000,1,0,3
11,Arvada,CO,1600000US0803455,0,1,2
12,Atlanta,GA,1600000US1304000,0,1,2
13,Aurora (CO),CO,1600000US0804000,0,1,2
14,Aurora (IL),IL,1600000US1703012,1,0,3
15,Austin,TX,1600000US4805000,0,1,2
16,Bakersfield,CA,1600000US0603526,0,0,1
17,Baltimore,MD,1600000US2404000,1,1,4
18,Baton Rouge,LA,1600000US2205000,1,0,3
20,Beaumont,TX,1600000US4807000,1,0,3
21,Bellevue,WA,1600000US5305210,0,1,2
22,Berkeley,CA,1600000US0606000,1,1,4
23,Billings,MT,1600000US3006550,0,1,2
24,Birmingham,AL,1600000US0107000,0,1,2
25,Boise City,ID,1600000US1608830,0,1,2
26,Boston,MA,1600000US2507000,1,1,4
27,Bridgeport,CT,1600000US0908000,1,0,3
28,Brownsville,TX,1600000US4810768,1,0,3
29,Buffalo,NY,1600000US3611000,1,0,3
30,Burbank,CA,1600000US0608954,1,0,3
31,Burlington,VT,1600000US5010675,1,1,4
32,Cambridge,MA,1600000US2511000,1,1,4
33,Cape Coral,FL,1600000US1210275,1,0,3
34,Carlsbad,CA,1600000US0611194,0,1,2
36,Carrollton,TX,1600000US4813024,1,1,4
37,Cedar Rapids,IA,1600000US1912000,0,1,2
38,Centennial,CO,1600000US0812815,0,1,2
39,Chandler,AZ,1600000US0412000,0,1,2
40,Charleston (SC),SC,1600000US4513330,0,1,2
41,Charleston (WV),WV,1600000US5414600,0,0,1
42,Charlotte,NC,1600000US3712000,0,1,2
43,Chattanooga,TN,1600000US4714000,0,0,1
44,Chesapeake,VA,1600000US5116000,0,1,2
45,Cheyenne,WY,1600000US5613900,0,0,1
46,Chicago,IL,1600000US1714000,1,1,4
47,Chula Vista,CA,1600000US0613392,1,1,4
48,Cincinnati,OH,1600000US3915000,1,1,4
49,Clarksville,TN,1600000US4715160,0,0,1
50,Clearwater,FL,1600000US1212875,1,0,3
51,Cleveland,OH,1600000US3916000,1,0,3
52,Colorado Springs,CO,1600000US0816000,0,0,1
53,Columbia (MO),MO,1600000US2915670,0,1,2
54,Columbia (SC),SC,1600000US4516000,0,1,2
55,Columbus (GA),GA,1600000US1319000,0,0,1
56,Columbus (OH),OH,1600000US3918000,1,1,4
57,Concord,CA,1600000US0616000,1,1,4
58,Coral Springs,FL,1600000US1214400,1,1,4
59,Corona,CA,1600000US0616350,1,0,3
60,Corpus Christi,TX,1600000US4817000,1,0,3
61,Costa Mesa,CA,1600000US0616532,1,0,3
62,Dallas,TX,1600000US4819000,0,0,1
63,Daly City,CA,1600000US0617918,1,1,4
64,Davenport,IA,1600000US1919000,0,0,1
65,Dayton,OH,1600000US3921000,0,1,2
66,Denton,TX,1600000US4819972,0,1,2
67,Denver,CO,1600000US0820000,0,1,2
68,Des Moines,IA,1600000US1921000,0,0,1
69,Detroit,MI,1600000US2622000,1,0,3
70,Downey,CA,1600000US0619766,1,0,3
71,Durham,NC,1600000US3719000,0,1,2
72,El Monte,CA,1600000US0622230,1,0,3
73,El Paso,TX,1600000US4824000,0,0,1
74,Elgin,IL,1600000US1723074,0,0,1
75,Elizabeth,NJ,1600000US3421000,1,0,3
76,Elk Grove,CA,1600000US0622020,0,0,1
77,Escondido,CA,1600000US0622804,1,1,4
78,Eugene,OR,1600000US4123850,1,1,4
79,Evansville,IN,1600000US1822000,1,0,3
80,Everett,WA,1600000US5322640,0,0,1
81,Fairfield,CA,1600000US0623182,0,0,1
82,Fargo,ND,1600000US3825700,0,1,2
83,Fayetteville,NC,1600000US3722920,0,1,2
84,Fontana,CA,1600000US0624680,1,0,3
85,Fort Collins,CO,1600000US0827425,0,1,2
86,Fort Lauderdale,FL,1600000US1224000,1,1,4
87,Fort Wayne,IN,1600000US1825000,1,1,4
88,Fort Worth,TX,1600000US4827000,0,1,2
89,Fremont,CA,1600000US0626000,0,1,2
90,Fresno,CA,1600000US0627000,1,0,3
91,Frisco,TX,1600000US4827684,0,1,2
92,Fullerton,CA,1600000US0628000,1,0,3
93,Gainesville,FL,1600000US1225175,0,0,1
94,Garden Grove,CA,1600000US0629000,1,0,3
