X,Geo_ID,Cold.Instances,Cold.Damage,Heat.Instances,Heat.Damage,Flood.Instances,Flood.Damage,Drought.Instances,Drought.Damage,Name,SQMI,State,County,Percent_of_GDP_based_on_water_intensive_industries,Percentage_of_workforce_in_Farming__Fishing_and_Forestry_2015,Existence_of_drought_management_plans_2015,Existence_of_water_management_plan_2015,water_stress,bond_worth,incentives_energy,corruption,civ_engage,patents,global_warming,edu_12,city_pop,water_quality,debt,floodzone_pop,floodzone_build,floodzone_cars,imp_surface,hosp_beds,alone_65,edu_12.1,young_5,health_ins,build_1999,mobile_home,rent_50,tree_canopy,no_heat,disability,poverty,build_1979,out_work,no_car,total.heat.death,total.cold.death
1,1600000US4075000,1,0,0,0,21,24400,45,9793.908889,Tulsa,200.99,OK,Tulsa,19.32141574,0.124521615,Yes,Yes,5,20,0,4,0.591244059,0.000147593,41,11.5406393,398082,3,1809.34,28.73,30.98,14062362,28.33882497,8.219412081,10.5653884,11.5406393,7.3,80.4,92.5,3.3,22,18.25189858,0.2,14.4,16.664336,70.2,13,8.6,0,0
2,1600000US5370000,15,0,0,0,37,44432,0,0,Tacoma,49.93,WA,Pierce,17.54601614,0.127370754,No,No,2.636675366,18,0,5,0.640460702,0.000180059,43,10.1838396,203481,13,5354.1,11.73,11.57,968027,51.88939781,4.486905411,10.4737681,10.1838396,6.4,85.2,89.58,0.3,27,14.16797144,0.6,15.2,21.6447751,69.7,13.43,9.7,0,0
3,1600000US2567000,0,0,3,0,24,2669516,8,75211.14375,Springfield,33.07,MA,Hampden,3.370532258,0.141276195,No,No,3.97435573,19,1,16,0.631503033,0.000209383,43,21.0948795,153947,9,1846.55,4.93,4.63,3362879,37.50232734,7.690958577,10.475523,21.0948795,7.1,94.6,95.57,3.8,36,32.01212554,0.6,19.5,39.1434836,86.2,11.98,22.7,2,0
4,1600000US0622230,1,0,20,0,4,0,2,17865.5,El Monte,9.65,CA,Los Angeles,10.83474095,0.691209936,No,Yes,5,0,0,53,0.285993612,0.000361114,48,37.5303777,115711,0,938.12,0,0,0,63.01987757,15.06339069,6.4028356,37.5303777,6.6,72.9,94.45,0.1,38,3.754061746,20.2,9.5,16.5582726,74.8,19.22,10,0,0
5,1600000US2965000,0,0,16,0,3,3590000,0,0,St. Louis,66.03,MO,St. Louis,11.6931102,0.30748032,No,No,2.347748518,15,2,5,0.685283491,0.000324052,52,13.8252609,317850,0,4580.42,8.86,10.07,4539483,53.11672613,9.602013528,10.6724947,13.8252609,6.7,83.4,94.85,0.3,28,8.929001431,0.3,15,25.1291605,88.6,10.07,21.7,2,0
6,1600000US0660620,8,3276234,1,0,10,0,0,0,Richmond,29.62,CA,Contra Costa,9.36805335,0.046713733,No,Yes,3.353000047,15,0,12,0.758837619,0.000947022,50,19.8097213,107597,0,2549.01,8.89,9.17,3628273,38.32148805,0.464696971,8.1329619,19.8097213,7.2,82.6,89.49,4.3,27,18.22780801,4.1,11.5,12.6930463,68.7,21.72,10.1,0,0
7,1600000US0619766,8,3046452,0,0,5,57,2,17865.5,Downey,12.57,CA,Los Angeles,10.83474095,0.21651542,No,No,5,16,0,53,0.457511553,0.000361114,48,18.8221343,113407,12,373.73,1.07,1.09,580489,61.45088656,7.406950188,6.3351457,18.8221343,6.9,81.8,97.23,3.4,26,4.035660972,5,8.3,8.882644,85.7,11.77,4.7,0,0
8,1600000US0606000,8,6951688,0,0,22,6453536,0,0,Berkeley,10.54,CA,Alameda,10.49677557,0.154680356,Yes,No,5,19,1,12,0.815422598,0.001952702,55,3.4822872,117384,0,1103.39,2.22,2.17,2746,48.11604906,3.543924215,11.7995514,3.4822872,3.5,93.3,94.5,4.7,32,18.52766785,2.9,8.4,4.6170264,87.4,4.18,20.9,0,0
9,1600000US0665042,9,4520920,5,0,5,9568904,0,0,San Buenaventura,21.82,CA,Ventura,11.49768553,0.785961108,No,Yes,5,0,0,53,0.63438151,0.000679088,44,8.4989036,108899,3,NULL,6.91,5.8,37654297,43.35909974,4.270011662,12.1865022,8.4989036,6.7,88.1,91.61,0.4,25,5.018740845,2.7,11,7.8383582,70.5,10.76,6.5,0,0
10,1600000US3260600,8,24461766,0,0,55,5900743,0,0,Reno,105.88,NV,Washoe,11.49768553,0.07906196,Yes,Yes,5,17,0,0,0.616441107,0.000558596,43,12.3286168,234161,0,1364.62,9.42,9.38,1674540,30.44137465,5.154573136,11.2826848,12.3286168,6.6,81.5,76.25,1.2,24,5.649438755,0.6,11.6,12.2026809,44,13.27,10.2,0,0
11,1600000US4879000,8,8083947,5,0,19,289223,159,154854.0753,Wichita Falls,72.16,TX,Wichita,49.4369548,0.161343123,Yes,Yes,4.86617605,19,0,48,0.489888205,7.58E-05,41,13.2035633,104926,2,1771.46,12.51,13.59,12787841,24.36051074,3.783618931,11.5295699,13.2035633,6.4,82.8,88.98,1.5,23,10.26832591,0.3,14.2,14.4973118,67.2,12,7.7,1,0
12,1600000US0667000,8,5007605,1,0,6,539693,0,0,San Francisco,47.16,CA,San Francisco,12.03547125,0.244145013,No,Yes,5,20,6,12,0.559041888,0.001536699,55,10.9283207,840763,0,8499.72,82.7,83.61,154653605,61.22999226,5.126295995,10.2347383,10.9283207,4.5,91.5,92.21,0.4,21,12.93611158,4.4,10.5,6.3506441,82.5,6.85,30.5,0,0
13,1600000US0669088,8,2286226,2,0,7,54779,2,17865.5,Santa Clarita,52.78,CA,Los Angeles,26.12850839,0.151074217,No,Yes,5,0,0,53,0.491578947,0.000361114,48,9.0158193,179950,0,238.39,10.2,10.73,57294,26.02191074,1.322589608,7.7354128,9.0158193,5.9,88.6,86.58,0.6,24,7.79155282,1,9.8,5.1327493,38.6,9.26,4.4,0,0
14,1600000US5414600,4,115453,1,0,40,1093969,0,0,Charleston,32.66,WV,Kanawha,2.124087591,0.117775721,No,No,0.67651765,0,0,2,0.710022587,6.81E-05,40,7.3620835,50566,0,573.74,58.66,60.63,2178058,19.13123284,17.24478899,14.214179,7.3620835,5.5,89,96.18,1.7,22,52.64641478,0.3,17.9,17.1615567,83.5,8.01,14.4,0,2
15,1600000US1212875,2,0,4,0,27,6848751,0,0,Clearwater,26.31,FL,Pinellas,8.780764806,0.343892867,No,No,3.165851539,0,0,27,0.978696573,0.000274832,45,8.6423289,110381,4,2213.17,20.95,24.35,3772969,41.43985737,4.747193811,16.4316304,8.6423289,6,81.5,92.25,0.2,28,21.15384006,1.3,14.3,14.7921443,62.8,10.35,11.8,0,0
16,1600000US0937000,0,0,4,0,4,281,14,99091.96071,Hartford,18.06,CT,Hartford,11.23175363,0.264089913,No,No,1.58334778,7,1,6,0.675717038,0.000634377,43,26.9287269,124795,13,1584.66,9.72,9.69,1140450,48.44708735,13.87074803,10.2632684,26.9287269,7,85.5,95.98,1.4,33,20.59677078,1.5,15.4,42.9076682,84.7,16.26,33.8,3,0
17,1600000US0653896,0,0,4,0,1,0,0,0,Ontario,50.01,CA,San Bernardino,12.2778812,0.408976042,No,No,3.032913698,0,0,53,0.498348465,0.000103591,47,25.044572,168218,0,1321.73,4.73,4.62,1920801,38.57876194,1.587226099,5.8258575,25.044572,7,79.6,92.32,2.1,30,2.745957402,1.4,8.9,14.3261214,58.1,18.95,4.8,0,0
18,1600000US3755000,72,0,30,0,15,10435130,78,26688.83346,Raleigh,144,NC,Wake,17.97263681,0.404838903,No,Yes,5,21,0,4,0.867432955,0.001533782,42,8.5944779,432520,11,1489.75,4.76,4.34,648358,21.31045932,3.770923888,6.9820269,8.5944779,6.6,86.2,68.98,0.1,24,47.52132573,0.2,8.2,10.1381731,29.9,8.89,6.1,11,0
19,1600000US4817000,0,0,0,0,2,45000,223,799099.0461,Corpus Christi,157.14,TX,Nueces,18.14292574,0.114272577,Yes,Yes,5,19,0,11,0.450984125,7.39E-05,43,16.7895353,316513,8,2026.62,86.46,88.13,167595,27.82605033,6.104014685,8.3071322,16.7895353,6.7,80.9,85.5,1,21,8.555392651,0.4,13.9,17.5801493,56.5,14.81,8.6,0,0
