"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","",39,""
"Akron","OH","1600000US3901000","","","","",40,""
"Albuquerque","NM","1600000US3502000","","","","",48,""
"Alexandria","VA","1600000US5101000","","","","",51,""
"Allentown","PA","1600000US4202000","","","","",42,""
"Amarillo","TX","1600000US4803000","","","","",42,""
"Anaheim","CA","1600000US0602000","","","","",45,""
"Anchorage","AK","1600000US0203000","","","","",43,""
"Ann Arbor","MI","1600000US2603000","","","","",46,""
"Antioch","CA","1600000US0602252","","","","",50,""
"Arlington","TX","1600000US4804000","","","","",42,""
"Arvada","CO","1600000US0803455","","","","",41,""
"Atlanta","GA","1600000US1304000","","","","",51,""
"Aurora (CO)","CO","1600000US0804000","","","","",44,""
"Aurora (IL)","IL","1600000US1703012","","","","",41,""
"Austin","TX","1600000US4805000","","","","",49,""
"Bakersfield","CA","1600000US0603526","","","","",44,""
"Baltimore","MD","1600000US2404000","","","","",54,""
"Baton Rouge","LA","1600000US2205000","","","","",44,""
"Bayam<U+0086>n","PR","1600000US7206593","","","","",0,""
"Beaumont","TX","1600000US4807000","","","","",41,""
"Bellevue","WA","1600000US5305210","","","","",49,""
"Berkeley","CA","1600000US0606000","","","","",55,""
"Billings","MT","1600000US3006550","","","","",39,""
"Birmingham","AL","1600000US0107000","","","","",43,""
"Boise City","ID","1600000US1608830","","","","",38,""
"Boston","MA","1600000US2507000","","","","",56,""
"Bridgeport","CT","1600000US0908000","","","","",45,""
"Brownsville","TX","1600000US4810768","","","","",47,""
"Buffalo","NY","1600000US3611000","","","","",43,""
"Burbank","CA","1600000US0608954","","","","",48,""
"Burlington","VT","1600000US5010675","","","","",46,""
"Cambridge","MA","1600000US2511000","","","","",46,""
"Cape Coral","FL","1600000US1210275","","","","",44,""
"Carlsbad","CA","1600000US0611194","","","","",45,""
"Carolina","PR","1600000US7214290","","","","",0,""
"Carrollton","TX","1600000US4813024","","","","",43,""
"Cedar Rapids","IA","1600000US1912000","","","","",40,""
"Centennial","CO","1600000US0812815","","","","",44,""
"Chandler","AZ","1600000US0412000","","","","",44,""
"Charleston (SC)","SC","1600000US4513330","","","","",43,""
"Charleston (WV)","WV","1600000US5414600","","","","",40,""
"Charlotte","NC","1600000US3712000","","","","",47,""
"Chattanooga","TN","1600000US4714000","","","","",44,""
"Chesapeake","VA","1600000US5116000","","","","",49,""
"Cheyenne","WY","1600000US5613900","","","","",38,""
"Chicago","IL","1600000US1714000","","","","",51,""
"Chula Vista","CA","1600000US0613392","","","","",45,""
"Cincinnati","OH","1600000US3915000","","","","",43,""
"Clarksville","TN","1600000US4715160","","","","",38,""
"Clearwater","FL","1600000US1212875","","","","",45,""
"Cleveland","OH","1600000US3916000","","","","",43,""
"Colorado Springs","CO","1600000US0816000","","","","",41,""
"Columbia (MO)","MO","1600000US2915670","","","","",41,""
"Columbia (SC)","SC","1600000US4516000","","","","",47,""
"Columbus (GA)","GA","1600000US1319000","","","","",46,""
"Columbus (OH)","OH","1600000US3918000","","","","",43,""
"Concord","CA","1600000US0616000","","","","",50,""
"Coral Springs","FL","1600000US1214400","","","","",49,""
"Corona","CA","1600000US0616350","","","","",48,""
