"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","","No"
"Akron","OH","1600000US3901000","","","","","","No"
"Albuquerque","NM","1600000US3502000","","","","","","Yes"
"Alexandria","VA","1600000US5101000","","","","","","Yes"
"Allentown","PA","1600000US4202000","","","","","","No"
"Amarillo","TX","1600000US4803000","","","","","","No"
"Anaheim","CA","1600000US0602000","","","","","","Yes"
"Anchorage","AK","1600000US0203000","","","","","","Yes"
"Ann Arbor","MI","1600000US2603000","","","","","","Yes"
"Antioch","CA","1600000US0602252","","","","","","Yes"
"Arlington","TX","1600000US4804000","","","","","","Yes"
"Arvada","CO","1600000US0803455","","","","","","Yes"
"Atlanta","GA","1600000US1304000","","","","","","Yes"
"Aurora (CO)","CO","1600000US0804000","","","","","","No"
"Aurora (IL)","IL","1600000US1703012","","","","","","Yes"
"Austin","TX","1600000US4805000","","","","","","Yes"
"Bakersfield","CA","1600000US0603526","","","","","","Yes"
"Baltimore","MD","1600000US2404000","","","","","","No"
"Baton Rouge","LA","1600000US2205000","","","","","","No"
"Bayam<U+0086>n","PR","1600000US7206593","","","","","","No"
"Beaumont","TX","1600000US4807000","","","","","","No"
"Bellevue","WA","1600000US5305210","","","","","","No"
"Berkeley","CA","1600000US0606000","","","","","","No"
"Billings","MT","1600000US3006550","","","","","","No"
"Birmingham","AL","1600000US0107000","","","","","","No"
"Boise City","ID","1600000US1608830","","","","","","No"
"Boston","MA","1600000US2507000","","","","","","No"
"Bridgeport","CT","1600000US0908000","","","","","","No"
"Brownsville","TX","1600000US4810768","","","","","","No"
"Buffalo","NY","1600000US3611000","","","","","","No"
"Burbank","CA","1600000US0608954","","","","","","No"
"Burlington","VT","1600000US5010675","","","","","","No"
"Cambridge","MA","1600000US2511000","","","","","","Yes"
"Cape Coral","FL","1600000US1210275","","","","","","No"
"Carlsbad","CA","1600000US0611194","","","","","","Yes"
"Carolina","PR","1600000US7214290","","","","","","No"
"Carrollton","TX","1600000US4813024","","","","","","No"
"Cedar Rapids","IA","1600000US1912000","","","","","","No"
"Centennial","CO","1600000US0812815","","","","","","Yes"
"Chandler","AZ","1600000US0412000","","","","","","Yes"
"Charleston (SC)","SC","1600000US4513330","","","","","","No"
"Charleston (WV)","WV","1600000US5414600","","","","","","No"
"Charlotte","NC","1600000US3712000","","","","","","Yes"
"Chattanooga","TN","1600000US4714000","","","","","","No"
"Chesapeake","VA","1600000US5116000","","","","","","Yes"
"Cheyenne","WY","1600000US5613900","","","","","","No"
"Chicago","IL","1600000US1714000","","","","","","No"
"Chula Vista","CA","1600000US0613392","","","","","","No"
"Cincinnati","OH","1600000US3915000","","","","","","No"
"Clarksville","TN","1600000US4715160","","","","","","No"
"Clearwater","FL","1600000US1212875","","","","","","No"
"Cleveland","OH","1600000US3916000","","","","","","No"
"Colorado Springs","CO","1600000US0816000","","","","","","Yes"
"Columbia (MO)","MO","1600000US2915670","","","","","","No"
"Columbia (SC)","SC","1600000US4516000","","","","","","Yes"
"Columbus (GA)","GA","1600000US1319000","","","","","","Yes"
"Columbus (OH)","OH","1600000US3918000","","","","","","No"
"Concord","CA","1600000US0616000","","","","","","No"
"Coral Springs","FL","1600000US1214400","","","","","","Yes"
"Corona","CA","1600000US0616350","","","","","","No"
"Corpus Christi","TX","1600000US4817000","","","","","","Yes"
"Costa Mesa","CA","1600000US0616532","","","","","","Yes"
"Dallas","TX","1600000US4819000","","","","","","Yes"
"Daly City","CA","1600000US0617918","","","","","","Yes"
"Davenport","IA","1600000US1919000","","","","","","No"
"Dayton","OH","1600000US3921000","","","","","","Yes"
"Denton","TX","1600000US4819972","","","","","","No"
"Denver","CO","1600000US0820000","","","","","","Yes"
"Des Moines","IA","1600000US1921000","","","","","","No"
"Detroit","MI","1600000US2622000","","","","","","No"
"Downey","CA","1600000US0619766","","","","","","No"
"Durham","NC","1600000US3719000","","","","","","Yes"
"El Monte","CA","1600000US0622230","","","","","","Yes"
"El Paso","TX","1600000US4824000","","","","","","Yes"
"Elgin","IL","1600000US1723074","","","","","","Yes"
"Elizabeth","NJ","1600000US3421000","","","","","","No"
"Elk Grove","CA","1600000US0622020","","","","","","Yes"
"Escondido","CA","1600000US0622804","","","","","","Yes"
"Eugene","OR","1600000US4123850","","","","","","No"
"Evansville","IN","1600000US1822000","","","","","","No"
"Everett","WA","1600000US5322640","","","","","","No"
"Fairfield","CA","1600000US0623182","","","","","","No"
"Fargo","ND","1600000US3825700","","","","","","No"
"Fayetteville","NC","1600000US3722920","","","","","","No"
"Fontana","CA","1600000US0624680","","","","","","Yes"
"Fort Collins","CO","1600000US0827425","","","","","","Yes"
"Fort Lauderdale","FL","1600000US1224000","","","","","","Yes"
"Fort Wayne","IN","1600000US1825000","","","","","","No"
"Fort Worth","TX","1600000US4827000","","","","","","Yes"
"Fremont","CA","1600000US0626000","","","","","","Yes"
"Fresno","CA","1600000US0627000","","","","","","Yes"
"Frisco","TX","1600000US4827684","","","","","","Yes"
"Fullerton","CA","1600000US0628000","","","","","","Yes"
"Gainesville","FL","1600000US1225175","","","","","","Yes"
"Garden Grove","CA","1600000US0629000","","","","","","No"
"Garland","TX","1600000US4829000","","","","","","Yes"
"Glendale (AZ)","AZ","1600000US0427820","","","","","","Yes"
"Glendale (CA)","CA","1600000US0630000","","","","","","No"
"Grand Prairie","TX","1600000US4830464","","","","","","Yes"
"Grand Rapids","MI","1600000US2634000","","","","","","No"
"Green Bay","WI","1600000US5531000","","","","","","No"
"Greensboro","NC","1600000US3728000","","","","","","No"
"Gresham","OR","1600000US4131250","","","","","","Yes"
"Hampton","VA","1600000US5135000","","","","","","No"
"Hartford","CT","1600000US0937000","","","","","","No"
"Hayward","CA","1600000US0633000","","","","","","Yes"
"Henderson","NV","1600000US3231900","","","","","","No"
"Hialeah","FL","1600000US1230000","","","","","","No"
"High Point","NC","1600000US3731400","","","","","","No"
"Hollywood","FL","1600000US1232000","","","","","","No"
"Honolulu","HI","1600000US1571550","","","","","","No"
"Houston","TX","1600000US4835000","","","","","","No"
"Huntington Beach","CA","1600000US0636000","","","","","","Yes"
"Huntsville","AL","1600000US0137000","","","","","","Yes"
"Independence","MO","1600000US2935000","","","","","","No"
"Indianapolis","IN","1600000US1836003","","","","","","No"
"Inglewood","CA","1600000US0636546","","","","","","No"
"Irvine","CA","1600000US0636770","","","","","","Yes"
"Irving","TX","1600000US4837000","","","","","","Yes"
"Jackson","MS","1600000US2836000","","","","","","No"
"Jacksonville","FL","1600000US1235000","","","","","","No"
"Jersey City","NJ","1600000US3436000","","","","","","No"
"Joliet","IL","1600000US1738570","","","","","","No"
"Kansas City (KS)","KS","1600000US2036000","","","","","","No"
"Kansas City (MO)","MO","1600000US2938000","","","","","","No"
"Kent","WA","1600000US5335415","","","","","","No"
"Killeen","TX","1600000US4839148","","","","","","Yes"
"Knoxville","TN","1600000US4740000","","","","","","No"
"Lafayette","LA","1600000US2240735","","","","","","No"
"Lakewood","CO","1600000US0843000","","","","","","No"
"Lancaster","CA","1600000US0640130","","","","","","No"
"Lansing","MI","1600000US2646000","","","","","","No"
"Laredo","TX","1600000US4841464","","","","","","No"
"Las Vegas","NV","1600000US3240000","","","","","","No"
"Lexington-Fayette","KY","1600000US2146027","","","","","","Yes"
"Lincoln","NE","1600000US3128000","","","","","","No"
"Little Rock","AR","1600000US0541000","","","","","","Yes"
"Long Beach","CA","1600000US0643000","","","","","","No"
"Los Angeles","CA","1600000US0644000","","","","","","No"
"Lowell","MA","1600000US2537000","","","","","","Yes"
"Lubbock","TX","1600000US4845000","","","","","","No"
"Madison","WI","1600000US5548000","","","","","","No"
"Manchester","NH","1600000US3345140","","","","","","Yes"
"McAllen","TX","1600000US4845384","","","","","","No"
"McKinney","TX","1600000US4845744","","","","","","Yes"
"Memphis","TN","1600000US4748000","","","","","","Yes"
"Mesa","AZ","1600000US0446000","","","","","","No"
"Mesquite","TX","1600000US4847892","","","","","","Yes"
"Miami","FL","1600000US1245000","","","","","","Yes"
"Miami Gardens","FL","1600000US1245060","","","","","","No"
"Midland","TX","1600000US4848072","","","","","","No"
"Milwaukee","WI","1600000US5553000","","","","","","Yes"
"Minneapolis","MN","1600000US2743000","","","","","","No"
"Miramar","FL","1600000US1245975","","","","","","No"
"Mobile","AL","1600000US0150000","","","","","","No"
"Modesto","CA","1600000US0648354","","","","","","No"
"Montgomery","AL","1600000US0151000","","","","","","Yes"
"Moreno Valley","CA","1600000US0649270","","","","","","No"
"Murfreesboro","TN","1600000US4751560","","","","","","No"
"Murrieta","CA","1600000US0650076","","","","","","No"
"Naperville","IL","1600000US1751622","","","","","","Yes"
"New Haven","CT","1600000US0952000","","","","","","No"
"New Orleans","LA","1600000US2255000","","","","","","No"
"New York","NY","1600000US3651000","","","","","","No"
"Newark","NJ","1600000US3451000","","","","","","Yes"
"Newport News","VA","1600000US5156000","","","","","","No"
"Norfolk","VA","1600000US5157000","","","","","","No"
"Norman","OK","1600000US4052500","","","","","","No"
"North Las Vegas","NV","1600000US3251800","","","","","","Yes"
"Norwalk","CA","1600000US0652526","","","","","","No"
"Oakland","CA","1600000US0653000","","","","","","Yes"
"Oceanside","CA","1600000US0653322","","","","","","Yes"
"Oklahoma City","OK","1600000US4055000","","","","","","Yes"
"Olathe","KS","1600000US2052575","","","","","","No"
"Omaha","NE","1600000US3137000","","","","","","Yes"
"Ontario","CA","1600000US0653896","","","","","","No"
"Orange","CA","1600000US0653980","","","","","","No"
"Orlando","FL","1600000US1253000","","","","","","Yes"
"Overland Park","KS","1600000US2053775","","","","","","Yes"
"Oxnard","CA","1600000US0654652","","","","","","No"
"Palm Bay","FL","1600000US1254000","","","","","","Yes"
"Palmdale","CA","1600000US0655156","","","","","","Yes"
"Pasadena (CA)","CA","1600000US0656000","","","","","","Yes"
"Pasadena (TX)","TX","1600000US4856000","","","","","","Yes"
"Paterson","NJ","1600000US3457000","","","","","","Yes"
"Pembroke Pines","FL","1600000US1255775","","","","","","No"
"Peoria (AZ)","AZ","1600000US0454050","","","","","","No"
"Peoria (IL)","IL","1600000US1759000","","","","","","No"
"Philadelphia","PA","1600000US4260000","","","","","","Yes"
"Phoenix","AZ","1600000US0455000","","","","","","No"
"Pittsburgh","PA","1600000US4261000","","","","","","Yes"
"Plano","TX","1600000US4858016","","","","","","No"
"Pomona","CA","1600000US0658072","","","","","","No"
"Ponce","PR","1600000US7263820","","","","","","No"
"Port St. Lucie","FL","1600000US1258715","","","","","","No"
"Portland (ME)","ME","1600000US2360545","","","","","","No"
"Portland (OR)","OR","1600000US4159000","","","","","","Yes"
"Providence","RI","1600000US4459000","","","","","","No"
"Provo","UT","1600000US4962470","","","","","","No"
"Pueblo","CO","1600000US0862000","","","","","","No"
"Raleigh","NC","1600000US3755000","","","","","","Yes"
"Rancho Cucamonga","CA","1600000US0659451","","","","","","No"
"Reno","NV","1600000US3260600","","","","","","Yes"
"Richmond (CA)","CA","1600000US0660620","","","","","","Yes"
"Richmond (VA)","VA","1600000US5167000","","","","","","No"
"Riverside","CA","1600000US0662000","","","","","","No"
"Rochester (MN)","MN","1600000US2754880","","","","","","No"
"Rochester (NY)","NY","1600000US3663000","","","","","","No"
"Rockford","IL","1600000US1765000","","","","","","No"
"Roseville","CA","1600000US0662938","","","","","","Yes"
"Sacramento","CA","1600000US0664000","","","","","","No"
"Salem","OR","1600000US4164900","","","","","","Yes"
"Salinas","CA","1600000US0664224","","","","","","Yes"
"Salt Lake City","UT","1600000US4967000","","","","","","No"
"San Antonio","TX","1600000US4865000","","","","","","Yes"
"San Bernardino","CA","1600000US0665000","","","","","","Yes"
"San Buenaventura","CA","1600000US0665042","","","","","","Yes"
"San Diego","CA","1600000US0666000","","","","","","No"
"San Francisco","CA","1600000US0667000","","","","","","Yes"
"San Jose","CA","1600000US0668000","","","","","","Yes"
"San Juan","PR","1600000US7276770","","","","","","Yes"
"Santa Ana","CA","1600000US0669000","","","","","","No"
"Santa Clara","CA","1600000US0669084","","","","","","Yes"
"Santa Clarita","CA","1600000US0669088","","","","","","Yes"
"Santa Rosa","CA","1600000US0670098","","","","","","No"
"Savannah","GA","1600000US1369000","","","","","","Yes"
"Scottsdale","AZ","1600000US0465000","","","","","","No"
"Seattle","WA","1600000US5363000","","","","","","No"
"Shreveport","LA","1600000US2270000","","","","","","No"
"Simi Valley","CA","1600000US0672016","","","","","","No"
"Sioux Falls","SD","1600000US4659020","","","","","","Yes"
"South Bend","IN","1600000US1871000","","","","","","No"
"Spokane","WA","1600000US5367000","","","","","","No"
"Springfield (IL)","IL","1600000US1772000","","","","","","No"
"Springfield (MA)","MA","1600000US2567000","","","","","","No"
"Springfield (MO)","MO","1600000US2970000","","","","","","No"
"St. Louis","MO","1600000US2965000","","","","","","No"
"St. Paul","MN","1600000US2758000","","","","","","No"
"St. Petersburg","FL","1600000US1263000","","","","","","Yes"
"Stamford","CT","1600000US0973000","","","","","","Yes"
"Sterling Heights","MI","1600000US2676460","","","","","","Yes"
"Stockton","CA","1600000US0675000","","","","","","No"
"Sunnyvale","CA","1600000US0677000","","","","","","Yes"
"Surprise","AZ","1600000US0471510","","","","","","No"
"Syracuse","NY","1600000US3673000","","","","","","Yes"
"Tacoma","WA","1600000US5370000","","","","","","No"
"Tallahassee","FL","1600000US1270600","","","","","","No"
"Tampa","FL","1600000US1271000","","","","","","No"
"Temecula","CA","1600000US0678120","","","","","","No"
"Tempe","AZ","1600000US0473000","","","","","","No"
"Thornton","CO","1600000US0877290","","","","","","Yes"
"Thousand Oaks","CA","1600000US0678582","","","","","","Yes"
"Toledo","OH","1600000US3977000","","","","","","Yes"
"Topeka","KS","1600000US2071000","","","","","","No"
"Torrance","CA","1600000US0680000","","","","","","No"
"Tucson","AZ","1600000US0477000","","","","","","Yes"
"Tulsa","OK","1600000US4075000","","","","","","Yes"
"Vallejo","CA","1600000US0681666","","","","","","Yes"
"Vancouver","WA","1600000US5374060","","","","","","No"
"Victorville","CA","1600000US0682590","","","","","","No"
"Virginia Beach","VA","1600000US5182000","","","","","","No"
"Visalia","CA","1600000US0682954","","","","","","No"
"Waco","TX","1600000US4876000","","","","","","No"
"Warren","MI","1600000US2684000","","","","","","No"
"Washington","DC","1600000US1150000","","","","","","No"
"Waterbury","CT","1600000US0980000","","","","","","No"
"West Covina","CA","1600000US0684200","","","","","","No"
"West Jordan","UT","1600000US4982950","","","","","","No"
"West Palm Beach","FL","1600000US1276600","","","","","","No"
"West Valley City","UT","1600000US4983470","","","","","","No"
"Westminster","CO","1600000US0883835","","","","","","Yes"
"Wichita","KS","1600000US2079000","","","","","","No"
"Wichita Falls","TX","1600000US4879000","","","","","","Yes"
