"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",5.21e-05
"Akron","OH","1600000US3901000","","","","","",0.000586882
"Albuquerque","NM","1600000US3502000","","","","","",0.000195862
"Alexandria","VA","1600000US5101000","","","","","",0.000180826
"Allentown","PA","1600000US4202000","","","","","",0.000493334
"Amarillo","TX","1600000US4803000","","","","","",6.54e-05
"Anaheim","CA","1600000US0602000","","","","","",0.000914935
"Anchorage","AK","1600000US0203000","","","","","",6.69e-05
"Ann Arbor","MI","1600000US2603000","","","","","",0.002216938
"Antioch","CA","1600000US0602252","","","","","",0.000947022
"Arlington","TX","1600000US4804000","","","","","",0.000247581
"Arvada","CO","1600000US0803455","","","","","",0.000762206
"Atlanta","GA","1600000US1304000","","","","","",0.000645389
"Aurora (CO)","CO","1600000US0804000","","","","","",0.000414262
"Aurora (IL)","IL","1600000US1703012","","","","","",0.000342932
"Austin","TX","1600000US4805000","","","","","",0.000709672
"Bakersfield","CA","1600000US0603526","","","","","",9.82e-05
"Baltimore","MD","1600000US2404000","","","","","",0.000106032
"Baton Rouge","LA","1600000US2205000","","","","","",0.000146169
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",0
"Beaumont","TX","1600000US4807000","","","","","",5.93e-05
"Bellevue","WA","1600000US5305210","","","","","",0.002031034
"Berkeley","CA","1600000US0606000","","","","","",0.001952702
"Billings","MT","1600000US3006550","","","","","",7.81e-05
"Birmingham","AL","1600000US0107000","","","","","",8.8e-05
"Boise City","ID","1600000US1608830","","","","","",0.001652691
"Boston","MA","1600000US2507000","","","","","",0.001015919
"Bridgeport","CT","1600000US0908000","","","","","",0.000676608
"Brownsville","TX","1600000US4810768","","","","","",3.11e-05
"Buffalo","NY","1600000US3611000","","","","","",0.00024523
"Burbank","CA","1600000US0608954","","","","","",0.000361114
"Burlington","VT","1600000US5010675","","","","","",0.002191458
"Cambridge","MA","1600000US2511000","","","","","",0.002221557
"Cape Coral","FL","1600000US1210275","","","","","",0.000128075
"Carlsbad","CA","1600000US0611194","","","","","",0.001694023
"Carolina","PR","1600000US7214290","","","","","",5.95e-06
"Carrollton","TX","1600000US4813024","","","","","",0.000471407
"Cedar Rapids","IA","1600000US1912000","","","","","",0.000835487
"Centennial","CO","1600000US0812815","","","","","",0.000414262
"Chandler","AZ","1600000US0412000","","","","","",0.000429552
"Charleston (SC)","SC","1600000US4513330","","","","","",9.65e-05
"Charleston (WV)","WV","1600000US5414600","","","","","",6.81e-05
"Charlotte","NC","1600000US3712000","","","","","",0.000278707
"Chattanooga","TN","1600000US4714000","","","","","",0.000106285
"Chesapeake","VA","1600000US5116000","","","","","",4.34e-05
"Cheyenne","WY","1600000US5613900","","","","","",0.000188618
"Chicago","IL","1600000US1714000","","","","","",0.000312429
"Chula Vista","CA","1600000US0613392","","","","","",0.001694023
"Cincinnati","OH","1600000US3915000","","","","","",0.00033574
"Clarksville","TN","1600000US4715160","","","","","",1.08e-05
"Clearwater","FL","1600000US1212875","","","","","",0.000274832
"Cleveland","OH","1600000US3916000","","","","","",0.000397407
"Colorado Springs","CO","1600000US0816000","","","","","",0.000299226
"Columbia (MO)","MO","1600000US2915670","","","","","",0.000193242
