"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",6.537070672
"Akron","OH","1600000US3901000","","","","","",10.245602
"Albuquerque","NM","1600000US3502000","","","","","",3.172136985
"Alexandria","VA","1600000US5101000","","","","","",2.129725748
"Allentown","PA","1600000US4202000","","","","","",1.802768717
"Amarillo","TX","1600000US4803000","","","","","",5.311058091
"Anaheim","CA","1600000US0602000","","","","","",2.584076533
"Anchorage","AK","1600000US0203000","","","","","",2.564299732
"Ann Arbor","MI","1600000US2603000","","","","","",9.54438267
"Antioch","CA","1600000US0602252","","","","","",2.744160519
"Arlington","TX","1600000US4804000","","","","","",2.330689252
"Arvada","CO","1600000US0803455","","","","","",0
"Atlanta","GA","1600000US1304000","","","","","",6.172853257
"Aurora (CO)","CO","1600000US0804000","","","","","",4.241514802
"Aurora (IL)","IL","1600000US1703012","","","","","",2.507302581
"Austin","TX","1600000US4805000","","","","","",2.894953109
"Bakersfield","CA","1600000US0603526","","","","","",3.649494516
"Baltimore","MD","1600000US2404000","","","","","",8.072885707
"Baton Rouge","LA","1600000US2205000","","","","","",6.920143464
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",6.550034044
"Beaumont","TX","1600000US4807000","","","","","",7.52914783
"Bellevue","WA","1600000US5305210","","","","","",2.5031568
"Berkeley","CA","1600000US0606000","","","","","",3.543924215
"Billings","MT","1600000US3006550","","","","","",5.826104648
"Birmingham","AL","1600000US0107000","","","","","",16.75690704
"Boise City","ID","1600000US1608830","","","","","",5.569665166
"Boston","MA","1600000US2507000","","","","","",9.542028754
"Bridgeport","CT","1600000US0908000","","","","","",5.809691869
"Brownsville","TX","1600000US4810768","","","","","",2.947869544
"Buffalo","NY","1600000US3611000","","","","","",8.099662065
"Burbank","CA","1600000US0608954","","","","","",4.258772977
"Burlington","VT","1600000US5010675","","","","","",13.20178529
"Cambridge","MA","1600000US2511000","","","","","",4.003113533
"Cape Coral","FL","1600000US1210275","","","","","",1.754671587
