"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",12.96
"Akron","OH","1600000US3901000","","","","","",11.74
"Albuquerque","NM","1600000US3502000","","","","","",10.21
"Alexandria","VA","1600000US5101000","","","","","",7.58
"Allentown","PA","1600000US4202000","","","","","",19.98
"Amarillo","TX","1600000US4803000","","","","","",13.37
"Anaheim","CA","1600000US0602000","","","","","",15.98
"Anchorage","AK","1600000US0203000","","","","","",11.35
"Ann Arbor","MI","1600000US2603000","","","","","",4.17
"Antioch","CA","1600000US0602252","","","","","",13.57
"Arlington","TX","1600000US4804000","","","","","",12.47
"Arvada","CO","1600000US0803455","","","","","",9.16
"Atlanta","GA","1600000US1304000","","","","","",6.92
"Aurora (CO)","CO","1600000US0804000","","","","","",14.94
"Aurora (IL)","IL","1600000US1703012","","","","","",15.45
"Austin","TX","1600000US4805000","","","","","",10.88
"Bakersfield","CA","1600000US0603526","","","","","",16.84
"Baltimore","MD","1600000US2404000","","","","","",11.28
"Baton Rouge","LA","1600000US2205000","","","","","",12.65
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",9.42
"Beaumont","TX","1600000US4807000","","","","","",15.3
"Bellevue","WA","1600000US5305210","","","","","",4.87
"Berkeley","CA","1600000US0606000","","","","","",4.18
"Billings","MT","1600000US3006550","","","","","",12.97
"Birmingham","AL","1600000US0107000","","","","","",13.99
"Boise City","ID","1600000US1608830","","","","","",8.89
"Boston","MA","1600000US2507000","","","","","",9.14
"Bridgeport","CT","1600000US0908000","","","","","",18.4
"Brownsville","TX","1600000US4810768","","","","","",15.03
"Buffalo","NY","1600000US3611000","","","","","",10.74
"Burbank","CA","1600000US0608954","","","","","",6.54
"Burlington","VT","1600000US5010675","","","","","",9
"Cambridge","MA","1600000US2511000","","","","","",2.58
"Cape Coral","FL","1600000US1210275","","","","","",12.78
"Carlsbad","CA","1600000US0611194","","","","","",5.51
"Carolina","PR","1600000US7214290","","","","","",9.84
"Carrollton","TX","1600000US4813024","","","","","",10.66
"Cedar Rapids","IA","1600000US1912000","","","","","",10.83
"Centennial","CO","1600000US0812815","","","","","",6.07
"Chandler","AZ","1600000US0412000","","","","","",7.13
"Charleston (SC)","SC","1600000US4513330","","","","","",7.85
"Charleston (WV)","WV","1600000US5414600","","","","","",8.01
"Charlotte","NC","1600000US3712000","","","","","",11.47
"Chattanooga","TN","1600000US4714000","","","","","",11.88
"Chesapeake","VA","1600000US5116000","","","","","",11.6
"Cheyenne","WY","1600000US5613900","","","","","",12.38
"Chicago","IL","1600000US1714000","","","","","",10.89
"Chula Vista","CA","1600000US0613392","","","","","",10.94
"Cincinnati","OH","1600000US3915000","","","","","",10.61
"Clarksville","TN","1600000US4715160","","","","","",11.14
"Clearwater","FL","1600000US1212875","","","","","",10.35
"Cleveland","OH","1600000US3916000","","","","","",13.93
"Colorado Springs","CO","1600000US0816000","","","","","",9.97
"Columbia (MO)","MO","1600000US2915670","","","","","",7.49
"Columbia (SC)","SC","1600000US4516000","","","","","",9.83
"Columbus (GA)","GA","1600000US1319000","","","","","",10.78
"Columbus (OH)","OH","1600000US3918000","","","","","",10.06
"Concord","CA","1600000US0616000","","","","","",14.41
"Coral Springs","FL","1600000US1214400","","","","","",9.46
"Corona","CA","1600000US0616350","","","","","",12.05
"Corpus Christi","TX","1600000US4817000","","","","","",14.81
"Costa Mesa","CA","1600000US0616532","","","","","",11.58
"Dallas","TX","1600000US4819000","","","","","",17.99
"Daly City","CA","1600000US0617918","","","","","",11.32
"Davenport","IA","1600000US1919000","","","","","",12.35
"Dayton","OH","1600000US3921000","","","","","",12.63
"Denton","TX","1600000US4819972","","","","","",10.67
"Denver","CO","1600000US0820000","","","","","",11.89
"Des Moines","IA","1600000US1921000","","","","","",13.1
"Detroit","MI","1600000US2622000","","","","","",14.89
"Downey","CA","1600000US0619766","","","","","",11.77
"Durham","NC","1600000US3719000","","","","","",11.7
"El Monte","CA","1600000US0622230","","","","","",19.22
"El Paso","TX","1600000US4824000","","","","","",10.85
"Elgin","IL","1600000US1723074","","","","","",14.87
"Elizabeth","NJ","1600000US3421000","","","","","",22.85
"Elk Grove","CA","1600000US0622020","","","","","",7.4
"Escondido","CA","1600000US0622804","","","","","",22.72
"Eugene","OR","1600000US4123850","","","","","",8.36
"Evansville","IN","1600000US1822000","","","","","",13.54
"Everett","WA","1600000US5322640","","","","","",13.91
"Fairfield","CA","1600000US0623182","","","","","",13.21
"Fargo","ND","1600000US3825700","","","","","",11.96
"Fayetteville","NC","1600000US3722920","","","","","",8.77
"Fontana","CA","1600000US0624680","","","","","",17.05
"Fort Collins","CO","1600000US0827425","","","","","",8.28
"Fort Lauderdale","FL","1600000US1224000","","","","","",13.01
"Fort Wayne","IN","1600000US1825000","","","","","",10.71
"Fort Worth","TX","1600000US4827000","","","","","",13.66
"Fremont","CA","1600000US0626000","","","","","",5.97
"Fresno","CA","1600000US0627000","","","","","",16.72
"Frisco","TX","1600000US4827684","","","","","",4.24
"Fullerton","CA","1600000US0628000","","","","","",9.45
"Gainesville","FL","1600000US1225175","","","","","",6.44
"Garden Grove","CA","1600000US0629000","","","","","",13.88
"Garland","TX","1600000US4829000","","","","","",17.49
"Glendale (AZ)","AZ","1600000US0427820","","","","","",13.61
"Glendale (CA)","CA","1600000US0630000","","","","","",6.59
"Grand Prairie","TX","1600000US4830464","","","","","",15.62
"Grand Rapids","MI","1600000US2634000","","","","","",13.31
"Green Bay","WI","1600000US5531000","","","","","",13.89
"Greensboro","NC","1600000US3728000","","","","","",11.13
"Gresham","OR","1600000US4131250","","","","","",16.62
"Hampton","VA","1600000US5135000","","","","","",12.65
"Hartford","CT","1600000US0937000","","","","","",16.26
"Hayward","CA","1600000US0633000","","","","","",15.37
"Henderson","NV","1600000US3231900","","","","","",8.49
"Hialeah","FL","1600000US1230000","","","","","",20.9
"High Point","NC","1600000US3731400","","","","","",10.15
"Hollywood","FL","1600000US1232000","","","","","",13.22
"Honolulu","HI","1600000US1571550","","","","","",11.03
"Houston","TX","1600000US4835000","","","","","",17.51
"Huntington Beach","CA","1600000US0636000","","","","","",8.15
"Huntsville","AL","1600000US0137000","","","","","",9.49
