"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",63.4
"Akron","OH","1600000US3901000","","","","","",85.7
"Albuquerque","NM","1600000US3502000","","","","","",50.6
"Alexandria","VA","1600000US5101000","","","","","",66.9
"Allentown","PA","1600000US4202000","","","","","",85.1
"Amarillo","TX","1600000US4803000","","","","","",65.2
"Anaheim","CA","1600000US0602000","","","","","",70
"Anchorage","AK","1600000US0203000","","","","","",48.9
"Ann Arbor","MI","1600000US2603000","","","","","",70
"Antioch","CA","1600000US0602252","","","","","",43.1
"Arlington","TX","1600000US4804000","","","","","",38.2
"Arvada","CO","1600000US0803455","","","","","",60.3
"Atlanta","GA","1600000US1304000","","","","","",54.3
"Aurora (CO)","CO","1600000US0804000","","","","","",44
"Aurora (IL)","IL","1600000US1703012","","","","","",49.9
"Austin","TX","1600000US4805000","","","","","",37.8
"Bakersfield","CA","1600000US0603526","","","","","",40.4
"Baltimore","MD","1600000US2404000","","","","","",87.6
"Baton Rouge","LA","1600000US2205000","","","","","",66.9
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",68.8
"Beaumont","TX","1600000US4807000","","","","","",62.7
"Bellevue","WA","1600000US5305210","","","","","",54.1
"Berkeley","CA","1600000US0606000","","","","","",87.4
"Billings","MT","1600000US3006550","","","","","",61
"Birmingham","AL","1600000US0107000","","","","","",76.1
"Boise City","ID","1600000US1608830","","","","","",48.8
"Boston","MA","1600000US2507000","","","","","",82
"Bridgeport","CT","1600000US0908000","","","","","",85.8
"Brownsville","TX","1600000US4810768","","","","","",34.6
"Buffalo","NY","1600000US3611000","","","","","",93
"Burbank","CA","1600000US0608954","","","","","",75.8
"Burlington","VT","1600000US5010675","","","","","",78.6
"Cambridge","MA","1600000US2511000","","","","","",78.8
"Cape Coral","FL","1600000US1210275","","","","","",18.7
"Carlsbad","CA","1600000US0611194","","","","","",33.3
"Carolina","PR","1600000US7214290","","","","","",67.5
"Carrollton","TX","1600000US4813024","","","","","",31.2
"Cedar Rapids","IA","1600000US1912000","","","","","",63
"Centennial","CO","1600000US0812815","","","","","",45.7
"Chandler","AZ","1600000US0412000","","","","","",12.7
"Charleston (SC)","SC","1600000US4513330","","","","","",46
"Charleston (WV)","WV","1600000US5414600","","","","","",83.5
"Charlotte","NC","1600000US3712000","","","","","",36.3
"Chattanooga","TN","1600000US4714000","","","","","",65.8
"Chesapeake","VA","1600000US5116000","","","","","",37.3
"Cheyenne","WY","1600000US5613900","","","","","",65.9
"Chicago","IL","1600000US1714000","","","","","",82.3
"Chula Vista","CA","1600000US0613392","","","","","",48.3
"Cincinnati","OH","1600000US3915000","","","","","",86.7
"Clarksville","TN","1600000US4715160","","","","","",31.9
"Clearwater","FL","1600000US1212875","","","","","",62.8
"Cleveland","OH","1600000US3916000","","","","","",90.4
"Colorado Springs","CO","1600000US0816000","","","","","",45.8
"Columbia (MO)","MO","1600000US2915670","","","","","",39.6
"Columbia (SC)","SC","1600000US4516000","","","","","",60.8
"Columbus (GA)","GA","1600000US1319000","","","","","",55.8
"Columbus (OH)","OH","1600000US3918000","","","","","",57.3
"Concord","CA","1600000US0616000","","","","","",77.2
"Coral Springs","FL","1600000US1214400","","","","","",30.5
"Corona","CA","1600000US0616350","","","","","",26.5
"Corpus Christi","TX","1600000US4817000","","","","","",56.5
"Costa Mesa","CA","1600000US0616532","","","","","",76
"Dallas","TX","1600000US4819000","","","","","",58.3
"Daly City","CA","1600000US0617918","","","","","",76.6
"Davenport","IA","1600000US1919000","","","","","",75.7
"Dayton","OH","1600000US3921000","","","","","",88.2
"Denton","TX","1600000US4819972","","","","","",32.8
"Denver","CO","1600000US0820000","","","","","",69.3
"Des Moines","IA","1600000US1921000","","","","","",77.9
"Detroit","MI","1600000US2622000","","","","","",92.2
"Downey","CA","1600000US0619766","","","","","",85.7
"Durham","NC","1600000US3719000","","","","","",39.9
"El Monte","CA","1600000US0622230","","","","","",74.8
"El Paso","TX","1600000US4824000","","","","","",51.7
"Elgin","IL","1600000US1723074","","","","","",56.3
"Elizabeth","NJ","1600000US3421000","","","","","",78.2
"Elk Grove","CA","1600000US0622020","","","","","",9.7
"Escondido","CA","1600000US0622804","","","","","",50.2
"Eugene","OR","1600000US4123850","","","","","",59.3
"Evansville","IN","1600000US1822000","","","","","",78.9
"Everett","WA","1600000US5322640","","","","","",52.2
"Fairfield","CA","1600000US0623182","","","","","",41.6
"Fargo","ND","1600000US3825700","","","","","",44.2
"Fayetteville","NC","1600000US3722920","","","","","",46.8
"Fontana","CA","1600000US0624680","","","","","",32.1
"Fort Collins","CO","1600000US0827425","","","","","",39.3
"Fort Lauderdale","FL","1600000US1224000","","","","","",76.3
"Fort Wayne","IN","1600000US1825000","","","","","",66.6
"Fort Worth","TX","1600000US4827000","","","","","",43.5
"Fremont","CA","1600000US0626000","","","","","",59.5
"Fresno","CA","1600000US0627000","","","","","",54.6
"Frisco","TX","1600000US4827684","","","","","",4
"Fullerton","CA","1600000US0628000","","","","","",74.9
"Gainesville","FL","1600000US1225175","","","","","",49.2
"Garden Grove","CA","1600000US0629000","","","","","",80.2
"Garland","TX","1600000US4829000","","","","","",54.9
"Glendale (AZ)","AZ","1600000US0427820","","","","","",38.8
"Glendale (CA)","CA","1600000US0630000","","","","","",74.6
"Grand Prairie","TX","1600000US4830464","","","","","",35.8
"Grand Rapids","MI","1600000US2634000","","","","","",81.4
"Green Bay","WI","1600000US5531000","","","","","",70.7
"Greensboro","NC","1600000US3728000","","","","","",47.5
"Gresham","OR","1600000US4131250","","","","","",50.5
"Hampton","VA","1600000US5135000","","","","","",63.1
"Hartford","CT","1600000US0937000","","","","","",84.7
"Hayward","CA","1600000US0633000","","","","","",68.4
"Henderson","NV","1600000US3231900","","","","","",8.2
"Hialeah","FL","1600000US1230000","","","","","",69.1
"High Point","NC","1600000US3731400","","","","","",47.1
"Hollywood","FL","1600000US1232000","","","","","",76.4
"Honolulu","HI","1600000US1571550","","","","","",72.8
"Houston","TX","1600000US4835000","","","","","",58.2
"Huntington Beach","CA","1600000US0636000","","","","","",74.6
"Huntsville","AL","1600000US0137000","","","","","",54.9
"Independence","MO","1600000US2935000","","","","","",74.7
"Indianapolis","IN","1600000US1836003","","","","","",63.8
"Inglewood","CA","1600000US0636546","","","","","",82.4
"Irvine","CA","1600000US0636770","","","","","",28
"Irving","TX","1600000US4837000","","","","","",42
"Jackson","MS","1600000US2836000","","","","","",74
"Jacksonville","FL","1600000US1235000","","","","","",46.5
"Jersey City","NJ","1600000US3436000","","","","","",70.4
"Joliet","IL","1600000US1738570","","","","","",51.7
"Kansas City (KS)","KS","1600000US2036000","","","","","",81.4
"Kansas City (MO)","MO","1600000US2938000","","","","","",70
"Kent","WA","1600000US5335415","","","","","",38.2
"Killeen","TX","1600000US4839148","","","","","",29.7
"Knoxville","TN","1600000US4740000","","","","","",66.4
"Lafayette","LA","1600000US2240735","","","","","",54.9
"Lakewood","CO","1600000US0843000","","","","","",67.1
"Lancaster","CA","1600000US0640130","","","","","",30.6
"Lansing","MI","1600000US2646000","","","","","",83.7
"Laredo","TX","1600000US4841464","","","","","",32.5
"Las Vegas","NV","1600000US3240000","","","","","",24
"Lexington-Fayette","KY","1600000US2146027","","","","","",50
"Lincoln","NE","1600000US3128000","","","","","",56.1
"Little Rock","AR","1600000US0541000","","","","","",53.9
