"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",35.77
"Akron","OH","1600000US3901000","","","","","",6.91
"Albuquerque","NM","1600000US3502000","","","","","",5.35
"Alexandria","VA","1600000US5101000","","","","","",12.38
"Allentown","PA","1600000US4202000","","","","","",11.87
"Amarillo","TX","1600000US4803000","","","","","",5.98
"Anaheim","CA","1600000US0602000","","","","","",2.87
"Anchorage","AK","1600000US0203000","","","","","",15.35
"Ann Arbor","MI","1600000US2603000","","","","","",5.72
"Antioch","CA","1600000US0602252","","","","","",9.37
"Arlington","TX","1600000US4804000","","","","","",8.39
"Arvada","CO","1600000US0803455","","","","","",8.38
"Atlanta","GA","1600000US1304000","","","","","",5.65
"Aurora (CO)","CO","1600000US0804000","","","","","",6.54
"Aurora (IL)","IL","1600000US1703012","","","","","",3.18
"Austin","TX","1600000US4805000","","","","","",9.56
"Bakersfield","CA","1600000US0603526","","","","","",3.28
"Baltimore","MD","1600000US2404000","","","","","",3.18
"Baton Rouge","LA","1600000US2205000","","","","","",26.13
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",8.58
"Beaumont","TX","1600000US4807000","","","","","",100
"Bellevue","WA","1600000US5305210","","","","","",10.27
"Berkeley","CA","1600000US0606000","","","","","",2.17
"Billings","MT","1600000US3006550","","","","","",2.44
"Birmingham","AL","1600000US0107000","","","","","",7.05
"Boise City","ID","1600000US1608830","","","","","",6.27
"Boston","MA","1600000US2507000","","","","","",11.94
"Bridgeport","CT","1600000US0908000","","","","","",25.81
"Brownsville","TX","1600000US4810768","","","","","",23.38
"Buffalo","NY","1600000US3611000","","","","","",1.46
"Burbank","CA","1600000US0608954","","","","","",5.17
"Burlington","VT","1600000US5010675","","","","","",38.66
"Cambridge","MA","1600000US2511000","","","","","",6.03
"Cape Coral","FL","1600000US1210275","","","","","",42.07
"Carlsbad","CA","1600000US0611194","","","","","",7.73
"Carolina","PR","1600000US7214290","","","","","",37.33
"Carrollton","TX","1600000US4813024","","","","","",12.67
"Cedar Rapids","IA","1600000US1912000","","","","","",15.78
"Centennial","CO","1600000US0812815","","","","","",5.42
"Chandler","AZ","1600000US0412000","","","","","",1.92
"Charleston (SC)","SC","1600000US4513330","","","","","",15.89
"Charleston (WV)","WV","1600000US5414600","","","","","",60.63
"Charlotte","NC","1600000US3712000","","","","","",6.21
"Chattanooga","TN","1600000US4714000","","","","","",17.94
"Chesapeake","VA","1600000US5116000","","","","","",23.4
"Cheyenne","WY","1600000US5613900","","","","","",3.78
"Chicago","IL","1600000US1714000","","","","","",1.81
"Chula Vista","CA","1600000US0613392","","","","","",6.48
"Cincinnati","OH","1600000US3915000","","","","","",15.08
"Clarksville","TN","1600000US4715160","","","","","",10.88
"Clearwater","FL","1600000US1212875","","","","","",24.35
"Cleveland","OH","1600000US3916000","","","","","",3.06
"Colorado Springs","CO","1600000US0816000","","","","","",4.39
"Columbia (MO)","MO","1600000US2915670","","","","","",9.05
"Columbia (SC)","SC","1600000US4516000","","","","","",10.7
"Columbus (GA)","GA","1600000US1319000","","","","","",8.85
"Columbus (OH)","OH","1600000US3918000","","","","","",23.72
"Concord","CA","1600000US0616000","","","","","",8.56
"Coral Springs","FL","1600000US1214400","","","","","",37.25
"Corona","CA","1600000US0616350","","","","","",7.57
"Corpus Christi","TX","1600000US4817000","","","","","",88.13
"Costa Mesa","CA","1600000US0616532","","","","","",1.89
"Dallas","TX","1600000US4819000","","","","","",13.7
"Daly City","CA","1600000US0617918","","","","","",0.48
"Davenport","IA","1600000US1919000","","","","","",20.89
"Dayton","OH","1600000US3921000","","","","","",7.94
"Denton","TX","1600000US4819972","","","","","",18.21
"Denver","CO","1600000US0820000","","","","","",3.8
"Des Moines","IA","1600000US1921000","","","","","",35.87
"Detroit","MI","1600000US2622000","","","","","",1.31
"Downey","CA","1600000US0619766","","","","","",1.09
"Durham","NC","1600000US3719000","","","","","",10.34
"El Monte","CA","1600000US0622230","","","","","",0
"El Paso","TX","1600000US4824000","","","","","",7.85
"Elgin","IL","1600000US1723074","","","","","",8.66
"Elizabeth","NJ","1600000US3421000","","","","","",5.39
"Elk Grove","CA","1600000US0622020","","","","","",4.98
"Escondido","CA","1600000US0622804","","","","","",4.96
"Eugene","OR","1600000US4123850","","","","","",10.59
"Evansville","IN","1600000US1822000","","","","","",10.38
"Everett","WA","1600000US5322640","","","","","",8.56
"Fairfield","CA","1600000US0623182","","","","","",10.44
"Fargo","ND","1600000US3825700","","","","","",32.82
"Fayetteville","NC","1600000US3722920","","","","","",15.31
"Fontana","CA","1600000US0624680","","","","","",2.01
"Fort Collins","CO","1600000US0827425","","","","","",4.57
"Fort Lauderdale","FL","1600000US1224000","","","","","",55
"Fort Wayne","IN","1600000US1825000","","","","","",8.87
"Fort Worth","TX","1600000US4827000","","","","","",9.18
"Fremont","CA","1600000US0626000","","","","","",12.19
"Fresno","CA","1600000US0627000","","","","","",2.92
"Frisco","TX","1600000US4827684","","","","","",7.11
"Fullerton","CA","1600000US0628000","","","","","",1.56
"Gainesville","FL","1600000US1225175","","","","","",20.46
"Garden Grove","CA","1600000US0629000","","","","","",10.31
"Garland","TX","1600000US4829000","","","","","",9.5
"Glendale (AZ)","AZ","1600000US0427820","","","","","",3.9
"Glendale (CA)","CA","1600000US0630000","","","","","",13.42
"Grand Prairie","TX","1600000US4830464","","","","","",23.34
"Grand Rapids","MI","1600000US2634000","","","","","",0
"Green Bay","WI","1600000US5531000","","","","","",14.24
"Greensboro","NC","1600000US3728000","","","","","",8.97
"Gresham","OR","1600000US4131250","","","","","",2.55
"Hampton","VA","1600000US5135000","","","","","",35.05
"Hartford","CT","1600000US0937000","","","","","",9.69
"Hayward","CA","1600000US0633000","","","","","",14.44
"Henderson","NV","1600000US3231900","","","","","",4.41
"Hialeah","FL","1600000US1230000","","","","","",45.56
"High Point","NC","1600000US3731400","","","","","",8.58
"Hollywood","FL","1600000US1232000","","","","","",47.5
"Honolulu","HI","1600000US1571550","","","","","",18.53
"Houston","TX","1600000US4835000","","","","","",18.63
"Huntington Beach","CA","1600000US0636000","","","","","",16.26
"Huntsville","AL","1600000US0137000","","","","","",6.09
"Independence","MO","1600000US2935000","","","","","",10.25
"Indianapolis","IN","1600000US1836003","","","","","",0
"Inglewood","CA","1600000US0636546","","","","","",3.76
"Irvine","CA","1600000US0636770","","","","","",10.91
"Irving","TX","1600000US4837000","","","","","",35.5
"Jackson","MS","1600000US2836000","","","","","",25.39
"Jacksonville","FL","1600000US1235000","","","","","",24.19
"Jersey City","NJ","1600000US3436000","","","","","",11.51
"Joliet","IL","1600000US1738570","","","","","",11.03
"Kansas City (KS)","KS","1600000US2036000","","","","","",4.81
"Kansas City (MO)","MO","1600000US2938000","","","","","",7.29
