"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",17.14891186
"Akron","OH","1600000US3901000","","","","","",16.75818588
"Albuquerque","NM","1600000US3502000","","","","","",5.659316195
"Alexandria","VA","1600000US5101000","","","","","",2.402034856
"Allentown","PA","1600000US4202000","","","","","",15.05085479
"Amarillo","TX","1600000US4803000","","","","","",18.32765356
"Anaheim","CA","1600000US0602000","","","","","",10.45625624
"Anchorage","AK","1600000US0203000","","","","","",13.4990996
"Ann Arbor","MI","1600000US2603000","","","","","",12.30907034
"Antioch","CA","1600000US0602252","","","","","",10.49677557
"Arlington","TX","1600000US4804000","","","","","",17.66200426
"Arvada","CO","1600000US0803455","","","","","",10.10084277
"Atlanta","GA","1600000US1304000","","","","","",9.549572887
"Aurora (CO)","CO","1600000US0804000","","","","","",10.10084277
"Aurora (IL)","IL","1600000US1703012","","","","","",13.92166333
"Austin","TX","1600000US4805000","","","","","",15.85590543
"Bakersfield","CA","1600000US0603526","","","","","",31.56660806
"Baltimore","MD","1600000US2404000","","","","","",8.043724791
"Baton Rouge","LA","1600000US2205000","","","","","",28.56999868
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",3.04482
"Beaumont","TX","1600000US4807000","","","","","",48.83758672
"Bellevue","WA","1600000US5305210","","","","","",14.90240839
"Berkeley","CA","1600000US0606000","","","","","",10.49677557
"Billings","MT","1600000US3006550","","","","","",1.106104056
"Birmingham","AL","1600000US0107000","","","","","",16.67212833
"Boise City","ID","1600000US1608830","","","","","",15.56919827
"Boston","MA","1600000US2507000","","","","","",0.099105029
"Bridgeport","CT","1600000US0908000","","","","","",9.990497827
"Brownsville","TX","1600000US4810768","","","","","",12.5656926
"Buffalo","NY","1600000US3611000","","","","","",16.24758017
"Burbank","CA","1600000US0608954","","","","","",10.45625624
"Burlington","VT","1600000US5010675","","","","","",9.719959662
"Cambridge","MA","1600000US2511000","","","","","",0.099105029
"Cape Coral","FL","1600000US1210275","","","","","",5.850098619
"Carlsbad","CA","1600000US0611194","","","","","",11.9488786
"Carolina","PR","1600000US7214290","","","","","",3.863048
"Carrollton","TX","1600000US4813024","","","","","",17.66200426
"Cedar Rapids","IA","1600000US1912000","","","","","",24.81563016
"Centennial","CO","1600000US0812815","","","","","",10.10084277
"Chandler","AZ","1600000US0412000","","","","","",11.40665915
"Charleston (SC)","SC","1600000US4513330","","","","","",11.72533711
"Charleston (WV)","WV","1600000US5414600","","","","","",2.124087591
"Charlotte","NC","1600000US3712000","","","","","",14.00093147
"Chattanooga","TN","1600000US4714000","","","","","",18.83496746
"Chesapeake","VA","1600000US5116000","","","","","",1.501617957
"Cheyenne","WY","1600000US5613900","","","","","",9.115329512
"Chicago","IL","1600000US1714000","","","","","",13.92166333
"Chula Vista","CA","1600000US0613392","","","","","",11.9488786
"Cincinnati","OH","1600000US3915000","","","","","",1.5287595
"Clarksville","TN","1600000US4715160","","","","","",13.18691333
"Clearwater","FL","1600000US1212875","","","","","",8.723979737
"Cleveland","OH","1600000US3916000","","","","","",16.53794072
"Colorado Springs","CO","1600000US0816000","","","","","",0.844221106
"Columbia (MO)","MO","1600000US2915670","","","","","",7.358785981
"Columbia (SC)","SC","1600000US4516000","","","","","",12.88767266
"Columbus (GA)","GA","1600000US1319000","","","","","",1.267297888
"Columbus (OH)","OH","1600000US3918000","","","","","",12.48435997
"Concord","CA","1600000US0616000","","","","","",10.49677557
"Coral Springs","FL","1600000US1214400","","","","","",6.293377526
"Corona","CA","1600000US0616350","","","","","",11.19193384
"Corpus Christi","TX","1600000US4817000","","","","","",18.14292574
"Costa Mesa","CA","1600000US0616532","","","","","",10.45625624
"Dallas","TX","1600000US4819000","","","","","",17.66200426
"Daly City","CA","1600000US0617918","","","","","",10.49677557
"Davenport","IA","1600000US1919000","","","","","",21.0582877
"Dayton","OH","1600000US3921000","","","","","",15.67107076
"Denton","TX","1600000US4819972","","","","","",17.66200426
"Denver","CO","1600000US0820000","","","","","",10.10084277
"Des Moines","IA","1600000US1921000","","","","","",6.044203879
"Detroit","MI","1600000US2622000","","","","","",19.33395333
"Downey","CA","1600000US0619766","","","","","",10.45625624
"Durham","NC","1600000US3719000","","","","","",31.70561641
"El Monte","CA","1600000US0622230","","","","","",10.45625624
"El Paso","TX","1600000US4824000","","","","","",1.895406752
"Elgin","IL","1600000US1723074","","","","","",13.92166333
"Elizabeth","NJ","1600000US3421000","","","","","",0.030011761
"Elk Grove","CA","1600000US0622020","","","","","",7.339846128
"Escondido","CA","1600000US0622804","","","","","",11.9488786
"Eugene","OR","1600000US4123850","","","","","",14.72559698
"Evansville","IN","1600000US1822000","","","","","",37.29281768
"Everett","WA","1600000US5322640","","","","","",14.90240839
"Fairfield","CA","1600000US0623182","","","","","",27.62394381
"Fargo","ND","1600000US3825700","","","","","",8.618331054
"Fayetteville","NC","1600000US3722920","","","","","",10.23603508
"Fontana","CA","1600000US0624680","","","","","",11.19193384
"Fort Collins","CO","1600000US0827425","","","","","",18.64100245
"Fort Lauderdale","FL","1600000US1224000","","","","","",6.293377526
"Fort Wayne","IN","1600000US1825000","","","","","",23.52443609
"Fort Worth","TX","1600000US4827000","","","","","",17.66200426
"Fremont","CA","1600000US0626000","","","","","",10.49677557
"Fresno","CA","1600000US0627000","","","","","",19.62657739
"Frisco","TX","1600000US4827684","","","","","",17.66200426
"Fullerton","CA","1600000US0628000","","","","","",10.45625624
"Gainesville","FL","1600000US1225175","","","","","",6.424102016
"Garden Grove","CA","1600000US0629000","","","","","",10.45625624
"Garland","TX","1600000US4829000","","","","","",17.66200426
"Glendale (AZ)","AZ","1600000US0427820","","","","","",11.40665915
"Glendale (CA)","CA","1600000US0630000","","","","","",10.45625624
