"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",31.28
"Akron","OH","1600000US3901000","","","","","",7.06
"Albuquerque","NM","1600000US3502000","","","","","",5.44
"Alexandria","VA","1600000US5101000","","","","","",11.09
"Allentown","PA","1600000US4202000","","","","","",12.23
"Amarillo","TX","1600000US4803000","","","","","",6.78
"Anaheim","CA","1600000US0602000","","","","","",2.7
"Anchorage","AK","1600000US0203000","","","","","",15.32
"Ann Arbor","MI","1600000US2603000","","","","","",5.95
"Antioch","CA","1600000US0602252","","","","","",7.9
"Arlington","TX","1600000US4804000","","","","","",8.02
"Arvada","CO","1600000US0803455","","","","","",8.28
"Atlanta","GA","1600000US1304000","","","","","",6
"Aurora (CO)","CO","1600000US0804000","","","","","",6.21
"Aurora (IL)","IL","1600000US1703012","","","","","",3.24
"Austin","TX","1600000US4805000","","","","","",10.01
"Bakersfield","CA","1600000US0603526","","","","","",3.02
"Baltimore","MD","1600000US2404000","","","","","",3.23
"Baton Rouge","LA","1600000US2205000","","","","","",26.54
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",8.46
"Beaumont","TX","1600000US4807000","","","","","",100
"Bellevue","WA","1600000US5305210","","","","","",12.01
"Berkeley","CA","1600000US0606000","","","","","",2.22
"Billings","MT","1600000US3006550","","","","","",2.63
"Birmingham","AL","1600000US0107000","","","","","",7.1
"Boise City","ID","1600000US1608830","","","","","",5.82
"Boston","MA","1600000US2507000","","","","","",11.94
"Bridgeport","CT","1600000US0908000","","","","","",24.19
"Brownsville","TX","1600000US4810768","","","","","",22.79
"Buffalo","NY","1600000US3611000","","","","","",1.47
"Burbank","CA","1600000US0608954","","","","","",5.9
"Burlington","VT","1600000US5010675","","","","","",35.98
"Cambridge","MA","1600000US2511000","","","","","",7.4
"Cape Coral","FL","1600000US1210275","","","","","",37.66
"Carlsbad","CA","1600000US0611194","","","","","",6.99
"Carolina","PR","1600000US7214290","","","","","",35.66
"Carrollton","TX","1600000US4813024","","","","","",12.52
"Cedar Rapids","IA","1600000US1912000","","","","","",15.47
"Centennial","CO","1600000US0812815","","","","","",5.98
"Chandler","AZ","1600000US0412000","","","","","",1.95
"Charleston (SC)","SC","1600000US4513330","","","","","",15.25
"Charleston (WV)","WV","1600000US5414600","","","","","",58.66
"Charlotte","NC","1600000US3712000","","","","","",6.56
"Chattanooga","TN","1600000US4714000","","","","","",17.63
"Chesapeake","VA","1600000US5116000","","","","","",22.74
"Cheyenne","WY","1600000US5613900","","","","","",3.54
"Chicago","IL","1600000US1714000","","","","","",1.72
"Chula Vista","CA","1600000US0613392","","","","","",6.79
"Cincinnati","OH","1600000US3915000","","","","","",17.3
"Clarksville","TN","1600000US4715160","","","","","",10.67
"Clearwater","FL","1600000US1212875","","","","","",20.95
"Cleveland","OH","1600000US3916000","","","","","",3.33
"Colorado Springs","CO","1600000US0816000","","","","","",4.56
"Columbia (MO)","MO","1600000US2915670","","","","","",9.32
"Columbia (SC)","SC","1600000US4516000","","","","","",10.67
"Columbus (GA)","GA","1600000US1319000","","","","","",9.21
"Columbus (OH)","OH","1600000US3918000","","","","","",24.7
"Concord","CA","1600000US0616000","","","","","",9.33
"Coral Springs","FL","1600000US1214400","","","","","",34.68
"Corona","CA","1600000US0616350","","","","","",8.58
"Corpus Christi","TX","1600000US4817000","","","","","",86.46
"Costa Mesa","CA","1600000US0616532","","","","","",1.9
"Dallas","TX","1600000US4819000","","","","","",14.75
"Daly City","CA","1600000US0617918","","","","","",0.48
"Davenport","IA","1600000US1919000","","","","","",19.35
"Dayton","OH","1600000US3921000","","","","","",8.14
"Denton","TX","1600000US4819972","","","","","",18.41
"Denver","CO","1600000US0820000","","","","","",4.22
"Des Moines","IA","1600000US1921000","","","","","",33.78
"Detroit","MI","1600000US2622000","","","","","",1.33
"Downey","CA","1600000US0619766","","","","","",1.07
"Durham","NC","1600000US3719000","","","","","",10.05
"El Monte","CA","1600000US0622230","","","","","",0
"El Paso","TX","1600000US4824000","","","","","",8.1
"Elgin","IL","1600000US1723074","","","","","",8.73
"Elizabeth","NJ","1600000US3421000","","","","","",5.04
"Elk Grove","CA","1600000US0622020","","","","","",4.91
"Escondido","CA","1600000US0622804","","","","","",5.46
"Eugene","OR","1600000US4123850","","","","","",10.52
"Evansville","IN","1600000US1822000","","","","","",10.11
"Everett","WA","1600000US5322640","","","","","",8.45
"Fairfield","CA","1600000US0623182","","","","","",9.93
"Fargo","ND","1600000US3825700","","","","","",34.83
"Fayetteville","NC","1600000US3722920","","","","","",16.03
"Fontana","CA","1600000US0624680","","","","","",2.06
"Fort Collins","CO","1600000US0827425","","","","","",4.63
"Fort Lauderdale","FL","1600000US1224000","","","","","",51.12
"Fort Wayne","IN","1600000US1825000","","","","","",8.35
"Fort Worth","TX","1600000US4827000","","","","","",9.07
"Fremont","CA","1600000US0626000","","","","","",12.09
"Fresno","CA","1600000US0627000","","","","","",2.87
"Frisco","TX","1600000US4827684","","","","","",7.24
"Fullerton","CA","1600000US0628000","","","","","",1.74
"Gainesville","FL","1600000US1225175","","","","","",20.26
"Garden Grove","CA","1600000US0629000","","","","","",11.33
"Garland","TX","1600000US4829000","","","","","",9.44
