"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",14.378483
"Akron","OH","1600000US3901000","","","","","",27.1067349
"Albuquerque","NM","1600000US3502000","","","","","",15.4089636
"Alexandria","VA","1600000US5101000","","","","","",4.8684938
"Allentown","PA","1600000US4202000","","","","","",28.3847347
"Amarillo","TX","1600000US4803000","","","","","",13.8158863
"Anaheim","CA","1600000US0602000","","","","","",12.1310324
"Anchorage","AK","1600000US0203000","","","","","",11.0092703
"Ann Arbor","MI","1600000US2603000","","","","","",7.895462
"Antioch","CA","1600000US0602252","","","","","",13.3756451
"Arlington","TX","1600000US4804000","","","","","",14.1486309
"Arvada","CO","1600000US0803455","","","","","",5.9621204
"Atlanta","GA","1600000US1304000","","","","","",18.0325046
"Aurora (CO)","CO","1600000US0804000","","","","","",12.5476695
"Aurora (IL)","IL","1600000US1703012","","","","","",15.5820274
"Austin","TX","1600000US4805000","","","","","",10.4562992
"Bakersfield","CA","1600000US0603526","","","","","",15.0205889
"Baltimore","MD","1600000US2404000","","","","","",26.6238216
"Baton Rouge","LA","1600000US2205000","","","","","",20.6214115
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",28.6625676
"Beaumont","TX","1600000US4807000","","","","","",19.9857121
"Bellevue","WA","1600000US5305210","","","","","",6.5275933
"Berkeley","CA","1600000US0606000","","","","","",4.6170264
"Billings","MT","1600000US3006550","","","","","",11.2287943
"Birmingham","AL","1600000US0107000","","","","","",26.0781132
"Boise City","ID","1600000US1608830","","","","","",11.839017
"Boston","MA","1600000US2507000","","","","","",20.0628965
"Bridgeport","CT","1600000US0908000","","","","","",29.2592372
"Brownsville","TX","1600000US4810768","","","","","",29.0208095
"Buffalo","NY","1600000US3611000","","","","","",34.7565333
"Burbank","CA","1600000US0608954","","","","","",5.1787916
"Burlington","VT","1600000US5010675","","","","","",17.6437813
"Cambridge","MA","1600000US2511000","","","","","",8.5568823
"Cape Coral","FL","1600000US1210275","","","","","",12.6697984
"Carlsbad","CA","1600000US0611194","","","","","",2.7879694
"Carolina","PR","1600000US7214290","","","","","",26.8821618
"Carrollton","TX","1600000US4813024","","","","","",6.2633939
"Cedar Rapids","IA","1600000US1912000","","","","","",14.8758626
"Centennial","CO","1600000US0812815","","","","","",3.2879382
"Chandler","AZ","1600000US0412000","","","","","",7.9023974
"Charleston (SC)","SC","1600000US4513330","","","","","",9.3040991
"Charleston (WV)","WV","1600000US5414600","","","","","",17.1615567
"Charlotte","NC","1600000US3712000","","","","","",14.0296837
"Chattanooga","TN","1600000US4714000","","","","","",21.0457367
"Chesapeake","VA","1600000US5116000","","","","","",9.4531269
"Cheyenne","WY","1600000US5613900","","","","","",9.2717867
"Chicago","IL","1600000US1714000","","","","","",20.692346
"Chula Vista","CA","1600000US0613392","","","","","",9.4432916
"Cincinnati","OH","1600000US3915000","","","","","",24.5138644
"Clarksville","TN","1600000US4715160","","","","","",15.8220025
"Clearwater","FL","1600000US1212875","","","","","",14.7921443
"Cleveland","OH","1600000US3916000","","","","","",36.3620586
"Colorado Springs","CO","1600000US0816000","","","","","",11.7432255
"Columbia (MO)","MO","1600000US2915670","","","","","",10.5477079
"Columbia (SC)","SC","1600000US4516000","","","","","",17.2763223
"Columbus (GA)","GA","1600000US1319000","","","","","",19.73337
"Columbus (OH)","OH","1600000US3918000","","","","","",18.2565337
"Concord","CA","1600000US0616000","","","","","",9.2800987
"Coral Springs","FL","1600000US1214400","","","","","",10.7737054
"Corona","CA","1600000US0616350","","","","","",8.9791511
"Corpus Christi","TX","1600000US4817000","","","","","",17.5801493
"Costa Mesa","CA","1600000US0616532","","","","","",6.1528307
"Dallas","TX","1600000US4819000","","","","","",16.9504808
"Daly City","CA","1600000US0617918","","","","","",6.3975335
"Davenport","IA","1600000US1919000","","","","","",16.2311436
"Dayton","OH","1600000US3921000","","","","","",31.479866
"Denton","TX","1600000US4819972","","","","","",9.6559607
"Denver","CO","1600000US0820000","","","","","",11.4175384
"Des Moines","IA","1600000US1921000","","","","","",23.8701861
"Detroit","MI","1600000US2622000","","","","","",43.446078
"Downey","CA","1600000US0619766","","","","","",8.882644
"Durham","NC","1600000US3719000","","","","","",13.7235979
"El Monte","CA","1600000US0622230","","","","","",16.5582726
"El Paso","TX","1600000US4824000","","","","","",22.8482613
"Elgin","IL","1600000US1723074","","","","","",15.2216679
"Elizabeth","NJ","1600000US3421000","","","","","",19.2630538
"Elk Grove","CA","1600000US0622020","","","","","",7.5269689
