"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",15.7
"Akron","OH","1600000US3901000","","","","","",15.2
"Albuquerque","NM","1600000US3502000","","","","","",12.9
"Alexandria","VA","1600000US5101000","","","","","",6.2
"Allentown","PA","1600000US4202000","","","","","",18.5
"Amarillo","TX","1600000US4803000","","","","","",11.5
"Anaheim","CA","1600000US0602000","","","","","",8.2
"Anchorage","AK","1600000US0203000","","","","","",10.1
"Ann Arbor","MI","1600000US2603000","","","","","",7
"Antioch","CA","1600000US0602252","","","","","",14.5
"Arlington","TX","1600000US4804000","","","","","",10.1
"Arvada","CO","1600000US0803455","","","","","",10.3
"Atlanta","GA","1600000US1304000","","","","","",11.7
"Aurora (CO)","CO","1600000US0804000","","","","","",10.2
"Aurora (IL)","IL","1600000US1703012","","","","","",6.8
"Austin","TX","1600000US4805000","","","","","",8.7
"Bakersfield","CA","1600000US0603526","","","","","",10.1
"Baltimore","MD","1600000US2404000","","","","","",15.3
"Baton Rouge","LA","1600000US2205000","","","","","",14.7
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",24.5
"Beaumont","TX","1600000US4807000","","","","","",13.8
"Bellevue","WA","1600000US5305210","","","","","",8.3
"Berkeley","CA","1600000US0606000","","","","","",8.4
"Billings","MT","1600000US3006550","","","","","",12.8
"Birmingham","AL","1600000US0107000","","","","","",16.8
"Boise City","ID","1600000US1608830","","","","","",11.1
"Boston","MA","1600000US2507000","","","","","",12.1
"Bridgeport","CT","1600000US0908000","","","","","",12.1
"Brownsville","TX","1600000US4810768","","","","","",12.5
"Buffalo","NY","1600000US3611000","","","","","",16.5
"Burbank","CA","1600000US0608954","","","","","",10.6
"Burlington","VT","1600000US5010675","","","","","",11.7
"Cambridge","MA","1600000US2511000","","","","","",6.9
"Cape Coral","FL","1600000US1210275","","","","","",12.3
"Carlsbad","CA","1600000US0611194","","","","","",7.9
"Carolina","PR","1600000US7214290","","","","","",21.9
"Carrollton","TX","1600000US4813024","","","","","",6.9
"Cedar Rapids","IA","1600000US1912000","","","","","",11
"Centennial","CO","1600000US0812815","","","","","",7.4
"Chandler","AZ","1600000US0412000","","","","","",8.1
"Charleston (SC)","SC","1600000US4513330","","","","","",9.7
"Charleston (WV)","WV","1600000US5414600","","","","","",17.9
"Charlotte","NC","1600000US3712000","","","","","",9.1
"Chattanooga","TN","1600000US4714000","","","","","",15.4
"Chesapeake","VA","1600000US5116000","","","","","",9.6
"Cheyenne","WY","1600000US5613900","","","","","",12
"Chicago","IL","1600000US1714000","","","","","",10.8
"Chula Vista","CA","1600000US0613392","","","","","",9.1
"Cincinnati","OH","1600000US3915000","","","","","",14.3
"Clarksville","TN","1600000US4715160","","","","","",13.8
"Clearwater","FL","1600000US1212875","","","","","",14.3
"Cleveland","OH","1600000US3916000","","","","","",19.7
"Colorado Springs","CO","1600000US0816000","","","","","",12.1
"Columbia (MO)","MO","1600000US2915670","","","","","",8.9
"Columbia (SC)","SC","1600000US4516000","","","","","",10.9
"Columbus (GA)","GA","1600000US1319000","","","","","",18.4
"Columbus (OH)","OH","1600000US3918000","","","","","",11.8
"Concord","CA","1600000US0616000","","","","","",12
"Coral Springs","FL","1600000US1214400","","","","","",8.5
"Corona","CA","1600000US0616350","","","","","",7.6
"Corpus Christi","TX","1600000US4817000","","","","","",13.9
"Costa Mesa","CA","1600000US0616532","","","","","",7.5
"Dallas","TX","1600000US4819000","","","","","",9.7
"Daly City","CA","1600000US0617918","","","","","",8
"Davenport","IA","1600000US1919000","","","","","",11.4
"Dayton","OH","1600000US3921000","","","","","",19.1
"Denton","TX","1600000US4819972","","","","","",10.2
"Denver","CO","1600000US0820000","","","","","",9.5
"Des Moines","IA","1600000US1921000","","","","","",13
"Detroit","MI","1600000US2622000","","","","","",19.8
"Downey","CA","1600000US0619766","","","","","",8.3
"Durham","NC","1600000US3719000","","","","","",9.7
"El Monte","CA","1600000US0622230","","","","","",9.5
"El Paso","TX","1600000US4824000","","","","","",13.1
"Elgin","IL","1600000US1723074","","","","","",8.6
"Elizabeth","NJ","1600000US3421000","","","","","",9
"Elk Grove","CA","1600000US0622020","","","","","",11.1
"Escondido","CA","1600000US0622804","","","","","",9.9
"Eugene","OR","1600000US4123850","","","","","",13.4
"Evansville","IN","1600000US1822000","","","","","",16.3
"Everett","WA","1600000US5322640","","","","","",15.8
"Fairfield","CA","1600000US0623182","","","","","",11.4
"Fargo","ND","1600000US3825700","","","","","",9.7
"Fayetteville","NC","1600000US3722920","","","","","",15.2
"Fontana","CA","1600000US0624680","","","","","",8.3
"Fort Collins","CO","1600000US0827425","","","","","",7.7
"Fort Lauderdale","FL","1600000US1224000","","","","","",14
"Fort Wayne","IN","1600000US1825000","","","","","",12.6
"Fort Worth","TX","1600000US4827000","","","","","",10.4
"Fremont","CA","1600000US0626000","","","","","",7.4
"Fresno","CA","1600000US0627000","","","","","",13
"Frisco","TX","1600000US4827684","","","","","",5.5
"Fullerton","CA","1600000US0628000","","","","","",8.7
"Gainesville","FL","1600000US1225175","","","","","",9.4
"Garden Grove","CA","1600000US0629000","","","","","",8.9
"Garland","TX","1600000US4829000","","","","","",10.9
"Glendale (AZ)","AZ","1600000US0427820","","","","","",11.5
"Glendale (CA)","CA","1600000US0630000","","","","","",13.7
"Grand Prairie","TX","1600000US4830464","","","","","",8.3
"Grand Rapids","MI","1600000US2634000","","","","","",12.7
"Green Bay","WI","1600000US5531000","","","","","",13.1
"Greensboro","NC","1600000US3728000","","","","","",9.9
