"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",88.57
"Akron","OH","1600000US3901000","","","","","",95.61
"Albuquerque","NM","1600000US3502000","","","","","",81.37
"Alexandria","VA","1600000US5101000","","","","","",87.71
"Allentown","PA","1600000US4202000","","","","","",94.72
"Amarillo","TX","1600000US4803000","","","","","",85.85
"Anaheim","CA","1600000US0602000","","","","","",91.88
"Anchorage","AK","1600000US0203000","","","","","",85.3
"Ann Arbor","MI","1600000US2603000","","","","","",91.82
"Antioch","CA","1600000US0602252","","","","","",83.57
"Arlington","TX","1600000US4804000","","","","","",84.26
"Arvada","CO","1600000US0803455","","","","","",86.63
"Atlanta","GA","1600000US1304000","","","","","",73.18
"Aurora (CO)","CO","1600000US0804000","","","","","",80.36
"Aurora (IL)","IL","1600000US1703012","","","","","",81.02
"Austin","TX","1600000US4805000","","","","","",74.99
"Bakersfield","CA","1600000US0603526","","","","","",71.15
"Baltimore","MD","1600000US2404000","","","","","",95.6
"Baton Rouge","LA","1600000US2205000","","","","","",88.33
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",92.53
"Beaumont","TX","1600000US4807000","","","","","",82.68
"Bellevue","WA","1600000US5305210","","","","","",84.32
"Berkeley","CA","1600000US0606000","","","","","",94.5
"Billings","MT","1600000US3006550","","","","","",83.66
"Birmingham","AL","1600000US0107000","","","","","",91.11
"Boise City","ID","1600000US1608830","","","","","",84.99
"Boston","MA","1600000US2507000","","","","","",92.01
"Bridgeport","CT","1600000US0908000","","","","","",96.72
"Brownsville","TX","1600000US4810768","","","","","",69.77
"Buffalo","NY","1600000US3611000","","","","","",97.83
"Burbank","CA","1600000US0608954","","","","","",93.52
"Burlington","VT","1600000US5010675","","","","","",96.12
"Cambridge","MA","1600000US2511000","","","","","",90.27
"Cape Coral","FL","1600000US1210275","","","","","",56.56
"Carlsbad","CA","1600000US0611194","","","","","",76.28
"Carolina","PR","1600000US7214290","","","","","",89.6
"Carrollton","TX","1600000US4813024","","","","","",84.62
"Cedar Rapids","IA","1600000US1912000","","","","","",84.17
"Centennial","CO","1600000US0812815","","","","","",93.22
"Chandler","AZ","1600000US0412000","","","","","",67.83
"Charleston (SC)","SC","1600000US4513330","","","","","",72.51
"Charleston (WV)","WV","1600000US5414600","","","","","",96.18
"Charlotte","NC","1600000US3712000","","","","","",73.23
"Chattanooga","TN","1600000US4714000","","","","","",86.7
"Chesapeake","VA","1600000US5116000","","","","","",82.49
"Cheyenne","WY","1600000US5613900","","","","","",84.44
"Chicago","IL","1600000US1714000","","","","","",90.71
"Chula Vista","CA","1600000US0613392","","","","","",75.84
"Cincinnati","OH","1600000US3915000","","","","","",95.29
"Clarksville","TN","1600000US4715160","","","","","",65.63
"Clearwater","FL","1600000US1212875","","","","","",92.25
"Cleveland","OH","1600000US3916000","","","","","",95.6
"Colorado Springs","CO","1600000US0816000","","","","","",80.38
"Columbia (MO)","MO","1600000US2915670","","","","","",71.3
"Columbia (SC)","SC","1600000US4516000","","","","","",81.76
"Columbus (GA)","GA","1600000US1319000","","","","","",79.82
"Columbus (OH)","OH","1600000US3918000","","","","","",85.55
"Concord","CA","1600000US0616000","","","","","",95.07
"Coral Springs","FL","1600000US1214400","","","","","",90.17
"Corona","CA","1600000US0616350","","","","","",81.11
"Corpus Christi","TX","1600000US4817000","","","","","",85.5
"Costa Mesa","CA","1600000US0616532","","","","","",93.61
"Dallas","TX","1600000US4819000","","","","","",85.76
