"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",5.6
"Akron","OH","1600000US3901000","","","","","",15.2
"Albuquerque","NM","1600000US3502000","","","","","",7.4
"Alexandria","VA","1600000US5101000","","","","","",9.3
"Allentown","PA","1600000US4202000","","","","","",19.6
"Amarillo","TX","1600000US4803000","","","","","",5.9
"Anaheim","CA","1600000US0602000","","","","","",6.9
"Anchorage","AK","1600000US0203000","","","","","",5.8
"Ann Arbor","MI","1600000US2603000","","","","","",12.6
"Antioch","CA","1600000US0602252","","","","","",6.8
"Arlington","TX","1600000US4804000","","","","","",4.9
"Arvada","CO","1600000US0803455","","","","","",4
"Atlanta","GA","1600000US1304000","","","","","",16.8
"Aurora (CO)","CO","1600000US0804000","","","","","",6.9
"Aurora (IL)","IL","1600000US1703012","","","","","",4.9
"Austin","TX","1600000US4805000","","","","","",6.6
"Bakersfield","CA","1600000US0603526","","","","","",6.4
"Baltimore","MD","1600000US2404000","","","","","",29.8
"Baton Rouge","LA","1600000US2205000","","","","","",10.1
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",14.7
"Beaumont","TX","1600000US4807000","","","","","",11.2
"Bellevue","WA","1600000US5305210","","","","","",6.2
"Berkeley","CA","1600000US0606000","","","","","",20.9
"Billings","MT","1600000US3006550","","","","","",5.9
"Birmingham","AL","1600000US0107000","","","","","",14.8
"Boise City","ID","1600000US1608830","","","","","",6.2
"Boston","MA","1600000US2507000","","","","","",35.2
"Bridgeport","CT","1600000US0908000","","","","","",20.9
"Brownsville","TX","1600000US4810768","","","","","",10
"Buffalo","NY","1600000US3611000","","","","","",29.3
"Burbank","CA","1600000US0608954","","","","","",8.1
"Burlington","VT","1600000US5010675","","","","","",15.2
"Cambridge","MA","1600000US2511000","","","","","",30.6
"Cape Coral","FL","1600000US1210275","","","","","",3.8
"Carlsbad","CA","1600000US0611194","","","","","",3.6
"Carolina","PR","1600000US7214290","","","","","",14.8
"Carrollton","TX","1600000US4813024","","","","","",2.3
"Cedar Rapids","IA","1600000US1912000","","","","","",6.8
"Centennial","CO","1600000US0812815","","","","","",2.3
"Chandler","AZ","1600000US0412000","","","","","",3.6
"Charleston (SC)","SC","1600000US4513330","","","","","",9.5
"Charleston (WV)","WV","1600000US5414600","","","","","",14.4
"Charlotte","NC","1600000US3712000","","","","","",7.8
"Chattanooga","TN","1600000US4714000","","","","","",11.7
"Chesapeake","VA","1600000US5116000","","","","","",4.1
"Cheyenne","WY","1600000US5613900","","","","","",5.3
"Chicago","IL","1600000US1714000","","","","","",26.9
"Chula Vista","CA","1600000US0613392","","","","","",5.6
"Cincinnati","OH","1600000US3915000","","","","","",21.5
"Clarksville","TN","1600000US4715160","","","","","",5.1
"Clearwater","FL","1600000US1212875","","","","","",11.8
"Cleveland","OH","1600000US3916000","","","","","",25.5
"Colorado Springs","CO","1600000US0816000","","","","","",5.7
"Columbia (MO)","MO","1600000US2915670","","","","","",7.7
"Columbia (SC)","SC","1600000US4516000","","","","","",11.6
"Columbus (GA)","GA","1600000US1319000","","","","","",10.9
"Columbus (OH)","OH","1600000US3918000","","","","","",9.7
"Concord","CA","1600000US0616000","","","","","",6.3
"Coral Springs","FL","1600000US1214400","","","","","",5
"Corona","CA","1600000US0616350","","","","","",3.6
"Corpus Christi","TX","1600000US4817000","","","","","",8.6
"Costa Mesa","CA","1600000US0616532","","","","","",4.8
"Dallas","TX","1600000US4819000","","","","","",10.1
"Daly City","CA","1600000US0617918","","","","","",8.8
"Davenport","IA","1600000US1919000","","","","","",8.5
"Dayton","OH","1600000US3921000","","","","","",21.2
"Denton","TX","1600000US4819972","","","","","",5.8
"Denver","CO","1600000US0820000","","","","","",11
"Des Moines","IA","1600000US1921000","","","","","",8.8
"Detroit","MI","1600000US2622000","","","","","",25
"Downey","CA","1600000US0619766","","","","","",4.7
"Durham","NC","1600000US3719000","","","","","",10
"El Monte","CA","1600000US0622230","","","","","",10
"El Paso","TX","1600000US4824000","","","","","",7.9
