"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",0.998
"Akron","OH","1600000US3901000","","","","","",0.996
"Albuquerque","NM","1600000US3502000","","","","","",0.998
"Alexandria","VA","1600000US5101000","","","","","",0.995
"Allentown","PA","1600000US4202000","","","","","",0.996
"Amarillo","TX","1600000US4803000","","","","","",0.998
"Anaheim","CA","1600000US0602000","","","","","",0.93
"Anchorage","AK","1600000US0203000","","","","","",0.996
"Ann Arbor","MI","1600000US2603000","","","","","",0.992
"Antioch","CA","1600000US0602252","","","","","",0.995
"Arlington","TX","1600000US4804000","","","","","",0.998
"Arvada","CO","1600000US0803455","","","","","",0.997
"Atlanta","GA","1600000US1304000","","","","","",0.996
"Aurora (CO)","CO","1600000US0804000","","","","","",0.996
"Aurora (IL)","IL","1600000US1703012","","","","","",0.998
"Austin","TX","1600000US4805000","","","","","",0.997
"Bakersfield","CA","1600000US0603526","","","","","",0.984
"Baltimore","MD","1600000US2404000","","","","","",0.994
"Baton Rouge","LA","1600000US2205000","","","","","",0.995
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",0.242
"Beaumont","TX","1600000US4807000","","","","","",0.997
"Bellevue","WA","1600000US5305210","","","","","",0.997
"Berkeley","CA","1600000US0606000","","","","","",0.971
"Billings","MT","1600000US3006550","","","","","",0.998
"Birmingham","AL","1600000US0107000","","","","","",0.998
"Boise City","ID","1600000US1608830","","","","","",0.997
"Boston","MA","1600000US2507000","","","","","",0.992
"Bridgeport","CT","1600000US0908000","","","","","",0.996
"Brownsville","TX","1600000US4810768","","","","","",0.986
"Buffalo","NY","1600000US3611000","","","","","",0.995
"Burbank","CA","1600000US0608954","","","","","",0.975
"Burlington","VT","1600000US5010675","","","","","",0.998
"Cambridge","MA","1600000US2511000","","","","","",0.975
"Cape Coral","FL","1600000US1210275","","","","","",0.988
"Carlsbad","CA","1600000US0611194","","","","","",0.984
"Carolina","PR","1600000US7214290","","","","","",0.221
"Carrollton","TX","1600000US4813024","","","","","",0.998
"Cedar Rapids","IA","1600000US1912000","","","","","",0.995
"Centennial","CO","1600000US0812815","","","","","",0.999
"Chandler","AZ","1600000US0412000","","","","","",0.996
"Charleston (SC)","SC","1600000US4513330","","","","","",0.997
"Charleston (WV)","WV","1600000US5414600","","","","","",0.997
"Charlotte","NC","1600000US3712000","","","","","",0.997
"Chattanooga","TN","1600000US4714000","","","","","",0.997
"Chesapeake","VA","1600000US5116000","","","","","",0.995
"Cheyenne","WY","1600000US5613900","","","","","",0.996
"Chicago","IL","1600000US1714000","","","","","",0.987
"Chula Vista","CA","1600000US0613392","","","","","",0.976
"Cincinnati","OH","1600000US3915000","","","","","",0.989
"Clarksville","TN","1600000US4715160","","","","","",0.995
"Clearwater","FL","1600000US1212875","","","","","",0.987
"Cleveland","OH","1600000US3916000","","","","","",0.992
"Colorado Springs","CO","1600000US0816000","","","","","",0.997
"Columbia (MO)","MO","1600000US2915670","","","","","",0.995
"Columbia (SC)","SC","1600000US4516000","","","","","",0.997
"Columbus (GA)","GA","1600000US1319000","","","","","",0.997
"Columbus (OH)","OH","1600000US3918000","","","","","",0.998
"Concord","CA","1600000US0616000","","","","","",0.991
"Coral Springs","FL","1600000US1214400","","","","","",0.977
"Corona","CA","1600000US0616350","","","","","",0.989
"Corpus Christi","TX","1600000US4817000","","","","","",0.996
"Costa Mesa","CA","1600000US0616532","","","","","",0.923
"Dallas","TX","1600000US4819000","","","","","",0.996
"Daly City","CA","1600000US0617918","","","","","",0.97
"Davenport","IA","1600000US1919000","","","","","",0.992
"Dayton","OH","1600000US3921000","","","","","",0.996
"Denton","TX","1600000US4819972","","","","","",0.998
"Denver","CO","1600000US0820000","","","","","",0.993
"Des Moines","IA","1600000US1921000","","","","","",0.995
"Detroit","MI","1600000US2622000","","","","","",0.992
"Downey","CA","1600000US0619766","","","","","",0.95
"Durham","NC","1600000US3719000","","","","","",0.996
"El Monte","CA","1600000US0622230","","","","","",0.798
"El Paso","TX","1600000US4824000","","","","","",0.998
"Elgin","IL","1600000US1723074","","","","","",0.996
"Elizabeth","NJ","1600000US3421000","","","","","",0.994
"Elk Grove","CA","1600000US0622020","","","","","",0.998
"Escondido","CA","1600000US0622804","","","","","",0.963
"Eugene","OR","1600000US4123850","","","","","",0.994
"Evansville","IN","1600000US1822000","","","","","",0.999
"Everett","WA","1600000US5322640","","","","","",0.992
"Fairfield","CA","1600000US0623182","","","","","",0.994
"Fargo","ND","1600000US3825700","","","","","",0.991
"Fayetteville","NC","1600000US3722920","","","","","",0.996
"Fontana","CA","1600000US0624680","","","","","",0.974
"Fort Collins","CO","1600000US0827425","","","","","",0.998
"Fort Lauderdale","FL","1600000US1224000","","","","","",0.963
"Fort Wayne","IN","1600000US1825000","","","","","",0.998
"Fort Worth","TX","1600000US4827000","","","","","",0.997
"Fremont","CA","1600000US0626000","","","","","",0.992
"Fresno","CA","1600000US0627000","","","","","",0.992
"Frisco","TX","1600000US4827684","","","","","",0.999
"Fullerton","CA","1600000US0628000","","","","","",0.975
"Gainesville","FL","1600000US1225175","","","","","",0.991
"Garden Grove","CA","1600000US0629000","","","","","",0.95
"Garland","TX","1600000US4829000","","","","","",0.998
"Glendale (AZ)","AZ","1600000US0427820","","","","","",0.993
"Glendale (CA)","CA","1600000US0630000","","","","","",0.982
"Grand Prairie","TX","1600000US4830464","","","","","",0.997
"Grand Rapids","MI","1600000US2634000","","","","","",0.996
"Green Bay","WI","1600000US5531000","","","","","",0.994
"Greensboro","NC","1600000US3728000","","","","","",0.998
"Gresham","OR","1600000US4131250","","","","","",0.996
"Hampton","VA","1600000US5135000","","","","","",0.997
"Hartford","CT","1600000US0937000","","","","","",0.985
"Hayward","CA","1600000US0633000","","","","","",0.981
"Henderson","NV","1600000US3231900","","","","","",0.998
"Hialeah","FL","1600000US1230000","","","","","",0.967
"High Point","NC","1600000US3731400","","","","","",0.996
"Hollywood","FL","1600000US1232000","","","","","",0.949
"Honolulu","HI","1600000US1571550","","","","","",0.41
