"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",3.3
"Akron","OH","1600000US3901000","","","","","",0.3
"Albuquerque","NM","1600000US3502000","","","","","",3.8
"Alexandria","VA","1600000US5101000","","","","","",0.1
"Allentown","PA","1600000US4202000","","","","","",0.3
"Amarillo","TX","1600000US4803000","","","","","",4.3
"Anaheim","CA","1600000US0602000","","","","","",3.4
"Anchorage","AK","1600000US0203000","","","","","",4.7
"Ann Arbor","MI","1600000US2603000","","","","","",0.4
"Antioch","CA","1600000US0602252","","","","","",1.2
"Arlington","TX","1600000US4804000","","","","","",1.5
"Arvada","CO","1600000US0803455","","","","","",0.4
"Atlanta","GA","1600000US1304000","","","","","",0.6
"Aurora (CO)","CO","1600000US0804000","","","","","",1.7
"Aurora (IL)","IL","1600000US1703012","","","","","",0.2
"Austin","TX","1600000US4805000","","","","","",1.4
"Bakersfield","CA","1600000US0603526","","","","","",2.1
"Baltimore","MD","1600000US2404000","","","","","",0.1
"Baton Rouge","LA","1600000US2205000","","","","","",1
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",0.1
"Beaumont","TX","1600000US4807000","","","","","",1.7
"Bellevue","WA","1600000US5305210","","","","","",0.2
"Berkeley","CA","1600000US0606000","","","","","",0.3
"Billings","MT","1600000US3006550","","","","","",6.6
"Birmingham","AL","1600000US0107000","","","","","",0.8
"Boise City","ID","1600000US1608830","","","","","",3.6
"Boston","MA","1600000US2507000","","","","","",0.1
"Bridgeport","CT","1600000US0908000","","","","","",0.1
"Brownsville","TX","1600000US4810768","","","","","",4.6
"Buffalo","NY","1600000US3611000","","","","","",0.2
"Burbank","CA","1600000US0608954","","","","","",0.1
"Burlington","VT","1600000US5010675","","","","","",1
"Cambridge","MA","1600000US2511000","","","","","",0
"Cape Coral","FL","1600000US1210275","","","","","",0.6
"Carlsbad","CA","1600000US0611194","","","","","",2.5
"Carolina","PR","1600000US7214290","","","","","",0.2
"Carrollton","TX","1600000US4813024","","","","","",0.6
"Cedar Rapids","IA","1600000US1912000","","","","","",3.5
"Centennial","CO","1600000US0812815","","","","","",0.2
"Chandler","AZ","1600000US0412000","","","","","",2
"Charleston (SC)","SC","1600000US4513330","","","","","",1.1
"Charleston (WV)","WV","1600000US5414600","","","","","",0.4
"Charlotte","NC","1600000US3712000","","","","","",1.4
"Chattanooga","TN","1600000US4714000","","","","","",1.9
"Chesapeake","VA","1600000US5116000","","","","","",2.4
"Cheyenne","WY","1600000US5613900","","","","","",3.7
"Chicago","IL","1600000US1714000","","","","","",0.2
"Chula Vista","CA","1600000US0613392","","","","","",4.6
"Cincinnati","OH","1600000US3915000","","","","","",0.2
"Clarksville","TN","1600000US4715160","","","","","",3.4
"Clearwater","FL","1600000US1212875","","","","","",5.3
"Cleveland","OH","1600000US3916000","","","","","",0.5
"Colorado Springs","CO","1600000US0816000","","","","","",2.1
"Columbia (MO)","MO","1600000US2915670","","","","","",2.1
"Columbia (SC)","SC","1600000US4516000","","","","","",0.8
"Columbus (GA)","GA","1600000US1319000","","","","","",1.6
"Columbus (OH)","OH","1600000US3918000","","","","","",0.9
"Concord","CA","1600000US0616000","","","","","",2.6
"Coral Springs","FL","1600000US1214400","","","","","",0.5
"Corona","CA","1600000US0616350","","","","","",3.4
"Corpus Christi","TX","1600000US4817000","","","","","",2.3
"Costa Mesa","CA","1600000US0616532","","","","","",1.9
"Dallas","TX","1600000US4819000","","","","","",1.1
"Daly City","CA","1600000US0617918","","","","","",1.5
"Davenport","IA","1600000US1919000","","","","","",2.6
"Dayton","OH","1600000US3921000","","","","","",1.2
"Denton","TX","1600000US4819972","","","","","",4
"Denver","CO","1600000US0820000","","","","","",0.3
"Des Moines","IA","1600000US1921000","","","","","",2.3
"Detroit","MI","1600000US2622000","","","","","",0.4
"Downey","CA","1600000US0619766","","","","","",0.7
"Durham","NC","1600000US3719000","","","","","",1.1
"El Monte","CA","1600000US0622230","","","","","",4.1
"El Paso","TX","1600000US4824000","","","","","",2.7
"Elgin","IL","1600000US1723074","","","","","",2.4
"Elizabeth","NJ","1600000US3421000","","","","","",0.1
