"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",23.5
"Akron","OH","1600000US3901000","","","","","",28.2
"Albuquerque","NM","1600000US3502000","","","","","",26.2
"Alexandria","VA","1600000US5101000","","","","","",17.5
"Allentown","PA","1600000US4202000","","","","","",32.7
"Amarillo","TX","1600000US4803000","","","","","",21.7
"Anaheim","CA","1600000US0602000","","","","","",31.7
"Anchorage","AK","1600000US0203000","","","","","",20.1
"Ann Arbor","MI","1600000US2603000","","","","","",30.5
"Antioch","CA","1600000US0602252","","","","","",33.1
"Arlington","TX","1600000US4804000","","","","","",24.5
"Arvada","CO","1600000US0803455","","","","","",23.7
"Atlanta","GA","1600000US1304000","","","","","",26.1
"Aurora (CO)","CO","1600000US0804000","","","","","",26.8
"Aurora (IL)","IL","1600000US1703012","","","","","",24.6
"Austin","TX","1600000US4805000","","","","","",23.8
"Bakersfield","CA","1600000US0603526","","","","","",27
"Baltimore","MD","1600000US2404000","","","","","",27.6
"Baton Rouge","LA","1600000US2205000","","","","","",31.3
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",22.8
"Beaumont","TX","1600000US4807000","","","","","",26.1
"Bellevue","WA","1600000US5305210","","","","","",16.5
"Berkeley","CA","1600000US0606000","","","","","",31.6
"Billings","MT","1600000US3006550","","","","","",22.8
"Birmingham","AL","1600000US0107000","","","","","",29.8
"Boise City","ID","1600000US1608830","","","","","",25
"Boston","MA","1600000US2507000","","","","","",25.3
"Bridgeport","CT","1600000US0908000","","","","","",34.1
"Brownsville","TX","1600000US4810768","","","","","",26.4
"Buffalo","NY","1600000US3611000","","","","","",31.2
"Burbank","CA","1600000US0608954","","","","","",28.6
"Burlington","VT","1600000US5010675","","","","","",31.5
"Cambridge","MA","1600000US2511000","","","","","",22.5
"Cape Coral","FL","1600000US1210275","","","","","",24.4
"Carlsbad","CA","1600000US0611194","","","","","",23.9
"Carolina","PR","1600000US7214290","","","","","",19.2
"Carrollton","TX","1600000US4813024","","","","","",16.6
"Cedar Rapids","IA","1600000US1912000","","","","","",21.9
"Centennial","CO","1600000US0812815","","","","","",22.6
"Chandler","AZ","1600000US0412000","","","","","",17.2
"Charleston (SC)","SC","1600000US4513330","","","","","",28
"Charleston (WV)","WV","1600000US5414600","","","","","",21.5
"Charlotte","NC","1600000US3712000","","","","","",23.2
"Chattanooga","TN","1600000US4714000","","","","","",24.8
"Chesapeake","VA","1600000US5116000","","","","","",24.2
"Cheyenne","WY","1600000US5613900","","","","","",17.9
"Chicago","IL","1600000US1714000","","","","","",26.5
"Chula Vista","CA","1600000US0613392","","","","","",33.2
"Cincinnati","OH","1600000US3915000","","","","","",26.8
"Clarksville","TN","1600000US4715160","","","","","",18.2
"Clearwater","FL","1600000US1212875","","","","","",28.3
"Cleveland","OH","1600000US3916000","","","","","",29.5
"Colorado Springs","CO","1600000US0816000","","","","","",23
"Columbia (MO)","MO","1600000US2915670","","","","","",32.5
"Columbia (SC)","SC","1600000US4516000","","","","","",27.7
"Columbus (GA)","GA","1600000US1319000","","","","","",22.9
"Columbus (OH)","OH","1600000US3918000","","","","","",23.4
"Concord","CA","1600000US0616000","","","","","",28.7
"Coral Springs","FL","1600000US1214400","","","","","",27
"Corona","CA","1600000US0616350","","","","","",30.2
"Corpus Christi","TX","1600000US4817000","","","","","",20.8
"Costa Mesa","CA","1600000US0616532","","","","","",27.2
"Dallas","TX","1600000US4819000","","","","","",22.5
"Daly City","CA","1600000US0617918","","","","","",26.4
"Davenport","IA","1600000US1919000","","","","","",22.6
"Dayton","OH","1600000US3921000","","","","","",31.2
"Denton","TX","1600000US4819972","","","","","",31.3
"Denver","CO","1600000US0820000","","","","","",23.3
"Des Moines","IA","1600000US1921000","","","","","",26.3
"Detroit","MI","1600000US2622000","","","","","",37.3
"Downey","CA","1600000US0619766","","","","","",26
"Durham","NC","1600000US3719000","","","","","",24.5
"El Monte","CA","1600000US0622230","","","","","",37.7
"El Paso","TX","1600000US4824000","","","","","",19.6
"Elgin","IL","1600000US1723074","","","","","",23.6
"Elizabeth","NJ","1600000US3421000","","","","","",28.7
"Elk Grove","CA","1600000US0622020","","","","","",26
"Escondido","CA","1600000US0622804","","","","","",29.5
"Eugene","OR","1600000US4123850","","","","","",37.6
"Evansville","IN","1600000US1822000","","","","","",24.5
"Everett","WA","1600000US5322640","","","","","",23.8
"Fairfield","CA","1600000US0623182","","","","","",25.9
"Fargo","ND","1600000US3825700","","","","","",19.3
"Fayetteville","NC","1600000US3722920","","","","","",19.3
"Fontana","CA","1600000US0624680","","","","","",29.8
"Fort Collins","CO","1600000US0827425","","","","","",34.1
"Fort Lauderdale","FL","1600000US1224000","","","","","",30.6
"Fort Wayne","IN","1600000US1825000","","","","","",21.8
"Fort Worth","TX","1600000US4827000","","","","","",23
"Fremont","CA","1600000US0626000","","","","","",17.4
"Fresno","CA","1600000US0627000","","","","","",33.9
"Frisco","TX","1600000US4827684","","","","","",16.1
"Fullerton","CA","1600000US0628000","","","","","",29.7
"Gainesville","FL","1600000US1225175","","","","","",33.4
"Garden Grove","CA","1600000US0629000","","","","","",32.1
"Garland","TX","1600000US4829000","","","","","",25.1
"Glendale (AZ)","AZ","1600000US0427820","","","","","",24.7
"Glendale (CA)","CA","1600000US0630000","","","","","",36.4
"Grand Prairie","TX","1600000US4830464","","","","","",19.1
"Grand Rapids","MI","1600000US2634000","","","","","",30.8
"Green Bay","WI","1600000US5531000","","","","","",21.8
"Greensboro","NC","1600000US3728000","","","","","",22.3
"Gresham","OR","1600000US4131250","","","","","",28.9
"Hampton","VA","1600000US5135000","","","","","",30.5
"Hartford","CT","1600000US0937000","","","","","",33.4
"Hayward","CA","1600000US0633000","","","","","",28.6
"Henderson","NV","1600000US3231900","","","","","",21.1
"Hialeah","FL","1600000US1230000","","","","","",40.8
"High Point","NC","1600000US3731400","","","","","",25.4
"Hollywood","FL","1600000US1232000","","","","","",30.8
"Honolulu","HI","1600000US1571550","","","","","",25.8
"Houston","TX","1600000US4835000","","","","","",23.2
"Huntington Beach","CA","1600000US0636000","","","","","",25.6
"Huntsville","AL","1600000US0137000","","","","","",24.4
"Independence","MO","1600000US2935000","","","","","",23.7
"Indianapolis","IN","1600000US1836003","","","","","",26.2
"Inglewood","CA","1600000US0636546","","","","","",33.8
"Irvine","CA","1600000US0636770","","","","","",23.6
"Irving","TX","1600000US4837000","","","","","",17.3
"Jackson","MS","1600000US2836000","","","","","",30.9
"Jacksonville","FL","1600000US1235000","","","","","",26.2
"Jersey City","NJ","1600000US3436000","","","","","",24.3
"Joliet","IL","1600000US1738570","","","","","",25.7
"Kansas City (KS)","KS","1600000US2036000","","","","","",26.8
"Kansas City (MO)","MO","1600000US2938000","","","","","",25.6
"Kent","WA","1600000US5335415","","","","","",25.9
"Killeen","TX","1600000US4839148","","","","","",17.4
"Knoxville","TN","1600000US4740000","","","","","",25.1
"Lafayette","LA","1600000US2240735","","","","","",26.2
"Lakewood","CO","1600000US0843000","","","","","",26.3
"Lancaster","CA","1600000US0640130","","","","","",28.5
"Lansing","MI","1600000US2646000","","","","","",28.1
"Laredo","TX","1600000US4841464","","","","","",25.7
"Las Vegas","NV","1600000US3240000","","","","","",24.2
"Lexington-Fayette","KY","1600000US2146027","","","","","",25.5
"Lincoln","NE","1600000US3128000","","","","","",23.4
"Little Rock","AR","1600000US0541000","","","","","",22.1
"Long Beach","CA","1600000US0643000","","","","","",29.2
"Los Angeles","CA","1600000US0644000","","","","","",32.7
"Lowell","MA","1600000US2537000","","","","","",27.6
"Lubbock","TX","1600000US4845000","","","","","",28.7
"Madison","WI","1600000US5548000","","","","","",29
"Manchester","NH","1600000US3345140","","","","","",25.6
"McAllen","TX","1600000US4845384","","","","","",24.7
"McKinney","TX","1600000US4845744","","","","","",18.3
"Memphis","TN","1600000US4748000","","","","","",29.9
"Mesa","AZ","1600000US0446000","","","","","",25.1
"Mesquite","TX","1600000US4847892","","","","","",25.3
"Miami","FL","1600000US1245000","","","","","",35.4
"Miami Gardens","FL","1600000US1245060","","","","","",38.4
"Midland","TX","1600000US4848072","","","","","",18.6
"Milwaukee","WI","1600000US5553000","","","","","",30.9
"Minneapolis","MN","1600000US2743000","","","","","",25.8
"Miramar","FL","1600000US1245975","","","","","",34.5
"Mobile","AL","1600000US0150000","","","","","",28
"Modesto","CA","1600000US0648354","","","","","",30.1
"Montgomery","AL","1600000US0151000","","","","","",29.1
"Moreno Valley","CA","1600000US0649270","","","","","",32.8
"Murfreesboro","TN","1600000US4751560","","","","","",23.9
"Murrieta","CA","1600000US0650076","","","","","",26.6
"Naperville","IL","1600000US1751622","","","","","",19.9
"New Haven","CT","1600000US0952000","","","","","",33.5
"New Orleans","LA","1600000US2255000","","","","","",33.2
"New York","NY","1600000US3651000","","","","","",28.3
"Newark","NJ","1600000US3451000","","","","","",31.3
"Newport News","VA","1600000US5156000","","","","","",23.5
"Norfolk","VA","1600000US5157000","","","","","",28.5
"Norman","OK","1600000US4052500","","","","","",29.3
"North Las Vegas","NV","1600000US3251800","","","","","",26.1
"Norwalk","CA","1600000US0652526","","","","","",28.4
"Oakland","CA","1600000US0653000","","","","","",27.5
"Oceanside","CA","1600000US0653322","","","","","",24.5
"Oklahoma City","OK","1600000US4055000","","","","","",23.3
"Olathe","KS","1600000US2052575","","","","","",19.3
"Omaha","NE","1600000US3137000","","","","","",24.5
"Ontario","CA","1600000US0653896","","","","","",30.1
"Orange","CA","1600000US0653980","","","","","",29.5
"Orlando","FL","1600000US1253000","","","","","",27.5
"Overland Park","KS","1600000US2053775","","","","","",17.6
"Oxnard","CA","1600000US0654652","","","","","",29.1
"Palm Bay","FL","1600000US1254000","","","","","",30.5
"Palmdale","CA","1600000US0655156","","","","","",37.8
"Pasadena (CA)","CA","1600000US0656000","","","","","",24.9
"Pasadena (TX)","TX","1600000US4856000","","","","","",20.9
"Paterson","NJ","1600000US3457000","","","","","",37.5
"Pembroke Pines","FL","1600000US1255775","","","","","",30.4
"Peoria (AZ)","AZ","1600000US0454050","","","","","",22.6
"Peoria (IL)","IL","1600000US1759000","","","","","",24.6
"Philadelphia","PA","1600000US4260000","","","","","",30.8
"Phoenix","AZ","1600000US0455000","","","","","",23.3
"Pittsburgh","PA","1600000US4261000","","","","","",26.9
"Plano","TX","1600000US4858016","","","","","",18.5
"Pomona","CA","1600000US0658072","","","","","",34
"Ponce","PR","1600000US7263820","","","","","",21.3
"Port St. Lucie","FL","1600000US1258715","","","","","",30
