"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",7.3
"Akron","OH","1600000US3901000","","","","","",6.7
"Albuquerque","NM","1600000US3502000","","","","","",6.6
"Alexandria","VA","1600000US5101000","","","","","",7.5
"Allentown","PA","1600000US4202000","","","","","",7.6
"Amarillo","TX","1600000US4803000","","","","","",8
"Anaheim","CA","1600000US0602000","","","","","",7.2
"Anchorage","AK","1600000US0203000","","","","","",7.5
"Ann Arbor","MI","1600000US2603000","","","","","",4.3
"Antioch","CA","1600000US0602252","","","","","",5.8
"Arlington","TX","1600000US4804000","","","","","",7.4
"Arvada","CO","1600000US0803455","","","","","",5.6
"Atlanta","GA","1600000US1304000","","","","","",6.1
"Aurora (CO)","CO","1600000US0804000","","","","","",7.8
"Aurora (IL)","IL","1600000US1703012","","","","","",8
"Austin","TX","1600000US4805000","","","","","",6.9
"Bakersfield","CA","1600000US0603526","","","","","",8.7
"Baltimore","MD","1600000US2404000","","","","","",6.7
"Baton Rouge","LA","1600000US2205000","","","","","",6.5
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",5.1
"Beaumont","TX","1600000US4807000","","","","","",7.2
"Bellevue","WA","1600000US5305210","","","","","",5.9
"Berkeley","CA","1600000US0606000","","","","","",3.5
"Billings","MT","1600000US3006550","","","","","",6.5
"Birmingham","AL","1600000US0107000","","","","","",6.9
"Boise City","ID","1600000US1608830","","","","","",6
"Boston","MA","1600000US2507000","","","","","",5.4
"Bridgeport","CT","1600000US0908000","","","","","",7.2
"Brownsville","TX","1600000US4810768","","","","","",8.8
"Buffalo","NY","1600000US3611000","","","","","",6.6
"Burbank","CA","1600000US0608954","","","","","",6.1
"Burlington","VT","1600000US5010675","","","","","",3.2
"Cambridge","MA","1600000US2511000","","","","","",4.3
"Cape Coral","FL","1600000US1210275","","","","","",5
"Carlsbad","CA","1600000US0611194","","","","","",5.8
"Carolina","PR","1600000US7214290","","","","","",5.3
"Carrollton","TX","1600000US4813024","","","","","",6.5
"Cedar Rapids","IA","1600000US1912000","","","","","",6.9
"Centennial","CO","1600000US0812815","","","","","",5.5
"Chandler","AZ","1600000US0412000","","","","","",7.3
"Charleston (SC)","SC","1600000US4513330","","","","","",6.1
"Charleston (WV)","WV","1600000US5414600","","","","","",5.5
"Charlotte","NC","1600000US3712000","","","","","",7.2
"Chattanooga","TN","1600000US4714000","","","","","",6.2
"Chesapeake","VA","1600000US5116000","","","","","",6.3
"Cheyenne","WY","1600000US5613900","","","","","",6.4
"Chicago","IL","1600000US1714000","","","","","",6.8
"Chula Vista","CA","1600000US0613392","","","","","",6.8
"Cincinnati","OH","1600000US3915000","","","","","",7.2
"Clarksville","TN","1600000US4715160","","","","","",9
"Clearwater","FL","1600000US1212875","","","","","",6
"Cleveland","OH","1600000US3916000","","","","","",6.7
"Colorado Springs","CO","1600000US0816000","","","","","",7
"Columbia (MO)","MO","1600000US2915670","","","","","",6.2
"Columbia (SC)","SC","1600000US4516000","","","","","",5.4
