"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",10.2460565
"Akron","OH","1600000US3901000","","","","","",11.555375
"Albuquerque","NM","1600000US3502000","","","","","",10.6362957
"Alexandria","VA","1600000US5101000","","","","","",7.6242169
"Allentown","PA","1600000US4202000","","","","","",9.8656774
"Amarillo","TX","1600000US4803000","","","","","",9.0786288
"Anaheim","CA","1600000US0602000","","","","","",6.9970904
"Anchorage","AK","1600000US0203000","","","","","",5.8882814
"Ann Arbor","MI","1600000US2603000","","","","","",9.7818945
"Antioch","CA","1600000US0602252","","","","","",5.996797
"Arlington","TX","1600000US4804000","","","","","",6.2694308
"Arvada","CO","1600000US0803455","","","","","",10.5502634
"Atlanta","GA","1600000US1304000","","","","","",10.1092455
"Aurora (CO)","CO","1600000US0804000","","","","","",7.5489192
"Aurora (IL)","IL","1600000US1703012","","","","","",5.4484206
"Austin","TX","1600000US4805000","","","","","",5.4098151
"Bakersfield","CA","1600000US0603526","","","","","",6.5955763
"Baltimore","MD","1600000US2404000","","","","","",11.3696402
"Baton Rouge","LA","1600000US2205000","","","","","",9.5302681
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",11.6407008
"Beaumont","TX","1600000US4807000","","","","","",12.6426082
"Bellevue","WA","1600000US5305210","","","","","",8.713295
"Berkeley","CA","1600000US0606000","","","","","",11.7995514
"Billings","MT","1600000US3006550","","","","","",11.9658895
"Birmingham","AL","1600000US0107000","","","","","",10.3976793
"Boise City","ID","1600000US1608830","","","","","",9.7323853
"Boston","MA","1600000US2507000","","","","","",10.1149461
"Bridgeport","CT","1600000US0908000","","","","","",9.4784283
"Brownsville","TX","1600000US4810768","","","","","",8.0134981
"Buffalo","NY","1600000US3611000","","","","","",11.2873025
"Burbank","CA","1600000US0608954","","","","","",10.304393
"Burlington","VT","1600000US5010675","","","","","",10.951526
"Cambridge","MA","1600000US2511000","","","","","",10.7120842
"Cape Coral","FL","1600000US1210275","","","","","",9.8953652
"Carlsbad","CA","1600000US0611194","","","","","",9.6281928
"Carolina","PR","1600000US7214290","","","","","",11.4246622
"Carrollton","TX","1600000US4813024","","","","","",5.2338555
"Cedar Rapids","IA","1600000US1912000","","","","","",10.429793
"Centennial","CO","1600000US0812815","","","","","",7.4658254
"Chandler","AZ","1600000US0412000","","","","","",5.9074101
"Charleston (SC)","SC","1600000US4513330","","","","","",9.8036225
"Charleston (WV)","WV","1600000US5414600","","","","","",14.214179
"Charlotte","NC","1600000US3712000","","","","","",6.7567302
"Chattanooga","TN","1600000US4714000","","","","","",11.9240189
"Chesapeake","VA","1600000US5116000","","","","","",6.8573812
"Cheyenne","WY","1600000US5613900","","","","","",10.5252686
"Chicago","IL","1600000US1714000","","","","","",9.2733882
"Chula Vista","CA","1600000US0613392","","","","","",7.6230369
"Cincinnati","OH","1600000US3915000","","","","","",10.6322206
"Clarksville","TN","1600000US4715160","","","","","",5.3036156
"Clearwater","FL","1600000US1212875","","","","","",16.4316304
"Cleveland","OH","1600000US3916000","","","","","",12.111909
"Colorado Springs","CO","1600000US0816000","","","","","",8.7261596
"Columbia (MO)","MO","1600000US2915670","","","","","",6.5698294
"Columbia (SC)","SC","1600000US4516000","","","","","",9.8278884
"Columbus (GA)","GA","1600000US1319000","","","","","",10.1608026
"Columbus (OH)","OH","1600000US3918000","","","","","",7.7460833
"Concord","CA","1600000US0616000","","","","","",8.8286463
"Coral Springs","FL","1600000US1214400","","","","","",5.0947721
"Corona","CA","1600000US0616350","","","","","",5.311903
"Corpus Christi","TX","1600000US4817000","","","","","",8.3071322
"Costa Mesa","CA","1600000US0616532","","","","","",6.6172876
"Dallas","TX","1600000US4819000","","","","","",7.505516
"Daly City","CA","1600000US0617918","","","","","",8.0836304
"Davenport","IA","1600000US1919000","","","","","",10.43309
"Dayton","OH","1600000US3921000","","","","","",12.338614
"Denton","TX","1600000US4819972","","","","","",7.6923077
"Denver","CO","1600000US0820000","","","","","",8.9512138
"Des Moines","IA","1600000US1921000","","","","","",9.8339391
"Detroit","MI","1600000US2622000","","","","","",11.7107218
"Downey","CA","1600000US0619766","","","","","",6.3351457
"Durham","NC","1600000US3719000","","","","","",7.7920269
"El Monte","CA","1600000US0622230","","","","","",6.4028356
"El Paso","TX","1600000US4824000","","","","","",8.1524547
"Elgin","IL","1600000US1723074","","","","","",8.0256593
"Elizabeth","NJ","1600000US3421000","","","","","",7.6940633
"Elk Grove","CA","1600000US0622020","","","","","",5.4424528
"Escondido","CA","1600000US0622804","","","","","",8.618814
"Eugene","OR","1600000US4123850","","","","","",11.6487374
"Evansville","IN","1600000US1822000","","","","","",12.4183261
"Everett","WA","1600000US5322640","","","","","",10.8129946
"Fairfield","CA","1600000US0623182","","","","","",7.9600266
"Fargo","ND","1600000US3825700","","","","","",8.8347144
"Fayetteville","NC","1600000US3722920","","","","","",8.1005622
"Fontana","CA","1600000US0624680","","","","","",3.7758879
"Fort Collins","CO","1600000US0827425","","","","","",7.2575444
"Fort Lauderdale","FL","1600000US1224000","","","","","",11.8113989
"Fort Wayne","IN","1600000US1825000","","","","","",10.9540152
"Fort Worth","TX","1600000US4827000","","","","","",7.3009651
"Fremont","CA","1600000US0626000","","","","","",5.9284024
"Fresno","CA","1600000US0627000","","","","","",8.4304013
"Frisco","TX","1600000US4827684","","","","","",3.4893954
"Fullerton","CA","1600000US0628000","","","","","",7.501499
"Gainesville","FL","1600000US1225175","","","","","",7.198549
"Garden Grove","CA","1600000US0629000","","","","","",7.1024299
"Garland","TX","1600000US4829000","","","","","",6.7599317
"Glendale (AZ)","AZ","1600000US0427820","","","","","",7.1861734
"Glendale (CA)","CA","1600000US0630000","","","","","",10.1359479
"Grand Prairie","TX","1600000US4830464","","","","","",4.1894723
"Grand Rapids","MI","1600000US2634000","","","","","",10.2648372
"Green Bay","WI","1600000US5531000","","","","","",10.1493807
"Greensboro","NC","1600000US3728000","","","","","",10.0911641
"Gresham","OR","1600000US4131250","","","","","",9.6639414
"Hampton","VA","1600000US5135000","","","","","",10.5591235
"Hartford","CT","1600000US0937000","","","","","",10.2632684
"Hayward","CA","1600000US0633000","","","","","",6.9809261
"Henderson","NV","1600000US3231900","","","","","",9.5308732
"Hialeah","FL","1600000US1230000","","","","","",11.9605889
"High Point","NC","1600000US3731400","","","","","",10.382447
"Hollywood","FL","1600000US1232000","","","","","",11.4880963
"Honolulu","HI","1600000US1571550","","","","","",12.2396345
"Houston","TX","1600000US4835000","","","","","",7.3806867
"Huntington Beach","CA","1600000US0636000","","","","","",9.6897663
"Huntsville","AL","1600000US0137000","","","","","",10.549431
"Independence","MO","1600000US2935000","","","","","",12.1085422
"Indianapolis","IN","1600000US1836003","","","","","",8.9618856
"Inglewood","CA","1600000US0636546","","","","","",8.7326479
"Irvine","CA","1600000US0636770","","","","","",5.9632028
"Irving","TX","1600000US4837000","","","","","",4.5726787
"Jackson","MS","1600000US2836000","","","","","",8.7392893
"Jacksonville","FL","1600000US1235000","","","","","",9.2662638
"Jersey City","NJ","1600000US3436000","","","","","",7.0403198
"Joliet","IL","1600000US1738570","","","","","",7.3589935
"Kansas City (KS)","KS","1600000US2036000","","","","","",9.035494
"Kansas City (MO)","MO","1600000US2938000","","","","","",9.6193977
"Kent","WA","1600000US5335415","","","","","",7.7640708
"Killeen","TX","1600000US4839148","","","","","",4.3448628
"Knoxville","TN","1600000US4740000","","","","","",11.7980092
"Lafayette","LA","1600000US2240735","","","","","",9.5392304
"Lakewood","CO","1600000US0843000","","","","","",10.5669817
"Lancaster","CA","1600000US0640130","","","","","",6.142071
"Lansing","MI","1600000US2646000","","","","","",9.7781633
"Laredo","TX","1600000US4841464","","","","","",6.1048441
"Las Vegas","NV","1600000US3240000","","","","","",9.6918567
"Lexington-Fayette","KY","1600000US2146027","","","","","",8.1477829
"Lincoln","NE","1600000US3128000","","","","","",9.0718947
"Little Rock","AR","1600000US0541000","","","","","",9.9459338
"Long Beach","CA","1600000US0643000","","","","","",8.349452
"Los Angeles","CA","1600000US0644000","","","","","",8.3389375
"Lowell","MA","1600000US2537000","","","","","",8.7739354
"Lubbock","TX","1600000US4845000","","","","","",9.1028717
"Madison","WI","1600000US5548000","","","","","",7.8213418
"Manchester","NH","1600000US3345140","","","","","",9.750803
"McAllen","TX","1600000US4845384","","","","","",6.8774423
"McKinney","TX","1600000US4845744","","","","","",5.8725597
"Memphis","TN","1600000US4748000","","","","","",9.4068662
"Mesa","AZ","1600000US0446000","","","","","",10.5160022
"Mesquite","TX","1600000US4847892","","","","","",6.8291662
"Miami","FL","1600000US1245000","","","","","",12.1235232
"Miami Gardens","FL","1600000US1245060","","","","","",8.0959907
"Midland","TX","1600000US4848072","","","","","",8.0182348
"Milwaukee","WI","1600000US5553000","","","","","",8.8220895
"Minneapolis","MN","1600000US2743000","","","","","",8.0131841
"Miramar","FL","1600000US1245975","","","","","",2.4432084
"Mobile","AL","1600000US0150000","","","","","",11.7277143
"Modesto","CA","1600000US0648354","","","","","",9.210993
"Montgomery","AL","1600000US0151000","","","","","",10.3435755
"Moreno Valley","CA","1600000US0649270","","","","","",3.2151355
"Murfreesboro","TN","1600000US4751560","","","","","",6.9971697
"Murrieta","CA","1600000US0650076","","","","","",8.1780633
"Naperville","IL","1600000US1751622","","","","","",6.8400136
"New Haven","CT","1600000US0952000","","","","","",11.1088787
"New Orleans","LA","1600000US2255000","","","","","",9.755779
"New York","NY","1600000US3651000","","","","","",10.607557
"Newark","NJ","1600000US3451000","","","","","",9.0865929
"Newport News","VA","1600000US5156000","","","","","",9.116442
"Norfolk","VA","1600000US5157000","","","","","",9.1446953
"Norman","OK","1600000US4052500","","","","","",8.3075416
"North Las Vegas","NV","1600000US3251800","","","","","",5.3329645
"Norwalk","CA","1600000US0652526","","","","","",6.5895317
"Oakland","CA","1600000US0653000","","","","","",9.6721456
"Oceanside","CA","1600000US0653322","","","","","",10.3251616
"Oklahoma City","OK","1600000US4055000","","","","","",8.9781016
"Olathe","KS","1600000US2052575","","","","","",6.2371562
"Omaha","NE","1600000US3137000","","","","","",9.6072834
"Ontario","CA","1600000US0653896","","","","","",5.8258575
"Orange","CA","1600000US0653980","","","","","",7.0759138
"Orlando","FL","1600000US1253000","","","","","",7.5418332
"Overland Park","KS","1600000US2053775","","","","","",10.261927
"Oxnard","CA","1600000US0654652","","","","","",5.5121519
"Palm Bay","FL","1600000US1254000","","","","","",10.8220301
"Palmdale","CA","1600000US0655156","","","","","",5.0608614
"Pasadena (CA)","CA","1600000US0656000","","","","","",10.7451958
"Pasadena (TX)","TX","1600000US4856000","","","","","",6.6225434
"Paterson","NJ","1600000US3457000","","","","","",8.3695425
"Pembroke Pines","FL","1600000US1255775","","","","","",13.1473536
"Peoria (AZ)","AZ","1600000US0454050","","","","","",10.3519492
"Peoria (IL)","IL","1600000US1759000","","","","","",11.5286098
"Philadelphia","PA","1600000US4260000","","","","","",11.58248
"Phoenix","AZ","1600000US0455000","","","","","",6.9171058
"Pittsburgh","PA","1600000US4261000","","","","","",12.6558867
"Plano","TX","1600000US4858016","","","","","",6.1450686
"Pomona","CA","1600000US0658072","","","","","",6.033826
"Ponce","PR","1600000US7263820","","","","","",12.8041112
"Port St. Lucie","FL","1600000US1258715","","","","","",10.7276135
"Portland (ME)","ME","1600000US2360545","","","","","",10.9299778
"Portland (OR)","OR","1600000US4159000","","","","","",8.981103
