"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",83.5
"Akron","OH","1600000US3901000","","","","","",86.3
"Albuquerque","NM","1600000US3502000","","","","","",89
"Alexandria","VA","1600000US5101000","","","","","",91.5
"Allentown","PA","1600000US4202000","","","","","",77.3
"Amarillo","TX","1600000US4803000","","","","","",83.4
"Anaheim","CA","1600000US0602000","","","","","",75.8
"Anchorage","AK","1600000US0203000","","","","","",93
"Ann Arbor","MI","1600000US2603000","","","","","",96.4
"Antioch","CA","1600000US0602252","","","","","",86.9
"Arlington","TX","1600000US4804000","","","","","",84.7
"Arvada","CO","1600000US0803455","","","","","",94.2
"Atlanta","GA","1600000US1304000","","","","","",89
"Aurora (CO)","CO","1600000US0804000","","","","","",86.5
"Aurora (IL)","IL","1600000US1703012","","","","","",76.2
"Austin","TX","1600000US4805000","","","","","",87.5
"Bakersfield","CA","1600000US0603526","","","","","",79.6
"Baltimore","MD","1600000US2404000","","","","","",82.5
"Baton Rouge","LA","1600000US2205000","","","","","",86.7
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",78.9
"Beaumont","TX","1600000US4807000","","","","","",84.9
"Bellevue","WA","1600000US5305210","","","","","",95.4
"Berkeley","CA","1600000US0606000","","","","","",95.7
"Billings","MT","1600000US3006550","","","","","",92.8
"Birmingham","AL","1600000US0107000","","","","","",85.1
"Boise City","ID","1600000US1608830","","","","","",94.3
"Boston","MA","1600000US2507000","","","","","",85.2
"Bridgeport","CT","1600000US0908000","","","","","",75.6
"Brownsville","TX","1600000US4810768","","","","","",64.1
"Buffalo","NY","1600000US3611000","","","","","",82.7
"Burbank","CA","1600000US0608954","","","","","",88.7
"Burlington","VT","1600000US5010675","","","","","",89
"Cambridge","MA","1600000US2511000","","","","","",94.3
"Cape Coral","FL","1600000US1210275","","","","","",90.4
"Carlsbad","CA","1600000US0611194","","","","","",95.8
"Carolina","PR","1600000US7214290","","","","","",83.6
"Carrollton","TX","1600000US4813024","","","","","",85.3
"Cedar Rapids","IA","1600000US1912000","","","","","",93.5
"Centennial","CO","1600000US0812815","","","","","",97.6
"Chandler","AZ","1600000US0412000","","","","","",91.5
"Charleston (SC)","SC","1600000US4513330","","","","","",93.6
"Charleston (WV)","WV","1600000US5414600","","","","","",91.9
"Charlotte","NC","1600000US3712000","","","","","",88.4
"Chattanooga","TN","1600000US4714000","","","","","",85.2
"Chesapeake","VA","1600000US5116000","","","","","",91.1
"Cheyenne","WY","1600000US5613900","","","","","",93.4
"Chicago","IL","1600000US1714000","","","","","",82.3
"Chula Vista","CA","1600000US0613392","","","","","",80.9
"Cincinnati","OH","1600000US3915000","","","","","",85.8
"Clarksville","TN","1600000US4715160","","","","","",92.2
"Clearwater","FL","1600000US1212875","","","","","",89.3
"Cleveland","OH","1600000US3916000","","","","","",77.4
"Colorado Springs","CO","1600000US0816000","","","","","",93.1
"Columbia (MO)","MO","1600000US2915670","","","","","",93.8
"Columbia (SC)","SC","1600000US4516000","","","","","",87.2
"Columbus (GA)","GA","1600000US1319000","","","","","",86.4
"Columbus (OH)","OH","1600000US3918000","","","","","",88.5
"Concord","CA","1600000US0616000","","","","","",87.1
"Coral Springs","FL","1600000US1214400","","","","","",92.3
"Corona","CA","1600000US0616350","","","","","",84.8
"Corpus Christi","TX","1600000US4817000","","","","","",81.4
"Costa Mesa","CA","1600000US0616532","","","","","",84.7
"Dallas","TX","1600000US4819000","","","","","",74.5
"Daly City","CA","1600000US0617918","","","","","",85.4
"Davenport","IA","1600000US1919000","","","","","",90.6
"Dayton","OH","1600000US3921000","","","","","",82.1
"Denton","TX","1600000US4819972","","","","","",88.8
"Denver","CO","1600000US0820000","","","","","",86.1
"Des Moines","IA","1600000US1921000","","","","","",87.3
"Detroit","MI","1600000US2622000","","","","","",78.3
"Downey","CA","1600000US0619766","","","","","",76.1
"Durham","NC","1600000US3719000","","","","","",87.1
"El Monte","CA","1600000US0622230","","","","","",57.8
"El Paso","TX","1600000US4824000","","","","","",78
"Elgin","IL","1600000US1723074","","","","","",77.9
"Elizabeth","NJ","1600000US3421000","","","","","",72.8
"Elk Grove","CA","1600000US0622020","","","","","",90.5
"Escondido","CA","1600000US0622804","","","","","",73.6
"Eugene","OR","1600000US4123850","","","","","",93.5
"Evansville","IN","1600000US1822000","","","","","",87.5
"Everett","WA","1600000US5322640","","","","","",88.1
"Fairfield","CA","1600000US0623182","","","","","",85.6
"Fargo","ND","1600000US3825700","","","","","",94.6
"Fayetteville","NC","1600000US3722920","","","","","",91.2
"Fontana","CA","1600000US0624680","","","","","",72.5
"Fort Collins","CO","1600000US0827425","","","","","",96
"Fort Lauderdale","FL","1600000US1224000","","","","","",85.9
"Fort Wayne","IN","1600000US1825000","","","","","",88.3
"Fort Worth","TX","1600000US4827000","","","","","",80.8
"Fremont","CA","1600000US0626000","","","","","",92.3
"Fresno","CA","1600000US0627000","","","","","",75.2
"Frisco","TX","1600000US4827684","","","","","",95.9
"Fullerton","CA","1600000US0628000","","","","","",86.6
"Gainesville","FL","1600000US1225175","","","","","",92.1
"Garden Grove","CA","1600000US0629000","","","","","",73.7
"Garland","TX","1600000US4829000","","","","","",76.3
"Glendale (AZ)","AZ","1600000US0427820","","","","","",83.6
"Glendale (CA)","CA","1600000US0630000","","","","","",84.4
"Grand Prairie","TX","1600000US4830464","","","","","",79.9
"Grand Rapids","MI","1600000US2634000","","","","","",85.1
"Green Bay","WI","1600000US5531000","","","","","",86.6
"Greensboro","NC","1600000US3728000","","","","","",88.7
"Gresham","OR","1600000US4131250","","","","","",84.2
"Hampton","VA","1600000US5135000","","","","","",89.9
"Hartford","CT","1600000US0937000","","","","","",70.6
"Hayward","CA","1600000US0633000","","","","","",80.1
"Henderson","NV","1600000US3231900","","","","","",92.7
"Hialeah","FL","1600000US1230000","","","","","",70.7
"High Point","NC","1600000US3731400","","","","","",84.9
"Hollywood","FL","1600000US1232000","","","","","",86.9
"Honolulu","HI","1600000US1571550","","","","","",88.2
"Houston","TX","1600000US4835000","","","","","",76.7
"Huntington Beach","CA","1600000US0636000","","","","","",92.4
"Huntsville","AL","1600000US0137000","","","","","",90.2
"Independence","MO","1600000US2935000","","","","","",87.6
"Indianapolis","IN","1600000US1836003","","","","","",84.9
"Inglewood","CA","1600000US0636546","","","","","",72.5
"Irvine","CA","1600000US0636770","","","","","",96.3
"Irving","TX","1600000US4837000","","","","","",79.7
"Jackson","MS","1600000US2836000","","","","","",84.1
"Jacksonville","FL","1600000US1235000","","","","","",88.2
"Jersey City","NJ","1600000US3436000","","","","","",85.5
"Joliet","IL","1600000US1738570","","","","","",83.4
"Kansas City (KS)","KS","1600000US2036000","","","","","",77.8
"Kansas City (MO)","MO","1600000US2938000","","","","","",88.4
"Kent","WA","1600000US5335415","","","","","",85.4
"Killeen","TX","1600000US4839148","","","","","",91.6
"Knoxville","TN","1600000US4740000","","","","","",87.8
"Lafayette","LA","1600000US2240735","","","","","",86
"Lakewood","CO","1600000US0843000","","","","","",91.5
"Lancaster","CA","1600000US0640130","","","","","",81.4
"Lansing","MI","1600000US2646000","","","","","",87.6
"Laredo","TX","1600000US4841464","","","","","",66.3
"Las Vegas","NV","1600000US3240000","","","","","",83.3
"Lexington-Fayette","KY","1600000US2146027","","","","","",89.8
"Lincoln","NE","1600000US3128000","","","","","",93.1
"Little Rock","AR","1600000US0541000","","","","","",90.7
"Long Beach","CA","1600000US0643000","","","","","",79.4
"Los Angeles","CA","1600000US0644000","","","","","",75.5
"Lowell","MA","1600000US2537000","","","","","",78.9
"Lubbock","TX","1600000US4845000","","","","","",85.3
"Madison","WI","1600000US5548000","","","","","",94.8
"Manchester","NH","1600000US3345140","","","","","",87.4
"McAllen","TX","1600000US4845384","","","","","",73.5
"McKinney","TX","1600000US4845744","","","","","",92.2
"Memphis","TN","1600000US4748000","","","","","",83.7
"Mesa","AZ","1600000US0446000","","","","","",87.5
"Mesquite","TX","1600000US4847892","","","","","",80.7
"Miami","FL","1600000US1245000","","","","","",73.2
"Miami Gardens","FL","1600000US1245060","","","","","",80.3
"Midland","TX","1600000US4848072","","","","","",83
"Milwaukee","WI","1600000US5553000","","","","","",82.1
"Minneapolis","MN","1600000US2743000","","","","","",88.6
"Miramar","FL","1600000US1245975","","","","","",90.3
"Mobile","AL","1600000US0150000","","","","","",86.9
"Modesto","CA","1600000US0648354","","","","","",81.2
"Montgomery","AL","1600000US0151000","","","","","",85.5
"Moreno Valley","CA","1600000US0649270","","","","","",75.2
"Murfreesboro","TN","1600000US4751560","","","","","",91.8
"Murrieta","CA","1600000US0650076","","","","","",92.2
"Naperville","IL","1600000US1751622","","","","","",96.7
"New Haven","CT","1600000US0952000","","","","","",83
"New Orleans","LA","1600000US2255000","","","","","",85.2
"New York","NY","1600000US3651000","","","","","",80.3
"Newark","NJ","1600000US3451000","","","","","",72.3
"Newport News","VA","1600000US5156000","","","","","",89
"Norfolk","VA","1600000US5157000","","","","","",87
"Norman","OK","1600000US4052500","","","","","",93
"North Las Vegas","NV","1600000US3251800","","","","","",78.2
"Norwalk","CA","1600000US0652526","","","","","",73.5
"Oakland","CA","1600000US0653000","","","","","",80.4
"Oceanside","CA","1600000US0653322","","","","","",85.7
"Oklahoma City","OK","1600000US4055000","","","","","",85
"Olathe","KS","1600000US2052575","","","","","",94
"Omaha","NE","1600000US3137000","","","","","",88
"Ontario","CA","1600000US0653896","","","","","",70.6
"Orange","CA","1600000US0653980","","","","","",84.2
"Orlando","FL","1600000US1253000","","","","","",89.5
"Overland Park","KS","1600000US2053775","","","","","",96.6
"Oxnard","CA","1600000US0654652","","","","","",65.6
"Palm Bay","FL","1600000US1254000","","","","","",87.6
"Palmdale","CA","1600000US0655156","","","","","",74.2
"Pasadena (CA)","CA","1600000US0656000","","","","","",87.4
"Pasadena (TX)","TX","1600000US4856000","","","","","",71.5
"Paterson","NJ","1600000US3457000","","","","","",71.4
"Pembroke Pines","FL","1600000US1255775","","","","","",91.2
"Peoria (AZ)","AZ","1600000US0454050","","","","","",92.4
"Peoria (IL)","IL","1600000US1759000","","","","","",88.5
"Philadelphia","PA","1600000US4260000","","","","","",82
"Phoenix","AZ","1600000US0455000","","","","","",80.7
"Pittsburgh","PA","1600000US4261000","","","","","",91.4
"Plano","TX","1600000US4858016","","","","","",93.5
"Pomona","CA","1600000US0658072","","","","","",67.5
"Ponce","PR","1600000US7263820","","","","","",76.3
"Port St. Lucie","FL","1600000US1258715","","","","","",87.2
"Portland (ME)","ME","1600000US2360545","","","","","",92.5
"Portland (OR)","OR","1600000US4159000","","","","","",91.3
"Providence","RI","1600000US4459000","","","","","",74.2
"Provo","UT","1600000US4962470","","","","","",90.5
"Pueblo","CO","1600000US0862000","","","","","",85.3
"Raleigh","NC","1600000US3755000","","","","","",90.5
"Rancho Cucamonga","CA","1600000US0659451","","","","","",91
"Reno","NV","1600000US3260600","","","","","",85.7
"Richmond (CA)","CA","1600000US0660620","","","","","",77.1
"Richmond (VA)","VA","1600000US5167000","","","","","",83.2
"Riverside","CA","1600000US0662000","","","","","",78.5
"Rochester (MN)","MN","1600000US2754880","","","","","",93.5
"Rochester (NY)","NY","1600000US3663000","","","","","",80.5
"Rockford","IL","1600000US1765000","","","","","",83.1
"Roseville","CA","1600000US0662938","","","","","",94.5
"Sacramento","CA","1600000US0664000","","","","","",83.4
"Salem","OR","1600000US4164900","","","","","",86.9
"Salinas","CA","1600000US0664224","","","","","",59.5
"Salt Lake City","UT","1600000US4967000","","","","","",87.4
"San Antonio","TX","1600000US4865000","","","","","",81.4
"San Bernardino","CA","1600000US0665000","","","","","",68.2
"San Buenaventura","CA","1600000US0665042","","","","","",89.1
"San Diego","CA","1600000US0666000","","","","","",87.3
"San Francisco","CA","1600000US0667000","","","","","",87
"San Jose","CA","1600000US0668000","","","","","",82.7
"San Juan","PR","1600000US7276770","","","","","",78
"Santa Ana","CA","1600000US0669000","","","","","",54.8
"Santa Clara","CA","1600000US0669084","","","","","",91.9
"Santa Clarita","CA","1600000US0669088","","","","","",89
"Santa Rosa","CA","1600000US0670098","","","","","",85.7
"Savannah","GA","1600000US1369000","","","","","",86
"Scottsdale","AZ","1600000US0465000","","","","","",96.2
"Seattle","WA","1600000US5363000","","","","","",93.4
"Shreveport","LA","1600000US2270000","","","","","",85.5
"Simi Valley","CA","1600000US0672016","","","","","",90.5
"Sioux Falls","SD","1600000US4659020","","","","","",90.9
"South Bend","IN","1600000US1871000","","","","","",83.5
"Spokane","WA","1600000US5367000","","","","","",91.6
"Springfield (IL)","IL","1600000US1772000","","","","","",90.8
"Springfield (MA)","MA","1600000US2567000","","","","","",76.4
"Springfield (MO)","MO","1600000US2970000","","","","","",88.3
"St. Louis","MO","1600000US2965000","","","","","",84.1
"St. Paul","MN","1600000US2758000","","","","","",86.5
"St. Petersburg","FL","1600000US1263000","","","","","",89.5
"Stamford","CT","1600000US0973000","","","","","",89
"Sterling Heights","MI","1600000US2676460","","","","","",86.8
"Stockton","CA","1600000US0675000","","","","","",74.9
"Sunnyvale","CA","1600000US0677000","","","","","",91.4
"Surprise","AZ","1600000US0471510","","","","","",92.9
"Syracuse","NY","1600000US3673000","","","","","",80.2
"Tacoma","WA","1600000US5370000","","","","","",87.6
"Tallahassee","FL","1600000US1270600","","","","","",92.5
