"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",0.243116522
"Akron","OH","1600000US3901000","","","","","",0.19279167
"Albuquerque","NM","1600000US3502000","","","","","",0.237721877
"Alexandria","VA","1600000US5101000","","","","","",0.066972725
"Allentown","PA","1600000US4202000","","","","","",0.271557402
"Amarillo","TX","1600000US4803000","","","","","",0.289062911
"Anaheim","CA","1600000US0602000","","","","","",0.342928401
"Anchorage","AK","1600000US0203000","","","","","",0.261888353
"Ann Arbor","MI","1600000US2603000","","","","","",0.07027166
"Antioch","CA","1600000US0602252","","","","","",0.307618986
"Arlington","TX","1600000US4804000","","","","","",0.164644898
"Arvada","CO","1600000US0803455","","","","","",0.154204589
"Atlanta","GA","1600000US1304000","","","","","",0.072447172
"Aurora (CO)","CO","1600000US0804000","","","","","",0.168726911
"Aurora (IL)","IL","1600000US1703012","","","","","",0.168880416
"Austin","TX","1600000US4805000","","","","","",0.113527043
"Bakersfield","CA","1600000US0603526","","","","","",3.555204037
"Baltimore","MD","1600000US2404000","","","","","",0.04945927
"Baton Rouge","LA","1600000US2205000","","","","","",0.183653026
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",0.189485959
"Beaumont","TX","1600000US4807000","","","","","",0.145172517
"Bellevue","WA","1600000US5305210","","","","","",0.139795639
"Berkeley","CA","1600000US0606000","","","","","",0.154680356
"Billings","MT","1600000US3006550","","","","","",0.34138278
"Birmingham","AL","1600000US0107000","","","","","",0.127001406
"Boise City","ID","1600000US1608830","","","","","",0.280030016
"Boston","MA","1600000US2507000","","","","","",0.117801312
"Bridgeport","CT","1600000US0908000","","","","","",0.152132086
"Brownsville","TX","1600000US4810768","","","","","",0.535293591
"Buffalo","NY","1600000US3611000","","","","","",0.092883812
"Burbank","CA","1600000US0608954","","","","","",0.050441833
"Burlington","VT","1600000US5010675","","","","","",0.63341251
"Cambridge","MA","1600000US2511000","","","","","",0.03174704
"Cape Coral","FL","1600000US1210275","","","","","",0.183662635
"Carlsbad","CA","1600000US0611194","","","","","",0.258769967
"Carolina","PR","1600000US7214290","","","","","",0.12359242
"Carrollton","TX","1600000US4813024","","","","","",0.076357466
"Cedar Rapids","IA","1600000US1912000","","","","","",0.285976918
"Centennial","CO","1600000US0812815","","","","","",0.121406892
"Chandler","AZ","1600000US0412000","","","","","",0.165017774
"Charleston (SC)","SC","1600000US4513330","","","","","",0.153727902
"Charleston (WV)","WV","1600000US5414600","","","","","",0.117775721
"Charlotte","NC","1600000US3712000","","","","","",0.111316145
"Chattanooga","TN","1600000US4714000","","","","","",0.296325052
"Chesapeake","VA","1600000US5116000","","","","","",0.208583051
"Cheyenne","WY","1600000US5613900","","","","","",0.25922037
"Chicago","IL","1600000US1714000","","","","","",0.097022289
"Chula Vista","CA","1600000US0613392","","","","","",0.208255126
"Cincinnati","OH","1600000US3915000","","","","","",0.084445815
"Clarksville","TN","1600000US4715160","","","","","",0.174133865
"Clearwater","FL","1600000US1212875","","","","","",0.343892867
"Cleveland","OH","1600000US3916000","","","","","",0.100476585
"Colorado Springs","CO","1600000US0816000","","","","","",0.166553998
"Columbia (MO)","MO","1600000US2915670","","","","","",0.607394791
"Columbia (SC)","SC","1600000US4516000","","","","","",0.347154572
"Columbus (GA)","GA","1600000US1319000","","","","","",0.070036037
"Columbus (OH)","OH","1600000US3918000","","","","","",0.102080151
"Concord","CA","1600000US0616000","","","","","",0.268954707
"Coral Springs","FL","1600000US1214400","","","","","",0.020128201
"Corona","CA","1600000US0616350","","","","","",0.293099939
"Corpus Christi","TX","1600000US4817000","","","","","",0.114272577
"Costa Mesa","CA","1600000US0616532","","","","","",0.404635504
"Dallas","TX","1600000US4819000","","","","","",0.1361441
"Daly City","CA","1600000US0617918","","","","","",0.058699016
"Davenport","IA","1600000US1919000","","","","","",0.249928299
"Dayton","OH","1600000US3921000","","","","","",0.079558911
"Denton","TX","1600000US4819972","","","","","",0.141369398
"Denver","CO","1600000US0820000","","","","","",0.175095154
"Des Moines","IA","1600000US1921000","","","","","",0.222449058
"Detroit","MI","1600000US2622000","","","","","",0.448052586
"Downey","CA","1600000US0619766","","","","","",0.21651542
"Durham","NC","1600000US3719000","","","","","",0.339278016
"El Monte","CA","1600000US0622230","","","","","",0.691209936
"El Paso","TX","1600000US4824000","","","","","",0.237009895
"Elgin","IL","1600000US1723074","","","","","",0.192971388
"Elizabeth","NJ","1600000US3421000","","","","","",0.254995051
"Elk Grove","CA","1600000US0622020","","","","","",0.215863176
"Escondido","CA","1600000US0622804","","","","","",3.178557946
"Eugene","OR","1600000US4123850","","","","","",0.694662427
"Evansville","IN","1600000US1822000","","","","","",0.168612662
"Everett","WA","1600000US5322640","","","","","",0.58429894
"Fairfield","CA","1600000US0623182","","","","","",1.033882473
"Fargo","ND","1600000US3825700","","","","","",0.600299401
"Fayetteville","NC","1600000US3722920","","","","","",0.218410473
"Fontana","CA","1600000US0624680","","","","","",0.332858378
"Fort Collins","CO","1600000US0827425","","","","","",0.256478825
"Fort Lauderdale","FL","1600000US1224000","","","","","",0.100366041
"Fort Wayne","IN","1600000US1825000","","","","","",0.12495251
"Fort Worth","TX","1600000US4827000","","","","","",0.180990256
"Fremont","CA","1600000US0626000","","","","","",0.120708276
"Fresno","CA","1600000US0627000","","","","","",4.296033072
"Frisco","TX","1600000US4827684","","","","","",0.093305007
"Fullerton","CA","1600000US0628000","","","","","",0.324038154
"Gainesville","FL","1600000US1225175","","","","","",0.316957211
"Garden Grove","CA","1600000US0629000","","","","","",0.265574584
"Garland","TX","1600000US4829000","","","","","",0.294696364
"Glendale (AZ)","AZ","1600000US0427820","","","","","",0.421773577
"Glendale (CA)","CA","1600000US0630000","","","","","",0.050910982
"Grand Prairie","TX","1600000US4830464","","","","","",0.189971283
"Grand Rapids","MI","1600000US2634000","","","","","",1.356205719
"Green Bay","WI","1600000US5531000","","","","","",1.281271461
"Greensboro","NC","1600000US3728000","","","","","",0.134891405
"Gresham","OR","1600000US4131250","","","","","",1.473131626
"Hampton","VA","1600000US5135000","","","","","",0.248249104
"Hartford","CT","1600000US0937000","","","","","",0.264089913
"Hayward","CA","1600000US0633000","","","","","",0.360863349
"Henderson","NV","1600000US3231900","","","","","",0.128865979
"Hialeah","FL","1600000US1230000","","","","","",0.135612682
"High Point","NC","1600000US3731400","","","","","",0.035538831
"Hollywood","FL","1600000US1232000","","","","","",0.209076717
"Honolulu","HI","1600000US1571550","","","","","",0.209222661
"Houston","TX","1600000US4835000","","","","","",0.241645513
"Huntington Beach","CA","1600000US0636000","","","","","",0.15879635
"Huntsville","AL","1600000US0137000","","","","","",0.217965914
"Independence","MO","1600000US2935000","","","","","",0.202568942
"Indianapolis","IN","1600000US1836003","","","","","",0.12616608
"Inglewood","CA","1600000US0636546","","","","","",0.172742931
"Irvine","CA","1600000US0636770","","","","","",0.532000645
"Irving","TX","1600000US4837000","","","","","",0.063977889
"Jackson","MS","1600000US2836000","","","","","",0.14038886
"Jacksonville","FL","1600000US1235000","","","","","",0.337143097
"Jersey City","NJ","1600000US3436000","","","","","",0.245935202
