"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",19
"Akron","OH","1600000US3901000","","","","","",18
"Albuquerque","NM","1600000US3502000","","","","","",20
"Alexandria","VA","1600000US5101000","","","","","",21
"Allentown","PA","1600000US4202000","","","","","",15
"Amarillo","TX","1600000US4803000","","","","","",20
"Anaheim","CA","1600000US0602000","","","","","",0
"Anchorage","AK","1600000US0203000","","","","","",15
"Ann Arbor","MI","1600000US2603000","","","","","",20
"Antioch","CA","1600000US0602252","","","","","",0
"Arlington","TX","1600000US4804000","","","","","",20
"Arvada","CO","1600000US0803455","","","","","",0
"Atlanta","GA","1600000US1304000","","","","","",20
"Aurora (CO)","CO","1600000US0804000","","","","","",0
"Aurora (IL)","IL","1600000US1703012","","","","","",0
"Austin","TX","1600000US4805000","","","","","",21
"Bakersfield","CA","1600000US0603526","","","","","",0
"Baltimore","MD","1600000US2404000","","","","","",19
"Baton Rouge","LA","1600000US2205000","","","","","",0
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",2
"Beaumont","TX","1600000US4807000","","","","","",19
"Bellevue","WA","1600000US5305210","","","","","",21
"Berkeley","CA","1600000US0606000","","","","","",19
"Billings","MT","1600000US3006550","","","","","",19
"Birmingham","AL","1600000US0107000","","","","","",19
"Boise City","ID","1600000US1608830","","","","","",0
"Boston","MA","1600000US2507000","","","","","",21
"Bridgeport","CT","1600000US0908000","","","","","",16
"Brownsville","TX","1600000US4810768","","","","","",18
"Buffalo","NY","1600000US3611000","","","","","",17
"Burbank","CA","1600000US0608954","","","","","",0
"Burlington","VT","1600000US5010675","","","","","",15
"Cambridge","MA","1600000US2511000","","","","","",21
"Cape Coral","FL","1600000US1210275","","","","","",0
"Carlsbad","CA","1600000US0611194","","","","","",0
"Carolina","PR","1600000US7214290","","","","","",2
"Carrollton","TX","1600000US4813024","","","","","",20
"Cedar Rapids","IA","1600000US1912000","","","","","",20
"Centennial","CO","1600000US0812815","","","","","",0
"Chandler","AZ","1600000US0412000","","","","","",21
