"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",48
"Akron","OH","1600000US3901000","","","","","",18
"Albuquerque","NM","1600000US3502000","","","","","",12
"Alexandria","VA","1600000US5101000","","","","","",40
"Allentown","PA","1600000US4202000","","","","","",27
"Amarillo","TX","1600000US4803000","","","","","",48
"Anaheim","CA","1600000US0602000","","","","","",53
"Anchorage","AK","1600000US0203000","","","","","",4
"Ann Arbor","MI","1600000US2603000","","","","","",4
"Antioch","CA","1600000US0602252","","","","","",12
"Arlington","TX","1600000US4804000","","","","","",48
"Arvada","CO","1600000US0803455","","","","","",0
"Atlanta","GA","1600000US1304000","","","","","",22
"Aurora (CO)","CO","1600000US0804000","","","","","",0
"Aurora (IL)","IL","1600000US1703012","","","","","",16
"Austin","TX","1600000US4805000","","","","","",29
"Bakersfield","CA","1600000US0603526","","","","","",14
"Baltimore","MD","1600000US2404000","","","","","",31
"Baton Rouge","LA","1600000US2205000","","","","","",9
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",13
"Beaumont","TX","1600000US4807000","","","","","",3
"Bellevue","WA","1600000US5305210","","","","","",5
"Berkeley","CA","1600000US0606000","","","","","",12
"Billings","MT","1600000US3006550","","","","","",8
"Birmingham","AL","1600000US0107000","","","","","",13
"Boise City","ID","1600000US1608830","","","","","",3
"Boston","MA","1600000US2507000","","","","","",16
"Bridgeport","CT","1600000US0908000","","","","","",6
"Brownsville","TX","1600000US4810768","","","","","",11
"Buffalo","NY","1600000US3611000","","","","","",17
"Burbank","CA","1600000US0608954","","","","","",53
"Burlington","VT","1600000US5010675","","","","","",1
"Cambridge","MA","1600000US2511000","","","","","",16
"Cape Coral","FL","1600000US1210275","","","","","",27
"Carlsbad","CA","1600000US0611194","","","","","",7
"Carolina","PR","1600000US7214290","","","","","",13
"Carrollton","TX","1600000US4813024","","","","","",18
"Cedar Rapids","IA","1600000US1912000","","","","","",4
"Centennial","CO","1600000US0812815","","","","","",0
"Chandler","AZ","1600000US0412000","","","","","",18
"Charleston (SC)","SC","1600000US4513330","","","","","",3
"Charleston (WV)","WV","1600000US5414600","","","","","",2
"Charlotte","NC","1600000US3712000","","","","","",4
"Chattanooga","TN","1600000US4714000","","","","","",8
"Chesapeake","VA","1600000US5116000","","","","","",40
"Cheyenne","WY","1600000US5613900","","","","","",0
"Chicago","IL","1600000US1714000","","","","","",16
"Chula Vista","CA","1600000US0613392","","","","","",7
"Cincinnati","OH","1600000US3915000","","","","","",12
"Clarksville","TN","1600000US4715160","","","","","",5
"Clearwater","FL","1600000US1212875","","","","","",27
"Cleveland","OH","1600000US3916000","","","","","",18
"Colorado Springs","CO","1600000US0816000","","","","","",0
"Columbia (MO)","MO","1600000US2915670","","","","","",6
"Columbia (SC)","SC","1600000US4516000","","","","","",3
"Columbus (GA)","GA","1600000US1319000","","","","","",11
"Columbus (OH)","OH","1600000US3918000","","","","","",12
"Concord","CA","1600000US0616000","","","","","",12
"Coral Springs","FL","1600000US1214400","","","","","",42
"Corona","CA","1600000US0616350","","","","","",53
"Corpus Christi","TX","1600000US4817000","","","","","",11
"Costa Mesa","CA","1600000US0616532","","","","","",53
"Dallas","TX","1600000US4819000","","","","","",48
"Daly City","CA","1600000US0617918","","","","","",12
"Davenport","IA","1600000US1919000","","","","","",2
"Dayton","OH","1600000US3921000","","","","","",12
"Denton","TX","1600000US4819972","","","","","",3
"Denver","CO","1600000US0820000","","","","","",0
"Des Moines","IA","1600000US1921000","","","","","",2
"Detroit","MI","1600000US2622000","","","","","",4
"Downey","CA","1600000US0619766","","","","","",53
"Durham","NC","1600000US3719000","","","","","",0
"El Monte","CA","1600000US0622230","","","","","",53
"El Paso","TX","1600000US4824000","","","","","",29
"Elgin","IL","1600000US1723074","","","","","",16
"Elizabeth","NJ","1600000US3421000","","","","","",23
"Elk Grove","CA","1600000US0622020","","","","","",14
"Escondido","CA","1600000US0622804","","","","","",7
"Eugene","OR","1600000US4123850","","","","","",3
"Evansville","IN","1600000US1822000","","","","","",5
"Everett","WA","1600000US5322640","","","","","",5
"Fairfield","CA","1600000US0623182","","","","","",14
"Fargo","ND","1600000US3825700","","","","","",1
"Fayetteville","NC","1600000US3722920","","","","","",4
"Fontana","CA","1600000US0624680","","","","","",53
"Fort Collins","CO","1600000US0827425","","","","","",0
"Fort Lauderdale","FL","1600000US1224000","","","","","",42
"Fort Wayne","IN","1600000US1825000","","","","","",7
"Fort Worth","TX","1600000US4827000","","","","","",48
"Fremont","CA","1600000US0626000","","","","","",12
"Fresno","CA","1600000US0627000","","","","","",14
"Frisco","TX","1600000US4827684","","","","","",3
"Fullerton","CA","1600000US0628000","","","","","",53
"Gainesville","FL","1600000US1225175","","","","","",14
"Garden Grove","CA","1600000US0629000","","","","","",53
"Garland","TX","1600000US4829000","","","","","",48
"Glendale (AZ)","AZ","1600000US0427820","","","","","",18
"Glendale (CA)","CA","1600000US0630000","","","","","",53
"Grand Prairie","TX","1600000US4830464","","","","","",48
"Grand Rapids","MI","1600000US2634000","","","","","",2
"Green Bay","WI","1600000US5531000","","","","","",5
"Greensboro","NC","1600000US3728000","","","","","",0
"Gresham","OR","1600000US4131250","","","","","",3
"Hampton","VA","1600000US5135000","","","","","",40
"Hartford","CT","1600000US0937000","","","","","",6
"Hayward","CA","1600000US0633000","","","","","",12
"Henderson","NV","1600000US3231900","","","","","",0
"Hialeah","FL","1600000US1230000","","","","","",42
"High Point","NC","1600000US3731400","","","","","",0
"Hollywood","FL","1600000US1232000","","","","","",42
"Honolulu","HI","1600000US1571550","","","","","",5
"Houston","TX","1600000US4835000","","","","","",11
"Huntington Beach","CA","1600000US0636000","","","","","",53
"Huntsville","AL","1600000US0137000","","","","","",13
"Independence","MO","1600000US2935000","","","","","",6
"Indianapolis","IN","1600000US1836003","","","","","",5
"Inglewood","CA","1600000US0636546","","","","","",53
"Irvine","CA","1600000US0636770","","","","","",53
"Irving","TX","1600000US4837000","","","","","",48
"Jackson","MS","1600000US2836000","","","","","",8
"Jacksonville","FL","1600000US1235000","","","","","",27
"Jersey City","NJ","1600000US3436000","","","","","",23
"Joliet","IL","1600000US1738570","","","","","",16
"Kansas City (KS)","KS","1600000US2036000","","","","","",2
"Kansas City (MO)","MO","1600000US2938000","","","","","",6
"Kent","WA","1600000US5335415","","","","","",5
"Killeen","TX","1600000US4839148","","","","","",29
"Knoxville","TN","1600000US4740000","","","","","",8
"Lafayette","LA","1600000US2240735","","","","","",6
"Lakewood","CO","1600000US0843000","","","","","",0
"Lancaster","CA","1600000US0640130","","","","","",53
"Lansing","MI","1600000US2646000","","","","","",2
"Laredo","TX","1600000US4841464","","","","","",11
"Las Vegas","NV","1600000US3240000","","","","","",0
"Lexington-Fayette","KY","1600000US2146027","","","","","",10
"Lincoln","NE","1600000US3128000","","","","","",3
"Little Rock","AR","1600000US0541000","","","","","",10
"Long Beach","CA","1600000US0643000","","","","","",53
"Los Angeles","CA","1600000US0644000","","","","","",53
"Lowell","MA","1600000US2537000","","","","","",16
"Lubbock","TX","1600000US4845000","","","","","",48
"Madison","WI","1600000US5548000","","","","","",2
"Manchester","NH","1600000US3345140","","","","","",0
"McAllen","TX","1600000US4845384","","","","","",11
"McKinney","TX","1600000US4845744","","","","","",3
"Memphis","TN","1600000US4748000","","","","","",21
"Mesa","AZ","1600000US0446000","","","","","",18
"Mesquite","TX","1600000US4847892","","","","","",48
"Miami","FL","1600000US1245000","","","","","",42
"Miami Gardens","FL","1600000US1245060","","","","","",42
"Midland","TX","1600000US4848072","","","","","",29
"Milwaukee","WI","1600000US5553000","","","","","",5
"Minneapolis","MN","1600000US2743000","","","","","",4
"Miramar","FL","1600000US1245975","","","","","",42
"Mobile","AL","1600000US0150000","","","","","",1
"Modesto","CA","1600000US0648354","","","","","",14
"Montgomery","AL","1600000US0151000","","","","","",6
"Moreno Valley","CA","1600000US0649270","","","","","",53
"Murfreesboro","TN","1600000US4751560","","","","","",5
"Murrieta","CA","1600000US0650076","","","","","",53
"Naperville","IL","1600000US1751622","","","","","",16
"New Haven","CT","1600000US0952000","","","","","",6
"New Orleans","LA","1600000US2255000","","","","","",12
"New York","NY","1600000US3651000","","","","","",19
"Newark","NJ","1600000US3451000","","","","","",23
"Newport News","VA","1600000US5156000","","","","","",40
"Norfolk","VA","1600000US5157000","","","","","",40
"Norman","OK","1600000US4052500","","","","","",6
"North Las Vegas","NV","1600000US3251800","","","","","",0
"Norwalk","CA","1600000US0652526","","","","","",53
"Oakland","CA","1600000US0653000","","","","","",12
"Oceanside","CA","1600000US0653322","","","","","",7
"Oklahoma City","OK","1600000US4055000","","","","","",6
"Olathe","KS","1600000US2052575","","","","","",2
"Omaha","NE","1600000US3137000","","","","","",3
"Ontario","CA","1600000US0653896","","","","","",53
"Orange","CA","1600000US0653980","","","","","",53
"Orlando","FL","1600000US1253000","","","","","",27
"Overland Park","KS","1600000US2053775","","","","","",2
"Oxnard","CA","1600000US0654652","","","","","",53
"Palm Bay","FL","1600000US1254000","","","","","",27
"Palmdale","CA","1600000US0655156","","","","","",53
"Pasadena (CA)","CA","1600000US0656000","","","","","",53
"Pasadena (TX)","TX","1600000US4856000","","","","","",11
"Paterson","NJ","1600000US3457000","","","","","",23
"Pembroke Pines","FL","1600000US1255775","","","","","",42
"Peoria (AZ)","AZ","1600000US0454050","","","","","",18
"Peoria (IL)","IL","1600000US1759000","","","","","",0
"Philadelphia","PA","1600000US4260000","","","","","",27
"Phoenix","AZ","1600000US0455000","","","","","",18
"Pittsburgh","PA","1600000US4261000","","","","","",8
"Plano","TX","1600000US4858016","","","","","",3
"Pomona","CA","1600000US0658072","","","","","",53
"Ponce","PR","1600000US7263820","","","","","",13
"Port St. Lucie","FL","1600000US1258715","","","","","",42
"Portland (ME)","ME","1600000US2360545","","","","","",4
"Portland (OR)","OR","1600000US4159000","","","","","",3
"Providence","RI","1600000US4459000","","","","","",3
"Provo","UT","1600000US4962470","","","","","",0
"Pueblo","CO","1600000US0862000","","","","","",0
"Raleigh","NC","1600000US3755000","","","","","",4
"Rancho Cucamonga","CA","1600000US0659451","","","","","",53
"Reno","NV","1600000US3260600","","","","","",0
"Richmond (CA)","CA","1600000US0660620","","","","","",12
"Richmond (VA)","VA","1600000US5167000","","","","","",40
"Riverside","CA","1600000US0662000","","","","","",53
"Rochester (MN)","MN","1600000US2754880","","","","","",4
"Rochester (NY)","NY","1600000US3663000","","","","","",17
"Rockford","IL","1600000US1765000","","","","","",16
"Roseville","CA","1600000US0662938","","","","","",14
"Sacramento","CA","1600000US0664000","","","","","",14
"Salem","OR","1600000US4164900","","","","","",3
"Salinas","CA","1600000US0664224","","","","","",12
"Salt Lake City","UT","1600000US4967000","","","","","",0
"San Antonio","TX","1600000US4865000","","","","","",29
"San Bernardino","CA","1600000US0665000","","","","","",53
"San Buenaventura","CA","1600000US0665042","","","","","",53
"San Diego","CA","1600000US0666000","","","","","",7
"San Francisco","CA","1600000US0667000","","","","","",12
"San Jose","CA","1600000US0668000","","","","","",12
"San Juan","PR","1600000US7276770","","","","","",13
"Santa Ana","CA","1600000US0669000","","","","","",53
"Santa Clara","CA","1600000US0669084","","","","","",12
"Santa Clarita","CA","1600000US0669088","","","","","",53
"Santa Rosa","CA","1600000US0670098","","","","","",12
"Savannah","GA","1600000US1369000","","","","","",1
"Scottsdale","AZ","1600000US0465000","","","","","",18
"Seattle","WA","1600000US5363000","","","","","",5
"Shreveport","LA","1600000US2270000","","","","","",6
"Simi Valley","CA","1600000US0672016","","","","","",53
"Sioux Falls","SD","1600000US4659020","","","","","",6
"South Bend","IN","1600000US1871000","","","","","",7
"Spokane","WA","1600000US5367000","","","","","",0
"Springfield (IL)","IL","1600000US1772000","","","","","",0
"Springfield (MA)","MA","1600000US2567000","","","","","",16
"Springfield (MO)","MO","1600000US2970000","","","","","",6
"St. Louis","MO","1600000US2965000","","","","","",5
"St. Paul","MN","1600000US2758000","","","","","",4
"St. Petersburg","FL","1600000US1263000","","","","","",27
"Stamford","CT","1600000US0973000","","","","","",6
"Sterling Heights","MI","1600000US2676460","","","","","",4
"Stockton","CA","1600000US0675000","","","","","",14
"Sunnyvale","CA","1600000US0677000","","","","","",12
"Surprise","AZ","1600000US0471510","","","","","",18
"Syracuse","NY","1600000US3673000","","","","","",4
"Tacoma","WA","1600000US5370000","","","","","",5
"Tallahassee","FL","1600000US1270600","","","","","",14
"Tampa","FL","1600000US1271000","","","","","",27
"Temecula","CA","1600000US0678120","","","","","",53
"Tempe","AZ","1600000US0473000","","","","","",18
"Thornton","CO","1600000US0877290","","","","","",0
"Thousand Oaks","CA","1600000US0678582","","","","","",53
"Toledo","OH","1600000US3977000","","","","","",18
"Topeka","KS","1600000US2071000","","","","","",2
"Torrance","CA","1600000US0680000","","","","","",53
"Tucson","AZ","1600000US0477000","","","","","",18
"Tulsa","OK","1600000US4075000","","","","","",4
"Vallejo","CA","1600000US0681666","","","","","",14
"Vancouver","WA","1600000US5374060","","","","","",5
"Victorville","CA","1600000US0682590","","","","","",53
"Virginia Beach","VA","1600000US5182000","","","","","",40
"Visalia","CA","1600000US0682954","","","","","",14
"Waco","TX","1600000US4876000","","","","","",29
"Warren","MI","1600000US2684000","","","","","",4
"Washington","DC","1600000US1150000","","","","","",8
"Waterbury","CT","1600000US0980000","","","","","",6
"West Covina","CA","1600000US0684200","","","","","",53
"West Jordan","UT","1600000US4982950","","","","","",0
"West Palm Beach","FL","1600000US1276600","","","","","",42
"West Valley City","UT","1600000US4983470","","","","","",0
"Westminster","CO","1600000US0883835","","","","","",0
"Wichita","KS","1600000US2079000","","","","","",2
"Wichita Falls","TX","1600000US4879000","","","","","",48
"Wilmington (DE)","DE","1600000US1077580","","","","","",1
"Wilmington (NC)","NC","1600000US3774440","","","","","",4
"Winston-Salem","NC","1600000US3775000","","","","","",0
"Worcester","MA","1600000US2582000","","","","","",16
"Yonkers","NY","1600000US3684000","","","","","",19
