"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","759.37","","","","",""
"Akron","OH","1600000US3901000","3022.84","","","","",""
"Albuquerque","NM","1600000US3502000","1660.55","","","","",""
"Alexandria","VA","1600000US5101000","2217.47","","","","",""
"Allentown","PA","1600000US4202000","1165.14","","","","",""
"Amarillo","TX","1600000US4803000","407.08","","","","",""
"Anaheim","CA","1600000US0602000","4029.31","","","","",""
"Anchorage","AK","1600000US0203000","4953.66","","","","",""
"Ann Arbor","MI","1600000US2603000","1152.67","","","","",""
"Antioch","CA","1600000US0602252","793.98","","","","",""
"Arlington","TX","1600000US4804000","971.62","","","","",""
"Arvada","CO","1600000US0803455","824.18","","","","",""
"Atlanta","GA","1600000US1304000","13367.51","","","","",""
"Aurora (CO)","CO","1600000US0804000","989.5","","","","",""
"Aurora (IL)","IL","1600000US1703012","557.98","","","","",""
"Austin","TX","1600000US4805000","1567.12","","","","",""
"Bakersfield","CA","1600000US0603526","163.22","","","","",""
"Baltimore","MD","1600000US2404000","2738.25","","","","",""
"Baton Rouge","LA","1600000US2205000","1934","","","","",""
"Bayam<U+0086>n","PR","1600000US7206593","953.4082","","","","",""
"Beaumont","TX","1600000US4807000","1553.81","","","","",""
"Bellevue","WA","1600000US5305210","1265.53","","","","",""
"Berkeley","CA","1600000US0606000","1103.39","","","","",""
"Billings","MT","1600000US3006550","472.18","","","","",""
"Birmingham","AL","1600000US0107000","2594.12","","","","",""
"Boise City","ID","1600000US1608830","880.38","","","","",""
"Boston","MA","1600000US2507000","2198.74","","","","",""
"Bridgeport","CT","1600000US0908000","5010.98","","","","",""
"Brownsville","TX","1600000US4810768","2451.51","","","","",""
"Buffalo","NY","1600000US3611000","2358.51","","","","",""
"Burbank","CA","1600000US0608954","3710.44","","","","",""
"Burlington","VT","1600000US5010675","4596.08","","","","",""
"Cambridge","MA","1600000US2511000","2500.79","","","","",""
"Cape Coral","FL","1600000US1210275","1284.65","","","","",""
"Carlsbad","CA","1600000US0611194","931.68","","","","",""
"Carolina","PR","1600000US7214290","1214.006","","","","",""
"Carrollton","TX","1600000US4813024","1095.18","","","","",""
"Cedar Rapids","IA","1600000US1912000","1961.86","","","","",""
"Centennial","CO","1600000US0812815","17.61","","","","",""
"Chandler","AZ","1600000US0412000","1447.9","","","","",""
"Charleston (SC)","SC","1600000US4513330","5424.08","","","","",""
"Charleston (WV)","WV","1600000US5414600","573.74","","","","",""
"Charlotte","NC","1600000US3712000","3165.14","","","","",""
"Chattanooga","TN","1600000US4714000","2752.71","","","","",""
"Chesapeake","VA","1600000US5116000","2222.96","","","","",""
"Cheyenne","WY","1600000US5613900","1562.18","","","","",""
"Chicago","IL","1600000US1714000","5212.48","","","","",""
"Chula Vista","CA","1600000US0613392","1308.74","","","","",""
"Cincinnati","OH","1600000US3915000","2019.58","","","","",""
"Clarksville","TN","1600000US4715160","1551.36","","","","",""
"Clearwater","FL","1600000US1212875","2213.17","","","","",""
"Cleveland","OH","1600000US3916000","6977.94","","","","",""
"Colorado Springs","CO","1600000US0816000","3954.4","","","","",""
"Columbia (MO)","MO","1600000US2915670","1038.7","","","","",""
"Columbia (SC)","SC","1600000US4516000","167.5","","","","",""
"Columbus (GA)","GA","1600000US1319000","NULL","","","","",""
"Columbus (OH)","OH","1600000US3918000","1815.37","","","","",""
"Concord","CA","1600000US0616000","982.79","","","","",""
"Coral Springs","FL","1600000US1214400","804.56","","","","",""
"Corona","CA","1600000US0616350","2574.46","","","","",""
"Corpus Christi","TX","1600000US4817000","2026.62","","","","",""
"Costa Mesa","CA","1600000US0616532","277.95","","","","",""
"Dallas","TX","1600000US4819000","5062.37","","","","",""
"Daly City","CA","1600000US0617918","568.4","","","","",""
"Davenport","IA","1600000US1919000","1164.05","","","","",""
"Dayton","OH","1600000US3921000","1132.95","","","","",""
"Denton","TX","1600000US4819972","3019.55","","","","",""
"Denver","CO","1600000US0820000","8487.59","","","","",""
"Des Moines","IA","1600000US1921000","2263.79","","","","",""
"Detroit","MI","1600000US2622000","13700.82","","","","",""
"Downey","CA","1600000US0619766","373.73","","","","",""
"Durham","NC","1600000US3719000","1220.68","","","","",""
"El Monte","CA","1600000US0622230","938.12","","","","",""
"El Paso","TX","1600000US4824000","1151.22","","","","",""
"Elgin","IL","1600000US1723074","1073.43","","","","",""
"Elizabeth","NJ","1600000US3421000","891.14","","","","",""
"Elk Grove","CA","1600000US0622020","478.94","","","","",""
"Escondido","CA","1600000US0622804","1093.35","","","","",""
"Eugene","OR","1600000US4123850","2287.04","","","","",""
"Evansville","IN","1600000US1822000","1574.79","","","","",""
"Everett","WA","1600000US5322640","1293.36","","","","",""
"Fairfield","CA","1600000US0623182","1972.91","","","","",""
"Fargo","ND","1600000US3825700","2207.1","","","","",""
"Fayetteville","NC","1600000US3722920","1246.75","","","","",""
"Fontana","CA","1600000US0624680","2749.67","","","","",""
"Fort Collins","CO","1600000US0827425","1278.65","","","","",""
"Fort Lauderdale","FL","1600000US1224000","1005.8","","","","",""
"Fort Wayne","IN","1600000US1825000","494.28","","","","",""
"Fort Worth","TX","1600000US4827000","1192.44","","","","",""
"Fremont","CA","1600000US0626000","1541.34","","","","",""
"Fresno","CA","1600000US0627000","1532.33","","","","",""
"Frisco","TX","1600000US4827684","NULL","","","","",""
"Fullerton","CA","1600000US0628000","422.71","","","","",""
"Gainesville","FL","1600000US1225175","4239.56","","","","",""
"Garden Grove","CA","1600000US0629000","719.2","","","","",""
"Garland","TX","1600000US4829000","1966.12","","","","",""
"Glendale (AZ)","AZ","1600000US0427820","2203.15","","","","",""
"Glendale (CA)","CA","1600000US0630000","1166.94","","","","",""
"Grand Prairie","TX","1600000US4830464","1339.58","","","","",""
"Grand Rapids","MI","1600000US2634000","2321.22","","","","",""
"Green Bay","WI","1600000US5531000","2195.11","","","","",""
"Greensboro","NC","1600000US3728000","1447.82","","","","",""
"Gresham","OR","1600000US4131250","719.54","","","","",""
"Hampton","VA","1600000US5135000","2463.11","","","","",""
"Hartford","CT","1600000US0937000","1584.66","","","","",""
"Hayward","CA","1600000US0633000","789.29","","","","",""
"Henderson","NV","1600000US3231900","974.9","","","","",""
"Hialeah","FL","1600000US1230000","374.92","","","","",""
"High Point","NC","1600000US3731400","1421.41","","","","",""
"Hollywood","FL","1600000US1232000","1109.26","","","","",""
"Honolulu","HI","1600000US1571550","7750.25","","","","",""
"Houston","TX","1600000US4835000","4183.01","","","","",""
"Huntington Beach","CA","1600000US0636000","1475.62","","","","",""
"Huntsville","AL","1600000US0137000","2654.12","","","","",""
"Independence","MO","1600000US2935000","579.54","","","","",""
"Indianapolis","IN","1600000US1836003","3756.67","","","","",""
"Inglewood","CA","1600000US0636546","1337.92","","","","",""
"Irvine","CA","1600000US0636770","3686.27","","","","",""
"Irving","TX","1600000US4837000","1428.69","","","","",""
"Jackson","MS","1600000US2836000","1814.63","","","","",""
"Jacksonville","FL","1600000US1235000","8693.88","","","","",""
"Jersey City","NJ","1600000US3436000","1852.58","","","","",""
"Joliet","IL","1600000US1738570","588.47","","","","",""
"Kansas City (KS)","KS","1600000US2036000","3861.46","","","","",""
"Kansas City (MO)","MO","1600000US2938000","2014.32","","","","",""
"Kent","WA","1600000US5335415","811.68","","","","",""
"Killeen","TX","1600000US4839148","546.91","","","","",""
"Knoxville","TN","1600000US4740000","2974.96","","","","",""
"Lafayette","LA","1600000US2240735","5385.9","","","","",""
"Lakewood","CO","1600000US0843000","482.61","","","","",""
"Lancaster","CA","1600000US0640130","2215.2","","","","",""
"Lansing","MI","1600000US2646000","3440.95","","","","",""
"Laredo","TX","1600000US4841464","1078.48","","","","",""
"Las Vegas","NV","1600000US3240000","532.43","","","","",""
"Lexington-Fayette","KY","1600000US2146027","1324.56","","","","",""
"Lincoln","NE","1600000US3128000","2785.76","","","","",""
"Little Rock","AR","1600000US0541000","1396.05","","","","",""
"Long Beach","CA","1600000US0643000","4622.71","","","","",""
"Los Angeles","CA","1600000US0644000","3197.43","","","","",""
"Lowell","MA","1600000US2537000","1713.83","","","","",""
"Lubbock","TX","1600000US4845000","636.11","","","","",""
"Madison","WI","1600000US5548000","923.53","","","","",""
"Manchester","NH","1600000US3345140","5416","","","","",""
"McAllen","TX","1600000US4845384","273.59","","","","",""
"McKinney","TX","1600000US4845744","246.5","","","","",""
"Memphis","TN","1600000US4748000","3853.28","","","","",""
"Mesa","AZ","1600000US0446000","563.53","","","","",""
"Mesquite","TX","1600000US4847892","844.31","","","","",""
"Miami","FL","1600000US1245000","958.4","","","","",""
"Miami Gardens","FL","1600000US1245060","NULL","","","","",""
"Midland","TX","1600000US4848072","779.35","","","","",""
"Milwaukee","WI","1600000US5553000","1321.82","","","","",""
"Minneapolis","MN","1600000US2743000","3597.73","","","","",""
"Miramar","FL","1600000US1245975","243.99","","","","",""
"Mobile","AL","1600000US0150000","1885.86","","","","",""
"Modesto","CA","1600000US0648354","751.56","","","","",""
"Montgomery","AL","1600000US0151000","679.24","","","","",""
"Moreno Valley","CA","1600000US0649270","193.69","","","","",""
"Murfreesboro","TN","1600000US4751560","1527.99","","","","",""
"Murrieta","CA","1600000US0650076","1664.01","","","","",""
"Naperville","IL","1600000US1751622","789.56","","","","",""
"New Haven","CT","1600000US0952000","4358.05","","","","",""
"New Orleans","LA","1600000US2255000","3796.7","","","","",""
"New York","NY","1600000US3651000","8346.27","","","","",""
"Newark","NJ","1600000US3451000","1074.42","","","","",""
"Newport News","VA","1600000US5156000","4258.55","","","","",""
"Norfolk","VA","1600000US5157000","4098.26","","","","",""
"Norman","OK","1600000US4052500","1127.74","","","","",""
"North Las Vegas","NV","1600000US3251800","441.6","","","","",""
"Norwalk","CA","1600000US0652526","1380.2","","","","",""
"Oakland","CA","1600000US0653000","6065.91","","","","",""
"Oceanside","CA","1600000US0653322","1312.56","","","","",""
"Oklahoma City","OK","1600000US4055000","1558.3","","","","",""
"Olathe","KS","1600000US2052575","1026.9","","","","",""
"Omaha","NE","1600000US3137000","1645.95","","","","",""
"Ontario","CA","1600000US0653896","1321.73","","","","",""
"Orange","CA","1600000US0653980","819.36","","","","",""
"Orlando","FL","1600000US1253000","1661.81","","","","",""
"Overland Park","KS","1600000US2053775","696.41","","","","",""
"Oxnard","CA","1600000US0654652","1811.08","","","","",""
"Palm Bay","FL","1600000US1254000","1126.79","","","","",""
"Palmdale","CA","1600000US0655156","1340.99","","","","",""
"Pasadena (CA)","CA","1600000US0656000","4796.37","","","","",""
"Pasadena (TX)","TX","1600000US4856000","1042.3","","","","",""
"Paterson","NJ","1600000US3457000","621.36","","","","",""
"Pembroke Pines","FL","1600000US1255775","1589.59","","","","",""
"Peoria (AZ)","AZ","1600000US0454050","1261.98","","","","",""
"Peoria (IL)","IL","1600000US1759000","997.81","","","","",""
"Philadelphia","PA","1600000US4260000","3488.22","","","","",""
"Phoenix","AZ","1600000US0455000","2995.58","","","","",""
"Pittsburgh","PA","1600000US4261000","2789.63","","","","",""
"Plano","TX","1600000US4858016","1001.55","","","","",""
