"city","state","geo.id","area_KM"
"Abilene","TX","1600000US4801000",291.2017305
"Akron","OH","1600000US3901000",159.9794939
"Albuquerque","NM","1600000US3502000",487.8697478
"Alexandria","VA","1600000US5101000",39.08807173
"Allentown","PA","1600000US4202000",46.20529973
"Amarillo","TX","1600000US4803000",260.3310014
"Anaheim","CA","1600000US0602000",131.2340527
"Anchorage","AK","1600000US0203000",5285.290068
"Ann Arbor","MI","1600000US2603000",73.75479728
"Antioch","CA","1600000US0602252",74.53159758
"Arlington","TX","1600000US4804000",258.3048177
"Arvada","CO","1600000US0803455",91.62281228
"Atlanta","GA","1600000US1304000",346.1976039
"Aurora (CO)","CO","1600000US0804000",398.2289922
"Aurora (IL)","IL","1600000US1703012",117.5745904
"Austin","TX","1600000US4805000",799.3398476
"Bakersfield","CA","1600000US0603526",369.4302057
"Baltimore","MD","1600000US2404000",208.4075903
"Baton Rouge","LA","1600000US2205000",207.1232476
"Bayam<U+0086>n","PR","1600000US7206593",78.41906757
"Beaumont","TX","1600000US4807000",225.1600517
"Bellevue","WA","1600000US5305210",95.61022389
"Berkeley","CA","1600000US0606000",27.01543981
"Billings","MT","1600000US3006550",113.0949646
"Birmingham","AL","1600000US0107000",384.2106038
"Boise City","ID","1600000US1608830",206.3713043
"Boston","MA","1600000US2507000",126.8546498
"Bridgeport","CT","1600000US0908000",41.64536356
"Brownsville","TX","1600000US4810768",393.5136873
"Buffalo","NY","1600000US3611000",105.6883434
"Burbank","CA","1600000US0608954",44.83902659
"Burlington","VT","1600000US5010675",40.05283695
"Cambridge","MA","1600000US2511000",18.26689612
"Cape Coral","FL","1600000US1210275",304.927958
"Carlsbad","CA","1600000US0611194",98.83069883
"Carolina","PR","1600000US7214290",69.70380791
"Carrollton","TX","1600000US4813024",96.11457234
"Cedar Rapids","IA","1600000US1912000",185.1008705
"Centennial","CO","1600000US0812815",73.96231946
"Chandler","AZ","1600000US0412000",166.9535431
"Charleston (SC)","SC","1600000US4513330",298.9766357
"Charleston (WV)","WV","1600000US5414600",83.67726111
"Charlotte","NC","1600000US3712000",771.1326
"Chattanooga","TN","1600000US4714000",372.0868315
"Chesapeake","VA","1600000US5116000",900.401664
"Cheyenne","WY","1600000US5613900",63.17829735
"Chicago","IL","1600000US1714000",593.2126403
"Chula Vista","CA","1600000US0613392",129.3092026
"Cincinnati","OH","1600000US3915000",203.7817337
"Clarksville","TN","1600000US4715160",252.2490857
"Clearwater","FL","1600000US1212875",69.86926223
"Cleveland","OH","1600000US3916000",200.4887619
"Colorado Springs","CO","1600000US0816000",499.3149125
"Columbia (MO)","MO","1600000US2915670",162.4151895
"Columbia (SC)","SC","1600000US4516000",348.285328
"Columbus (GA)","GA","1600000US1319000",573.4419153
"Columbus (OH)","OH","1600000US3918000",571.6878259
"Concord","CA","1600000US0616000",78.28141318
"Coral Springs","FL","1600000US1214400",64.44839329
"Corona","CA","1600000US0616350",100.5414597
"Corpus Christi","TX","1600000US4817000",417.9247509
"Costa Mesa","CA","1600000US0616532",40.57045499
"Dallas","TX","1600000US4819000",1000.081227
"Daly City","CA","1600000US0617918",19.57473836
"Davenport","IA","1600000US1919000",167.0167942
"Dayton","OH","1600000US3921000",144.7742251
"Denton","TX","1600000US4819972",231.1514006
"Denver","CO","1600000US0820000",396.1878344
"Des Moines","IA","1600000US1921000",211.9939793
"Detroit","MI","1600000US2622000",357.1756886
"Downey","CA","1600000US0619766",32.45085667
"Durham","NC","1600000US3719000",278.1924632
"El Monte","CA","1600000US0622230",24.90089648
"El Paso","TX","1600000US4824000",666.5975771
"Elgin","IL","1600000US1723074",96.85636986
"Elizabeth","NJ","1600000US3421000",31.88109868
"Elk Grove","CA","1600000US0622020",108.2217913
"Escondido","CA","1600000US0622804",95.75521795
"Eugene","OR","1600000US4123850",112.9313726
"Evansville","IN","1600000US1822000",114.3624151
"Everett","WA","1600000US5322640",91.99910808
"Fairfield","CA","1600000US0623182",96.43341231
"Fargo","ND","1600000US3825700",127.4895256
"Fayetteville","NC","1600000US3722920",380.2074885
"Fontana","CA","1600000US0624680",109.5080581
"Fort Collins","CO","1600000US0827425",142.3559531
"Fort Lauderdale","FL","1600000US1224000",95.65249652
"Fort Wayne","IN","1600000US1825000",284.2765228
"Fort Worth","TX","1600000US4827000",901.6805892
