"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Abilene","TX","1600000US4801000","1600000US0151000","1600000US3722920","1600000US2935000","1600000US1254000","1600000US1319000","1600000US4879000","1600000US3731400","1600000US2071000","1600000US5531000","1600000US4516000","1600000US3774440","1600000US4845000","1600000US2915670","1600000US4075000","1600000US1253000"
"Akron","OH","1600000US3901000","1600000US3977000","1600000US2646000","1600000US1871000","1600000US3915000","1600000US1822000","1600000US0862000","1600000US2970000","1600000US4740000","1600000US2567000","1600000US0665000","1600000US2965000","1600000US1225175","1600000US0477000","1600000US4748000","1600000US4876000"
"Albuquerque","NM","1600000US3502000","1600000US1304000","1600000US2079000","1600000US1921000","1600000US3260600","1600000US4164900","1600000US0446000","1600000US2240735","1600000US0427820","1600000US4839148","1600000US4856000","1600000US3918000","1600000US2360545","1600000US1263000","1600000US4803000","1600000US3825700"
"Alexandria","VA","1600000US5101000","1600000US0636000","1600000US0668000","1600000US0812815","1600000US0680000","1600000US0636770","1600000US0669084","1600000US4858016","1600000US0672016","1600000US0611194","1600000US5305210","1600000US0669088","1600000US0653980","1600000US2511000","1600000US0622020","1600000US0678120"
"Allentown","PA","1600000US4202000","1600000US0952000","1600000US1245060","1600000US5553000","1600000US2965000","1600000US1077580","1600000US2567000","1600000US4261000","1600000US4459000","1600000US0665000","1600000US3611000","1600000US2634000","1600000US3673000","1600000US3915000","1600000US0980000","1600000US2646000"
"Amarillo","TX","1600000US4803000","1600000US4967000","1600000US0640130","1600000US1919000","1600000US3260600","1600000US4839148","1600000US4715160","1600000US5414600","1600000US2240735","1600000US4819972","1600000US3825700","1600000US1921000","1600000US0541000","1600000US5135000","1600000US0682590","1600000US1276600"
"Anaheim","CA","1600000US0602000","1600000US0654652","1600000US1571550","1600000US1255775","1600000US0619766","1600000US0670098","1600000US5335415","1600000US1703012","1600000US0613392","1600000US0624680","1600000US0629000","1600000US2676460","1600000US0653322","1600000US0628000","1600000US0608954","1600000US0616532"
"Anchorage","AK","1600000US0203000","1600000US2052575","1600000US4845744","1600000US0973000","1600000US0465000","1600000US0678120","1600000US0662938","1600000US0622020","1600000US0650076","1600000US0659451","1600000US2053775","1600000US0669088","1600000US0616350","1600000US4858016","1600000US0412000","1600000US0653980"
"Ann Arbor","MI","1600000US2603000","1600000US0660620","1600000US0681666","1600000US0649270","1600000US0843000","1600000US0662000","1600000US0653322","1600000US0827425","1600000US0653896","1600000US3345140","1600000US3755000","1600000US4159000","1600000US5548000","1600000US0603526","1600000US4804000","1600000US4830464"
"Antioch","CA","1600000US0602252","1600000US0633000","1600000US1245975","1600000US1703012","1600000US0624680","1600000US3231900","1600000US0613392","1600000US0877290","1600000US2754880","1600000US0883835","1600000US1214400","1600000US1255775","1600000US0623182","1600000US0665042","1600000US0670098","1600000US1571550"
"Arlington","TX","1600000US4804000","1600000US4983470","1600000US0653896","1600000US0820000","1600000US0649270","1600000US4837000","1600000US5370000","1600000US4829000","1600000US0682954","1600000US3345140","1600000US4159000","1600000US0660620","1600000US3755000","1600000US0804000","1600000US5548000","1600000US3712000"
"Arvada","CO","1600000US0803455","1600000US4813024","1600000US4982950","1600000US0616000","1600000US4848072","1600000US0623182","1600000US2053775","1600000US0883835","1600000US0412000","1600000US0877290","1600000US0665042","1600000US5116000","1600000US5182000","1600000US0616350","1600000US0465000","1600000US0650076"
"Atlanta","GA","1600000US1304000","1600000US5101000","1600000US0446000","1600000US4164900","1600000US4856000","1600000US0427820","1600000US4839148","1600000US1921000","1600000US3260600","1600000US1263000","1600000US2360545","1600000US2240735","1600000US2079000","1600000US3137000","1600000US0473000","1600000US5135000"
"Aurora (CO)","CO","1600000US0804000","1600000US3251800","1600000US4659020","1600000US1912000","1600000US0816000","1600000US0655156","1600000US4827000","1600000US5548000","1600000US4837000","1600000US4751560","1600000US3712000","1600000US3345140","1600000US0653896","1600000US3006550","1600000US4817000","1600000US0682954"
"Aurora (IL)","IL","1600000US1703012","1600000US4804000","1600000US1255775","1600000US0624680","1600000US0670098","1600000US1571550","1600000US1245975","1600000US0613392","1600000US0633000","1600000US5335415","1600000US3231900","1600000US2676460","1600000US1723074","1600000US1214400","1600000US1738570","1600000US0608954"
"Austin","TX","1600000US4805000","1600000US0603526","1600000US0662000","1600000US3755000","1600000US0843000","1600000US4830464","1600000US0681666","1600000US4159000","1600000US5613900","1600000US0653322","1600000US0816000","1600000US0827425","1600000US5548000","1600000US3712000","1600000US2676460","1600000US0602252"
"Bakersfield","CA","1600000US0603526","1600000US4830464","1600000US0843000","1600000US5613900","1600000US0827425","1600000US0681666","1600000US3755000","1600000US0662000","1600000US5548000","1600000US0603526","1600000US0816000","1600000US0653322","1600000US0602252","1600000US0660620","1600000US4513330","1600000US3345140"
"Baltimore","MD","1600000US2404000","1600000US0908000","1600000US1077580","1600000US4261000","1600000US3421000","1600000US0627000","1600000US1245060","1600000US0952000","1600000US0675000","1600000US4459000","1600000US4803000","1600000US2582000","1600000US2634000","1600000US2537000","1600000US5157000","1600000US1212875"
"Baton Rouge","LA","1600000US2205000","1600000US4841464","1600000US5167000","1600000US1765000","1600000US4962470","1600000US0980000","1600000US3775000","1600000US1270600","1600000US3728000","1600000US2634000","1600000US2270000","1600000US3774440","1600000US1253000","1600000US5367000","1600000US4714000","1600000US2071000"
"Bayam<U+0086>n","PR","1600000US7206593","1600000US3916000","1600000US2622000","1600000US7214290","1600000US7276770","1600000US3921000","1600000US0937000","1600000US3663000","1600000US3673000","1600000US3611000","1600000US1230000","1600000US1225175","1600000US3915000","1600000US0107000","1600000US3977000","1600000US7263820"
"Beaumont","TX","1600000US4807000","1600000US4516000","1600000US4714000","1600000US3775000","1600000US1270600","1600000US1319000","1600000US3728000","1600000US3731400","1600000US3774440","1600000US2071000","1600000US0151000","1600000US4075000","1600000US1253000","1600000US4962470","1600000US1254000","1600000US3901000"
"Bellevue","WA","1600000US5305210","1600000US0636770","1600000US0812815","1600000US0611194","1600000US0672016","1600000US0669084","1600000US0678582","1600000US0626000","1600000US4858016","1600000US0669088","1600000US0668000","1600000US4202000","1600000US0677000","1600000US0636000","1600000US4845744","1600000US0678120"
"Berkeley","CA","1600000US0606000","1600000US0619766","1600000US1150000","1600000US0652526","1600000US0616532","1600000US3684000","1600000US0684200","1600000US0628000","1600000US0629000","1600000US0654652","1600000US0608954","1600000US0203000","1600000US5363000","1600000US0617918","1600000US0613392","1600000US1214400"
"Billings","MT","1600000US3006550","1600000US4751560","1600000US1608830","1600000US3719000","1600000US5156000","1600000US4817000","1600000US5374060","1600000US4659020","1600000US1772000","1600000US3128000","1600000US3251800","1600000US5322640","1600000US4847892","1600000US1210275","1600000US5135000","1600000US4837000"
"Birmingham","AL","1600000US0107000","1600000US2836000","1600000US1225175","1600000US4810768","1600000US4876000","1600000US2970000","1600000US4740000","1600000US0862000","1600000US3921000","1600000US1871000","1600000US3977000","1600000US3502000","1600000US3915000","1600000US1822000","1600000US2646000","1600000US1369000"
"Boise City","ID","1600000US1608830","1600000US5156000","1600000US3719000","1600000US3128000","1600000US0107000","1600000US5322640","1600000US4847892","1600000US5374060","1600000US5135000","1600000US4751560","1600000US4817000","1600000US1772000","1600000US3137000","1600000US1258715","1600000US1210275","1600000US4837000"
"Boston","MA","1600000US2507000","1600000US0669000","1600000US3684000","1600000US0652526","1600000US0629000","1600000US0643000","1600000US3436000","1600000US0653000","1600000US0619766","1600000US0654652","1600000US2743000","1600000US3006550","1600000US0203000","1600000US0630000","1600000US1714000","1600000US2537000"
"Bridgeport","CT","1600000US0908000","1600000US3421000","1600000US2205000","1600000US4459000","1600000US0636546","1600000US1077580","1600000US0952000","1600000US0622230","1600000US4803000","1600000US4261000","1600000US1245060","1600000US2537000","1600000US0627000","1600000US5553000","1600000US0675000","1600000US4260000"
"Brownsville","TX","1600000US4810768","1600000US4876000","1600000US2836000","1600000US2970000","1600000US4740000","1600000US1225175","1600000US1608830","1600000US0862000","1600000US1871000","1600000US1369000","1600000US3502000","1600000US3977000","1600000US1822000","1600000US2255000","1600000US2646000","1600000US3915000"
"Buffalo","NY","1600000US3611000","1600000US3673000","1600000US3663000","1600000US0937000","1600000US7214290","1600000US2567000","1600000US5553000","1600000US2965000","1600000US3915000","1600000US4803000","1600000US3977000","1600000US0952000","1600000US3502000","1600000US3916000","1600000US1230000","1600000US2646000"
"Burbank","CA","1600000US0608954","1600000US0628000","1600000US1214400","1600000US0613392","1600000US0616532","1600000US0665042","1600000US0624680","1600000US0684200","1600000US1245975","1600000US0616000","1600000US4805000","1600000US0877290","1600000US4804000","1600000US0633000","1600000US0883835","1600000US4982950"
"Burlington","VT","1600000US5010675","1600000US4845384","1600000US1759000","1600000US1825000","1600000US1271000","1600000US2915670","1600000US4845000","1600000US3825700","1600000US2360545","1600000US1921000","1600000US2240735","1600000US1276600","1600000US5531000","1600000US2079000","1600000US4879000","1600000US0682590"
"Cambridge","MA","1600000US2511000","1600000US0617918","1600000US0667000","1600000US1150000","1600000US4202000","1600000US0680000","1600000US0636000","1600000US3006550","1600000US0653980","1600000US0656000","1600000US0668000","1600000US5363000","1600000US0684200","1600000US0659451","1600000US0616532","1600000US0622020"
"Cape Coral","FL","1600000US1210275","1600000US1258715","1600000US1772000","1600000US2146027","1600000US4817000","1600000US4751560","1600000US4819972","1600000US3719000","1600000US4052500","1600000US0107000","1600000US0655156","1600000US0137000","1600000US5156000","1600000US2507000","1600000US5414600","1600000US5135000"
"Carlsbad","CA","1600000US0611194","1600000US0672016","1600000US0812815","1600000US0636770","1600000US0606000","1600000US4858016","1600000US0669088","1600000US0668000","1600000US4845744","1600000US0636000","1600000US0669084","1600000US0678582","1600000US0678120","1600000US0622020","1600000US0973000","1600000US4202000"
"Carolina","PR","1600000US7214290","1600000US3663000","1600000US3916000","1600000US0937000","1600000US3673000","1600000US0608954","1600000US2622000","1600000US4807000","1600000US3921000","1600000US3915000","1600000US3977000","1600000US2567000","1600000US1225175","1600000US1230000","1600000US3502000","1600000US1608830"
"Carrollton","TX","1600000US4813024","1600000US1304000","1600000US4982950","1600000US0616000","1600000US0623182","1600000US0883835","1600000US0877290","1600000US4848072","1600000US0412000","1600000US0665042","1600000US2053775","1600000US1214400","1600000US5182000","1600000US1245975","1600000US0633000","1600000US5116000"
"Cedar Rapids","IA","1600000US1912000","1600000US0655156","1600000US4659020","1600000US1703012","1600000US3251800","1600000US0816000","1600000US5548000","1600000US4513330","1600000US3345140","1600000US4751560","1600000US0653896","1600000US0827425","1600000US0107000","1600000US4052500","1600000US4837000","1600000US4830464"
"Centennial","CO","1600000US0812815","1600000US0636770","1600000US7214290","1600000US0672016","1600000US0606000","1600000US4858016","1600000US0669088","1600000US0669084","1600000US0668000","1600000US0678582","1600000US4202000","1600000US0636000","1600000US4845744","1600000US0678120","1600000US0622020","1600000US0973000"
"Chandler","AZ","1600000US0412000","1600000US0616350","1600000US0650076","1600000US2053775","1600000US1304000","1600000US0662938","1600000US1912000","1600000US0656000","1600000US0465000","1600000US4982950","1600000US0616000","1600000US0659451","1600000US4848072","1600000US5363000","1600000US2052575","1600000US0623182"
"Charleston (SC)","SC","1600000US4513330","1600000US4830464","1600000US0812815","1600000US5548000","1600000US0816000","1600000US0827425","1600000US2404000","1600000US0655156","1600000US1703012","1600000US3755000","1600000US5613900","1600000US3345140","1600000US4659020","1600000US3251800","1600000US0653896","1600000US0843000"
"Charleston (WV)","WV","1600000US5414600","1600000US4819972","1600000US1919000","1600000US0602000","1600000US0137000","1600000US0640130","1600000US4967000","1600000US1258715","1600000US1772000","1600000US4715160","1600000US4839148","1600000US5135000","1600000US2146027","1600000US3260600","1600000US0611194","1600000US5156000"
"Charlotte","NC","1600000US3712000","1600000US4827000","1600000US0816000","1600000US1703012","1600000US3755000","1600000US0803455","1600000US0820000","1600000US5548000","1600000US3251800","1600000US4159000","1600000US0653896","1600000US4659020","1600000US4837000","1600000US3345140","1600000US0812815","1600000US0649270"
"Chattanooga","TN","1600000US4714000","1600000US5305210","1600000US3775000","1600000US1270600","1600000US4516000","1600000US0150000","1600000US2036000","1600000US2270000","1600000US3728000","1600000US1319000","1600000US4841464","1600000US3731400","1600000US1765000","1600000US3774440","1600000US2071000","1600000US4962470"
