"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Abilene","TX","1600000US4801000","1600000US4807000","1600000US4876000","1600000US4879000","1600000US4819972","1600000US4839148"
"Akron","OH","1600000US3901000","1600000US2634000","1600000US5167000","1600000US3663000","1600000US5101000","1600000US4202000"
"Albuquerque","NM","1600000US3502000","1600000US0816000","1600000US0477000","1600000US4824000","1600000US0446000","1600000US0820000"
"Alexandria","VA","1600000US5101000","1600000US5414600","1600000US3731400","1600000US5135000","1600000US0973000","1600000US0980000"
"Allentown","PA","1600000US4202000","1600000US0908000","1600000US0937000","1600000US0952000","1600000US3673000","1600000US1077580"
"Amarillo","TX","1600000US4803000","1600000US4830464","1600000US4845000","1600000US4845744","1600000US4837000","1600000US4829000"
"Anaheim","CA","1600000US0602000","1600000US0662000","1600000US0669000","1600000US0616350","1600000US0624680","1600000US0629000"
"Anchorage","AK","1600000US0203000","1600000US0675000","1600000US1608830","1600000US0622020","1600000US4123850","1600000US0626000"
"Ann Arbor","MI","1600000US2603000","1600000US5414600","1600000US3921000","1600000US5531000","1600000US1738570","1600000US1759000"
"Antioch","CA","1600000US0602252","1600000US0623182","1600000US0660620","1600000US0662938","1600000US0681666","1600000US0682954"
"Arlington","TX","1600000US4804000","1600000US4817000","1600000US4858016","1600000US4075000","1600000US4803000","1600000US4829000"
"Arvada","CO","1600000US0803455","1600000US0877290","1600000US4982950","1600000US0883835","1600000US0843000","1600000US4983470"
"Atlanta","GA","1600000US1304000","1600000US4748000","1600000US3755000","1600000US3712000","1600000US3915000","1600000US3728000"
"Aurora (CO)","CO","1600000US0804000","1600000US3128000","1600000US4075000","1600000US2079000","1600000US3502000","1600000US4803000"
"Aurora (IL)","IL","1600000US1703012","1600000US1921000","1600000US2634000","1600000US5548000","1600000US1765000","1600000US2603000"
"Austin","TX","1600000US4805000","1600000US4827000","1600000US4819000","1600000US4835000","1600000US4055000","1600000US4865000"
"Bakersfield","CA","1600000US0603526","1600000US0602000","1600000US0624680","1600000US0627000","1600000US0629000","1600000US0630000"
"Baltimore","MD","1600000US2404000","1600000US3755000","1600000US5182000","1600000US1150000","1600000US3611000","1600000US3728000"
"Baton Rouge","LA","1600000US2205000","1600000US0107000","1600000US1319000","1600000US4830464","1600000US0137000","1600000US2836000"
"Bayam<U+0086>n","PR","1600000US7206593","1600000US1210275","1600000US5116000","1600000US3722920","1600000US1258715","1600000US1270600"
"Beaumont","TX","1600000US4807000","1600000US4801000","1600000US4876000","1600000US4879000","1600000US4819972","1600000US4839148"
"Bellevue","WA","1600000US5305210","1600000US0662938","1600000US0602252","1600000US0623182","1600000US5322640","1600000US0660620"
"Berkeley","CA","1600000US0606000","1600000US0678582","1600000US0602252","1600000US0623182","1600000US0660620","1600000US0662938"
"Billings","MT","1600000US3006550","1600000US5613900","1600000US3825700","1600000US0862000","1600000US0803455","1600000US5305210"
"Birmingham","AL","1600000US0107000","1600000US4714000","1600000US1319000","1600000US2836000","1600000US4740000","1600000US0150000"
"Boise City","ID","1600000US1608830","1600000US4164900","1600000US5374060","1600000US4123850","1600000US5367000","1600000US0622020"
"Boston","MA","1600000US2507000","1600000US2404000","1600000US1150000","1600000US3611000","1600000US3436000","1600000US3451000"
"Bridgeport","CT","1600000US0908000","1600000US4202000","1600000US0937000","1600000US0952000","1600000US3673000","1600000US1077580"
"Brownsville","TX","1600000US4810768","1600000US4830464","1600000US4845000","1600000US4845744","1600000US2270000","1600000US2205000"
"Buffalo","NY","1600000US3611000","1600000US3977000","1600000US3916000","1600000US4261000","1600000US3436000","1600000US3451000"
"Burbank","CA","1600000US0608954","1600000US0616532","1600000US0619766","1600000US0628000","1600000US0656000","1600000US0684200"
"Burlington","VT","1600000US5010675","1600000US3345140","1600000US2360545","1600000US0973000","1600000US0980000","1600000US5101000"
"Cambridge","MA","1600000US2511000","1600000US5010675","1600000US5135000","1600000US3345140","1600000US2360545","1600000US0973000"
