"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Abilene","TX","1600000US4801000","1600000US4879000","1600000US4876000","1600000US4807000","1600000US2071000","1600000US1225175"
"Akron","OH","1600000US3901000","1600000US5167000","1600000US5156000","1600000US5548000","1600000US2205000","1600000US4841464"
"Albuquerque","NM","1600000US3502000","1600000US0446000","1600000US3137000","1600000US1304000","1600000US3755000","1600000US4824000"
"Alexandria","VA","1600000US5101000","1600000US2537000","1600000US1077580","1600000US4202000","1600000US1245060","1600000US0653980"
"Allentown","PA","1600000US4202000","1600000US1077580","1600000US0908000","1600000US0952000","1600000US0937000","1600000US3673000"
"Amarillo","TX","1600000US4803000","1600000US4830464","1600000US4845000","1600000US2053775","1600000US0541000","1600000US3260600"
"Anaheim","CA","1600000US0602000","1600000US1571550","1600000US2743000","1600000US2758000","1600000US4261000","1600000US3611000"
"Anchorage","AK","1600000US0203000","1600000US3231900","1600000US0603526","1600000US0804000","1600000US2079000","1600000US2146027"
"Ann Arbor","MI","1600000US2603000","1600000US1232000","1600000US0622804","1600000US4131250","1600000US2684000","1600000US1212875"
"Antioch","CA","1600000US0602252","1600000US0623182","1600000US0650076","1600000US0681666","1600000US4982950","1600000US4813024"
"Arlington","TX","1600000US4804000","1600000US3128000","1600000US1263000","1600000US3915000","1600000US0412000","1600000US1271000"
"Arvada","CO","1600000US0803455","1600000US0883835","1600000US0877290","1600000US4982950","1600000US4813024","1600000US2676460"
"Atlanta","GA","1600000US1304000","1600000US3755000","1600000US3137000","1600000US3502000","1600000US0446000","1600000US4824000"
"Aurora (CO)","CO","1600000US0804000","1600000US2079000","1600000US0603526","1600000US4817000","1600000US2146027","1600000US4075000"
"Aurora (IL)","IL","1600000US1703012","1600000US1255775","1600000US0624680","1600000US0616350","1600000US0670098","1600000US4829000"
"Austin","TX","1600000US4805000","1600000US4827000","1600000US1836003","1600000US1235000","1600000US3712000","1600000US3918000"
"Bakersfield","CA","1600000US0603526","1600000US0804000","1600000US2079000","1600000US4817000","1600000US2146027","1600000US3231900"
"Baltimore","MD","1600000US2404000","1600000US0816000","1600000US2938000","1600000US4748000","1600000US4055000","1600000US0477000"
"Baton Rouge","LA","1600000US2205000","1600000US4841464","1600000US3901000","1600000US5167000","1600000US0665000","1600000US5367000"
"Bayam<U+0086>n","PR","1600000US7206593","1600000US7214290","1600000US1230000","1600000US4459000","1600000US3663000","1600000US0658072"
"Beaumont","TX","1600000US4807000","1600000US4876000","1600000US4801000","1600000US4879000","1600000US2915670","1600000US5531000"
"Bellevue","WA","1600000US5305210","1600000US0672016","1600000US0812815","1600000US0611194","1600000US0662938","1600000US0678120"
"Berkeley","CA","1600000US0606000","1600000US0617918","1600000US0652526","1600000US2511000","1600000US0636546","1600000US0622230"
"Billings","MT","1600000US3006550","1600000US5613900","1600000US3825700","1600000US0471510","1600000US1912000","1600000US0682590"
"Birmingham","AL","1600000US0107000","1600000US0151000","1600000US1319000","1600000US4714000","1600000US1765000","1600000US4967000"
"Boise City","ID","1600000US1608830","1600000US5374060","1600000US4164900","1600000US5367000","1600000US0827425","1600000US4837000"
"Boston","MA","1600000US2507000","1600000US0816000","1600000US2938000","1600000US4748000","1600000US4055000","1600000US0477000"
"Bridgeport","CT","1600000US0908000","1600000US0952000","1600000US0937000","1600000US4202000","1600000US1077580","1600000US3673000"
