"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Abilene","TX","1600000US4801000","Montgomery, AL","Fayetteville, NC","Independence, MO","Palm Bay, FL","Columbus (GA), GA","Wichita Falls, TX","High Point, NC","Topeka, KS","Green Bay, WI","Columbia (SC), SC","Wilmington (NC), NC","Lubbock, TX","Columbia (MO), MO","Tulsa, OK","Orlando, FL"
"Akron","OH","1600000US3901000","Toledo, OH","Lansing, MI","South Bend, IN","Cincinnati, OH","Evansville, IN","Pueblo, CO","Springfield (MO), MO","Knoxville, TN","Springfield (MA), MA","San Bernardino, CA","St. Louis, MO","Gainesville, FL","Tucson, AZ","Memphis, TN","Waco, TX"
"Albuquerque","NM","1600000US3502000","Atlanta, GA","Wichita, KS","Des Moines, IA","Reno, NV","Salem, OR","Mesa, AZ","Lafayette, LA","Glendale (AZ), AZ","Killeen, TX","Pasadena (TX), TX","Columbus (OH), OH","Portland (ME), ME","St. Petersburg, FL","Amarillo, TX","Fargo, ND"
"Alexandria","VA","1600000US5101000","Huntington Beach, CA","San Jose, CA","Centennial, CO","Torrance, CA","Irvine, CA","Santa Clara, CA","Plano, TX","Simi Valley, CA","Carlsbad, CA","Bellevue, WA","Santa Clarita, CA","Orange, CA","Cambridge, MA","Elk Grove, CA","Temecula, CA"
"Allentown","PA","1600000US4202000","New Haven, CT","Miami Gardens, FL","Milwaukee, WI","St. Louis, MO","Wilmington (DE), DE","Springfield (MA), MA","Pittsburgh, PA","Providence, RI","San Bernardino, CA","Buffalo, NY","Grand Rapids, MI","Syracuse, NY","Cincinnati, OH","Waterbury, CT","Lansing, MI"
"Amarillo","TX","1600000US4803000","Salt Lake City, UT","Lancaster, CA","Davenport, IA","Reno, NV","Killeen, TX","Clarksville, TN","Charleston (WV), WV","Lafayette, LA","Denton, TX","Fargo, ND","Des Moines, IA","Little Rock, AR","Hampton, VA","Victorville, CA","West Palm Beach, FL"
"Anaheim","CA","1600000US0602000","Oxnard, CA","Honolulu, HI","Pembroke Pines, FL","Downey, CA","Santa Rosa, CA","Kent, WA","Aurora (IL), IL","Chula Vista, CA","Fontana, CA","Garden Grove, CA","Sterling Heights, MI","Oceanside, CA","Fullerton, CA","Burbank, CA","Costa Mesa, CA"
"Anchorage","AK","1600000US0203000","Olathe, KS","McKinney, TX","Stamford, CT","Scottsdale, AZ","Temecula, CA","Roseville, CA","Elk Grove, CA","Murrieta, CA","Rancho Cucamonga, CA","Overland Park, KS","Santa Clarita, CA","Corona, CA","Plano, TX","Chandler, AZ","Orange, CA"
"Ann Arbor","MI","1600000US2603000","Richmond (CA), CA","Vallejo, CA","Moreno Valley, CA","Lakewood, CO","Riverside, CA","Oceanside, CA","Fort Collins, CO","Ontario, CA","Manchester, NH","Raleigh, NC","Portland (OR), OR","Madison, WI","Bakersfield, CA","Arlington, TX","Grand Prairie, TX"
"Antioch","CA","1600000US0602252","Hayward, CA","Miramar, FL","Aurora (IL), IL","Fontana, CA","Henderson, NV","Chula Vista, CA","Thornton, CO","Rochester (MN), MN","Westminster, CO","Coral Springs, FL","Pembroke Pines, FL","Fairfield, CA","San Buenaventura, CA","Santa Rosa, CA","Honolulu, HI"
"Arlington","TX","1600000US4804000","West Valley City, UT","Ontario, CA","Denver, CO","Moreno Valley, CA","Irving, TX","Tacoma, WA","Garland, TX","Visalia, CA","Manchester, NH","Portland (OR), OR","Richmond (CA), CA","Raleigh, NC","Aurora (CO), CO","Madison, WI","Charlotte, NC"
"Arvada","CO","1600000US0803455","Carrollton, TX","West Jordan, UT","Concord, CA","Midland, TX","Fairfield, CA","Overland Park, KS","Westminster, CO","Chandler, AZ","Thornton, CO","San Buenaventura, CA","Chesapeake, VA","Virginia Beach, VA","Corona, CA","Scottsdale, AZ","Murrieta, CA"
"Atlanta","GA","1600000US1304000","Alexandria, VA","Mesa, AZ","Salem, OR","Pasadena (TX), TX","Glendale (AZ), AZ","Killeen, TX","Des Moines, IA","Reno, NV","St. Petersburg, FL","Portland (ME), ME","Lafayette, LA","Wichita, KS","Omaha, NE","Tempe, AZ","Hampton, VA"
"Aurora (CO)","CO","1600000US0804000","North Las Vegas, NV","Sioux Falls, SD","Cedar Rapids, IA","Colorado Springs, CO","Palmdale, CA","Fort Worth, TX","Madison, WI","Irving, TX","Murfreesboro, TN","Charlotte, NC","Manchester, NH","Ontario, CA","Billings, MT","Corpus Christi, TX","Visalia, CA"
"Aurora (IL)","IL","1600000US1703012","Arlington, TX","Pembroke Pines, FL","Fontana, CA","Santa Rosa, CA","Honolulu, HI","Miramar, FL","Chula Vista, CA","Hayward, CA","Kent, WA","Henderson, NV","Sterling Heights, MI","Elgin, IL","Coral Springs, FL","Joliet, IL","Burbank, CA"
"Austin","TX","1600000US4805000","Bakersfield, CA","Riverside, CA","Raleigh, NC","Lakewood, CO","Grand Prairie, TX","Vallejo, CA","Portland (OR), OR","Cheyenne, WY","Oceanside, CA","Colorado Springs, CO","Fort Collins, CO","Madison, WI","Charlotte, NC","Sterling Heights, MI","Antioch, CA"
"Bakersfield","CA","1600000US0603526","Grand Prairie, TX","Lakewood, CO","Cheyenne, WY","Fort Collins, CO","Vallejo, CA","Raleigh, NC","Riverside, CA","Madison, WI","Bakersfield, CA","Colorado Springs, CO","Oceanside, CA","Antioch, CA","Richmond (CA), CA","Charleston (SC), SC","Manchester, NH"
"Baltimore","MD","1600000US2404000","Bridgeport, CT","Wilmington (DE), DE","Pittsburgh, PA","Elizabeth, NJ","Fresno, CA","Miami Gardens, FL","New Haven, CT","Stockton, CA","Providence, RI","Amarillo, TX","Worcester, MA","Grand Rapids, MI","Lowell, MA","Norfolk, VA","Clearwater, FL"
