"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Abilene","TX","1600000US4801000","Beaumont, TX","Waco, TX","Wichita Falls, TX","Denton, TX","Killeen, TX"
"Akron","OH","1600000US3901000","Grand Rapids, MI","Richmond (VA), VA","Rochester (NY), NY","Alexandria, VA","Allentown, PA"
"Albuquerque","NM","1600000US3502000","Colorado Springs, CO","Tucson, AZ","El Paso, TX","Mesa, AZ","Denver, CO"
"Alexandria","VA","1600000US5101000","Charleston (WV), WV","High Point, NC","Hampton, VA","Stamford, CT","Waterbury, CT"
"Allentown","PA","1600000US4202000","Bridgeport, CT","Hartford, CT","New Haven, CT","Syracuse, NY","Wilmington (DE), DE"
"Amarillo","TX","1600000US4803000","Grand Prairie, TX","Lubbock, TX","McKinney, TX","Irving, TX","Garland, TX"
"Anaheim","CA","1600000US0602000","Riverside, CA","Santa Ana, CA","Corona, CA","Fontana, CA","Garden Grove, CA"
"Anchorage","AK","1600000US0203000","Stockton, CA","Boise City, ID","Elk Grove, CA","Eugene, OR","Fremont, CA"
"Ann Arbor","MI","1600000US2603000","Charleston (WV), WV","Dayton, OH","Green Bay, WI","Joliet, IL","Peoria (IL), IL"
"Antioch","CA","1600000US0602252","Fairfield, CA","Richmond (CA), CA","Roseville, CA","Vallejo, CA","Visalia, CA"
"Arlington","TX","1600000US4804000","Corpus Christi, TX","Plano, TX","Tulsa, OK","Amarillo, TX","Garland, TX"
"Arvada","CO","1600000US0803455","Thornton, CO","West Jordan, UT","Westminster, CO","Lakewood, CO","West Valley City, UT"
"Atlanta","GA","1600000US1304000","Memphis, TN","Raleigh, NC","Charlotte, NC","Cincinnati, OH","Greensboro, NC"
"Aurora (CO)","CO","1600000US0804000","Lincoln, NE","Tulsa, OK","Wichita, KS","Albuquerque, NM","Amarillo, TX"
"Aurora (IL)","IL","1600000US1703012","Des Moines, IA","Grand Rapids, MI","Madison, WI","Rockford, IL","Ann Arbor, MI"
"Austin","TX","1600000US4805000","Fort Worth, TX","Dallas, TX","Houston, TX","Oklahoma City, OK","San Antonio, TX"
"Bakersfield","CA","1600000US0603526","Anaheim, CA","Fontana, CA","Fresno, CA","Garden Grove, CA","Glendale (CA), CA"
"Baltimore","MD","1600000US2404000","Raleigh, NC","Virginia Beach, VA","Washington, DC","Buffalo, NY","Greensboro, NC"
"Baton Rouge","LA","1600000US2205000","Birmingham, AL","Columbus (GA), GA","Grand Prairie, TX","Huntsville, AL","Jackson, MS"
