"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Abilene","TX","1600000US4801000","Wichita Falls, TX","Waco, TX","Beaumont, TX","Topeka, KS","Gainesville, FL"
"Akron","OH","1600000US3901000","Richmond (VA), VA","Newport News, VA","Madison, WI","Baton Rouge, LA","Laredo, TX"
"Albuquerque","NM","1600000US3502000","Mesa, AZ","Omaha, NE","Atlanta, GA","Raleigh, NC","El Paso, TX"
"Alexandria","VA","1600000US5101000","Lowell, MA","Wilmington (DE), DE","Allentown, PA","Miami Gardens, FL","Orange, CA"
"Allentown","PA","1600000US4202000","Wilmington (DE), DE","Bridgeport, CT","New Haven, CT","Hartford, CT","Syracuse, NY"
"Amarillo","TX","1600000US4803000","Grand Prairie, TX","Lubbock, TX","Overland Park, KS","Little Rock, AR","Reno, NV"
"Anaheim","CA","1600000US0602000","Honolulu, HI","Minneapolis, MN","St. Paul, MN","Pittsburgh, PA","Buffalo, NY"
"Anchorage","AK","1600000US0203000","Henderson, NV","Bakersfield, CA","Aurora (CO), CO","Wichita, KS","Lexington-Fayette, KY"
"Ann Arbor","MI","1600000US2603000","Hollywood, FL","Escondido, CA","Gresham, OR","Warren, MI","Clearwater, FL"
"Antioch","CA","1600000US0602252","Fairfield, CA","Murrieta, CA","Vallejo, CA","West Jordan, UT","Carrollton, TX"
"Arlington","TX","1600000US4804000","Lincoln, NE","St. Petersburg, FL","Cincinnati, OH","Chandler, AZ","Tampa, FL"
"Arvada","CO","1600000US0803455","Westminster, CO","Thornton, CO","West Jordan, UT","Carrollton, TX","Sterling Heights, MI"
"Atlanta","GA","1600000US1304000","Raleigh, NC","Omaha, NE","Albuquerque, NM","Mesa, AZ","El Paso, TX"
"Aurora (CO)","CO","1600000US0804000","Wichita, KS","Bakersfield, CA","Corpus Christi, TX","Lexington-Fayette, KY","Tulsa, OK"
"Aurora (IL)","IL","1600000US1703012","Pembroke Pines, FL","Fontana, CA","Corona, CA","Santa Rosa, CA","Garland, TX"
"Austin","TX","1600000US4805000","Fort Worth, TX","Indianapolis, IN","Jacksonville, FL","Charlotte, NC","Columbus (OH), OH"
"Bakersfield","CA","1600000US0603526","Aurora (CO), CO","Wichita, KS","Corpus Christi, TX","Lexington-Fayette, KY","Henderson, NV"
"Baltimore","MD","1600000US2404000","Colorado Springs, CO","Kansas City (MO), MO","Memphis, TN","Oklahoma City, OK","Tucson, AZ"
"Baton Rouge","LA","1600000US2205000","Laredo, TX","Akron, OH","Richmond (VA), VA","San Bernardino, CA","Spokane, WA"
"Bayam<U+0086>n","PR","1600000US7206593","Carolina, PR","Hialeah, FL","Providence, RI","Rochester (NY), NY","Pomona, CA"
"Beaumont","TX","1600000US4807000","Waco, TX","Abilene, TX","Wichita Falls, TX","Columbia (MO), MO","Green Bay, WI"
"Bellevue","WA","1600000US5305210","Simi Valley, CA","Centennial, CO","Carlsbad, CA","Roseville, CA","Temecula, CA"
"Berkeley","CA","1600000US0606000","Daly City, CA","Norwalk, CA","Cambridge, MA","Inglewood, CA","El Monte, CA"
"Billings","MT","1600000US3006550","Cheyenne, WY","Fargo, ND","Surprise, AZ","Cedar Rapids, IA","Victorville, CA"
"Birmingham","AL","1600000US0107000","Montgomery, AL","Columbus (GA), GA","Chattanooga, TN","Rockford, IL","Salt Lake City, UT"
"Boise City","ID","1600000US1608830","Vancouver, WA","Salem, OR","Spokane, WA","Fort Collins, CO","Irving, TX"
"Boston","MA","1600000US2507000","Colorado Springs, CO","Kansas City (MO), MO","Memphis, TN","Oklahoma City, OK","Tucson, AZ"
"Bridgeport","CT","1600000US0908000","New Haven, CT","Hartford, CT","Allentown, PA","Wilmington (DE), DE","Syracuse, NY"
"Brownsville","TX","1600000US4810768","Shreveport, LA","Lubbock, TX","Jackson, MS","Mobile, AL","Montgomery, AL"
"Buffalo","NY","1600000US3611000","Pittsburgh, PA","San Juan, PR","St. Paul, MN","Minneapolis, MN","Anaheim, CA"
"Burbank","CA","1600000US0608954","Pasadena (CA), CA","Downey, CA","West Covina, CA","Fullerton, CA","Costa Mesa, CA"
"Burlington","VT","1600000US5010675","Waterbury, CT","Manchester, NH","Portland (ME), ME","Lansing, MI","McAllen, TX"
"Cambridge","MA","1600000US2511000","Berkeley, CA","Daly City, CA","Norwalk, CA","Paterson, NJ","Elizabeth, NJ"
"Cape Coral","FL","1600000US1210275","Port St. Lucie, FL","Tallahassee, FL","Columbus (GA), GA","Huntsville, AL","Des Moines, IA"
"Carlsbad","CA","1600000US0611194","Simi Valley, CA","Temecula, CA","Roseville, CA","Centennial, CO","Bellevue, WA"
"Carolina","PR","1600000US7214290","Bayam<U+0086>n, PR","Hialeah, FL","Providence, RI","Rochester (NY), NY","Pomona, CA"
"Carrollton","TX","1600000US4813024","Thornton, CO","Arvada, CO","Westminster, CO","Elgin, IL","West Jordan, UT"
"Cedar Rapids","IA","1600000US1912000","Davenport, IA","Peoria (IL), IL","Springfield (IL), IL","Murfreesboro, TN","West Palm Beach, FL"
"Centennial","CO","1600000US0812815","Arvada, CO","Westminster, CO","Thornton, CO","Carlsbad, CA","Bellevue, WA"
"Chandler","AZ","1600000US0412000","Arlington, TX","Plano, TX","Lincoln, NE","St. Petersburg, FL","Cincinnati, OH"
"Charleston (SC)","SC","1600000US4513330","Charleston (WV), WV","West Palm Beach, FL","Murfreesboro, TN","Springfield (IL), IL","Norman, OK"
"Charleston (WV)","WV","1600000US5414600","Murfreesboro, TN","Clarksville, TN","Charleston (SC), SC","Davenport, IA","Killeen, TX"
"Charlotte","NC","1600000US3712000","Fort Worth, TX","Indianapolis, IN","Jacksonville, FL","Austin, TX","Columbus (OH), OH"
"Chattanooga","TN","1600000US4714000","Knoxville, TN","Birmingham, AL","Columbus (GA), GA","Shreveport, LA","Salt Lake City, UT"
"Chesapeake","VA","1600000US5116000","Durham, NC","Fayetteville, NC","Winston-Salem, NC","Huntsville, AL","Overland Park, KS"
"Cheyenne","WY","1600000US5613900","Billings, MT","Pueblo, CO","Topeka, KS","Fargo, ND","Lafayette, LA"
"Chicago","IL","1600000US1714000","Dallas, TX","Houston, TX","Phoenix, AZ","San Antonio, TX","San Diego, CA"
"Chula Vista","CA","1600000US0613392","Anchorage, AK","Aurora (CO), CO","Bakersfield, CA","Corpus Christi, TX","Fort Wayne, IN"
"Cincinnati","OH","1600000US3915000","Toledo, OH","Tampa, FL","Lincoln, NE","St. Petersburg, FL","Arlington, TX"
"Clarksville","TN","1600000US4715160","Murfreesboro, TN","Springfield (IL), IL","Peoria (IL), IL","Lafayette, LA","Billings, MT"
"Clearwater","FL","1600000US1212875","Hollywood, FL","Coral Springs, FL","Miramar, FL","Ann Arbor, MI","Warren, MI"
"Cleveland","OH","1600000US3916000","Anchorage, AK","Aurora (CO), CO","Bakersfield, CA","Corpus Christi, TX","Fort Wayne, IN"
"Colorado Springs","CO","1600000US0816000","Oklahoma City, OK","Kansas City (MO), MO","Tucson, AZ","Memphis, TN","Virginia Beach, VA"
"Columbia (MO)","MO","1600000US2915670","Independence, MO","Kansas City (KS), KS","Topeka, KS","Waco, TX","Palm Bay, FL"
"Columbia (SC)","SC","1600000US4516000","Savannah, GA","High Point, NC","Wilmington (NC), NC","South Bend, IN","Wichita Falls, TX"
"Columbus (GA)","GA","1600000US1319000","Montgomery, AL","Birmingham, AL","Tallahassee, FL","Shreveport, LA","Salt Lake City, UT"
"Columbus (OH)","OH","1600000US3918000","Fort Worth, TX","Indianapolis, IN","Jacksonville, FL","Austin, TX","Charlotte, NC"
"Concord","CA","1600000US0616000","San Buenaventura, CA","Kent, WA","Coral Springs, FL","Miramar, FL","Escondido, CA"
"Coral Springs","FL","1600000US1214400","Miramar, FL","San Buenaventura, CA","Concord, CA","Kent, WA","Hollywood, FL"
"Corona","CA","1600000US0616350","Fontana, CA","Santa Rosa, CA","Rancho Cucamonga, CA","Tacoma, WA","Aurora (IL), IL"
"Corpus Christi","TX","1600000US4817000","Wichita, KS","Aurora (CO), CO","Lexington-Fayette, KY","Bakersfield, CA","New Orleans, LA"
"Costa Mesa","CA","1600000US0616532","Fullerton, CA","Downey, CA","West Covina, CA","Pasadena (CA), CA","Burbank, CA"
"Dallas","TX","1600000US4819000","Houston, TX","Phoenix, AZ","San Antonio, TX","San Diego, CA","Los Angeles, CA"
"Daly City","CA","1600000US0617918","Berkeley, CA","Norwalk, CA","Cambridge, MA","Inglewood, CA","El Monte, CA"
"Davenport","IA","1600000US1919000","Cedar Rapids, IA","Peoria (IL), IL","Springfield (IL), IL","Charleston (WV), WV","West Palm Beach, FL"
"Dayton","OH","1600000US3921000","South Bend, IN","High Point, NC","Green Bay, WI","Wilmington (NC), NC","Pueblo, CO"
"Denton","TX","1600000US4819972","Norman, OK","Killeen, TX","Lafayette, LA","Clarksville, TN","Billings, MT"
"Denver","CO","1600000US0820000","Las Vegas, NV","Sacramento, CA","Portland (OR), OR","Fresno, CA","Detroit, MI"
"Des Moines","IA","1600000US1921000","Sioux Falls, SD","Little Rock, AR","Overland Park, KS","Huntsville, AL","North Las Vegas, NV"
"Detroit","MI","1600000US2622000","Fresno, CA","Denver, CO","Las Vegas, NV","Portland (OR), OR","Sacramento, CA"
"Downey","CA","1600000US0619766","Fullerton, CA","West Covina, CA","Pasadena (CA), CA","Burbank, CA","Costa Mesa, CA"
"Durham","NC","1600000US3719000","Huntsville, AL","Fayetteville, NC","Winston-Salem, NC","Port St. Lucie, FL","Grand Prairie, TX"
"El Monte","CA","1600000US0622230","Inglewood, CA","Elizabeth, NJ","Paterson, NJ","Norwalk, CA","Daly City, CA"
"El Paso","TX","1600000US4824000","Albuquerque, NM","Mesa, AZ","Omaha, NE","Atlanta, GA","Raleigh, NC"
"Elgin","IL","1600000US1723074","Sterling Heights, MI","Lansing, MI","Evansville, IN","Carrollton, TX","West Jordan, UT"
"Elizabeth","NJ","1600000US3421000","Paterson, NJ","El Monte, CA","Inglewood, CA","Norwalk, CA","Berkeley, CA"
"Elk Grove","CA","1600000US0622020","Santa Clarita, CA","Hayward, CA","Irvine, CA","Vancouver, WA","Irving, TX"
"Escondido","CA","1600000US0622804","Gresham, OR","Ann Arbor, MI","Hollywood, FL","San Buenaventura, CA","Concord, CA"
