"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Abilene","TX","1600000US4801000","Wichita Falls, TX","Lubbock, TX","Tulsa, OK","Topeka, KS","Independence, MO","Columbia (MO), MO","Montgomery, AL","Columbus (GA), GA","Green Bay, WI","Columbia (SC), SC","Orlando, FL","High Point, NC","Palm Bay, FL","Fayetteville, NC","Wilmington (NC), NC"
"Akron","OH","1600000US3901000","Toledo, OH","Lansing, MI","Cincinnati, OH","South Bend, IN","Knoxville, TN","Evansville, IN","Springfield (MA), MA","St. Louis, MO","Memphis, TN","Springfield (MO), MO","Gainesville, FL","Waco, TX","Pueblo, CO","Tucson, AZ","San Bernardino, CA"
"Albuquerque","NM","1600000US3502000","Amarillo, TX","Mesa, AZ","Glendale (AZ), AZ","Wichita, KS","Killeen, TX","Pasadena (TX), TX","Reno, NV","Des Moines, IA","Lafayette, LA","Fargo, ND","Salem, OR","Atlanta, GA","Columbus (OH), OH","St. Petersburg, FL","Portland (ME), ME"
"Alexandria","VA","1600000US5101000","Cambridge, MA","Plano, TX","Centennial, CO","Temecula, CA","Carlsbad, CA","Irvine, CA","Orange, CA","Huntington Beach, CA","Santa Clarita, CA","Torrance, CA","Simi Valley, CA","Bellevue, WA","Elk Grove, CA","San Jose, CA","Santa Clara, CA"
"Allentown","PA","1600000US4202000","Wilmington (DE), DE","New Haven, CT","Waterbury, CT","Syracuse, NY","Springfield (MA), MA","Providence, RI","Pittsburgh, PA","Buffalo, NY","Cincinnati, OH","Lansing, MI","Grand Rapids, MI","Milwaukee, WI","St. Louis, MO","Miami Gardens, FL","San Bernardino, CA"
"Amarillo","TX","1600000US4803000","Denton, TX","Killeen, TX","Little Rock, AR","Des Moines, IA","Lafayette, LA","Salt Lake City, UT","Davenport, IA","Clarksville, TN","Fargo, ND","Victorville, CA","Lancaster, CA","Reno, NV","Charleston (WV), WV","West Palm Beach, FL","Hampton, VA"
"Anaheim","CA","1600000US0602000","Fullerton, CA","Garden Grove, CA","Costa Mesa, CA","Downey, CA","Fontana, CA","Burbank, CA","Oceanside, CA","Oxnard, CA","Chula Vista, CA","Santa Rosa, CA","Kent, WA","Aurora (IL), IL","Sterling Heights, MI","Pembroke Pines, FL","Honolulu, HI"
"Anchorage","AK","1600000US0203000","Roseville, CA","Elk Grove, CA","Santa Clarita, CA","Rancho Cucamonga, CA","Orange, CA","Corona, CA","Murrieta, CA","Temecula, CA","Scottsdale, AZ","Chandler, AZ","Olathe, KS","Overland Park, KS","McKinney, TX","Plano, TX","Stamford, CT"
"Ann Arbor","MI","1600000US2603000","Madison, WI","Raleigh, NC","Manchester, NH","Grand Prairie, TX","Arlington, TX","Fort Collins, CO","Lakewood, CO","Moreno Valley, CA","Riverside, CA","Ontario, CA","Oceanside, CA","Bakersfield, CA","Portland (OR), OR","Vallejo, CA","Richmond (CA), CA"
"Antioch","CA","1600000US0602252","Fairfield, CA","Hayward, CA","Santa Rosa, CA","San Buenaventura, CA","Fontana, CA","Henderson, NV","Chula Vista, CA","Westminster, CO","Thornton, CO","Rochester (MN), MN","Aurora (IL), IL","Honolulu, HI","Coral Springs, FL","Pembroke Pines, FL","Miramar, FL"
