"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000",116637,117566,118484,119721,120776,122226
"Akron","OH","1600000US3901000",202814,201111,199955,199038,198492,198329
"Albuquerque","NM","1600000US3502000",531403,539000,545083,549812,553576,556092
"Alexandria","VA","1600000US5101000",133647,136968,140337,143684,146422,149315
"Allentown","PA","1600000US4202000",116398,117386,117942,118285,118793,119261
"Amarillo","TX","1600000US4803000",187225,189132,191118,193153,194930,196571
"Anaheim","CA","1600000US0602000",333039,335057,337471,340081,342973,345578
"Anchorage","AK","1600000US0203000",284267,287390,291470,295237,298178,299107
"Ann Arbor","MI","1600000US2603000",115204,114783,114725,115331,115985,116194
"Antioch","CA","1600000US0602252",99717,101118,102575,104035,105630,107501
"Arlington","TX","1600000US4804000",359410,363933,367154,371267,375305,379716
"Arvada","CO","1600000US0803455",104885,105768,106965,108300,109800,111658
"Atlanta","GA","1600000US1304000",413462,419250,425931,432589,440641,448901
"Aurora (CO)","CO","1600000US0804000",314092,320166,326249,332820,339480,345867
"Aurora (IL)","IL","1600000US1703012",190437,194053,196569,198726,199878,200614
"Austin","TX","1600000US4805000",764129,782149,799939,836800,864218,887061
"Bakersfield","CA","1600000US0603526",331868,339761,347091,352918,358700,363612
"Baltimore","MD","1600000US2404000",620538,620210,620644,621445,622271,622454
"Baton Rouge","LA","1600000US2205000",229158,229169,229174,229400,229353,229186
"Bayam<U+0086>n","PR","1600000US7206593",192215,189431,186708,184236,181542,177709
"Beaumont","TX","1600000US4807000",116054,117030,117769,117478,117543,117676
"Bellevue","WA","1600000US5305210",119454,121134,122873,129209,132268,134630
"Berkeley","CA","1600000US0606000",109408,111008,112662,114037,115688,117384
"Billings","MT","1600000US3006550",101549,102982,104374,105864,106979,108134
"Birmingham","AL","1600000US0107000",216392,214348,213180,212295,211705,212211
"Boise City","ID","1600000US1608830",206481,207560,208332,209726,211655,214196
"Boston","MA","1600000US2507000",602609,609942,619662,629182,639594,650281
"Bridgeport","CT","1600000US0908000",142576,143412,144446,145587,146680,147340
"Brownsville","TX","1600000US4810768",169599,172491,175210,177795,179834,181487
"Buffalo","NY","1600000US3611000",266012,263914,261955,260568,259959,259517
"Burbank","CA","1600000US0608954",102723,103037,103420,103850,104484,104725
"Burlington","VT","1600000US5010675",41935,42192,42259,42331,42342,42570
"Cambridge","MA","1600000US2511000",103506,104322,105026,105737,106844,107916
"Cape Coral","FL","1600000US1210275",149787,152817,155405,158415,161804,165843
"Carlsbad","CA","1600000US0611194",99753,102342,105097,107307,109296,110830
"Carolina","PR","1600000US7214290",162865,161232,159642,157717,154770,150712
"Carrollton","TX","1600000US4813024",117712,119104,120727,122613,124501,127279
"Cedar Rapids","IA","1600000US1912000",125450,126306,126921,127420,128009,128829
"Centennial","CO","1600000US0812815",99999,100643,101339,102625,104213,106604
"Chandler","AZ","1600000US0412000",229531,233509,237456,241096,245231,250202
"Charleston (SC)","SC","1600000US4513330",116347,118401,120903,123267,125458,127694
"Charleston (WV)","WV","1600000US5414600",51432,51360,51224,51135,50911,50566
"Charlotte","NC","1600000US3712000",705896,722234,740931,757278,774807,792137
"Chattanooga","TN","1600000US4714000",164481,166298,167869,170246,171863,174483
