"city","state","geo.id","min_temp_prob","precipitation_prob","max_temp_prob","drought_prob"
"Abilene","TX","1600000US4801000",0.046448,0.0027322,0.062842,0.632977598
"Akron","OH","1600000US3901000",0.019126,0,0.15847,0.411347527
"Albuquerque","NM","1600000US3502000",0.062842,0.0027322,0.10109,0.389182636
"Alexandria","VA","1600000US5101000",0.010929,0,0.065574,0.389182636
"Allentown","PA","1600000US4202000",0.0054645,0,0.10109,0.411347527
"Amarillo","TX","1600000US4803000",0.062842,0.0027322,0.062842,0.610817364
"Anaheim","CA","1600000US0602000",0.032787,0.0027322,0.035519,0.788121425
"Anchorage","AK","1600000US0203000",,,,
"Ann Arbor","MI","1600000US2603000",0.0054645,0.0054645,0.1776,0.544326631
"Antioch","CA","1600000US0602252",0.04918,0.010929,0.032787,0.765957989
"Arlington","TX","1600000US4804000",0.027322,0,0.051913,0.411347527
"Arvada","CO","1600000US0803455",0.051913,0,0.12568,0.743795095
"Atlanta","GA","1600000US1304000",0.0027322,0,0.095628,0.411347527
"Aurora (CO)","CO","1600000US0804000",0.051913,0,0.11475,0.632977598
"Aurora (IL)","IL","1600000US1703012",0.013661,0.0027322,0.13115,0.367022402
"Austin","TX","1600000US4805000",0.043716,0.0027322,0.02459,0.389182636
"Bakersfield","CA","1600000US0603526",0.046448,0,0.04918,0.765957989
"Baltimore","MD","1600000US2404000",0.0054645,0,0.068306,0.632977598
"Baton Rouge","LA","1600000US2205000",0.0054645,0,0.090164,0.721629806
"Bayam<U+0086>n","PR","1600000US7206593",,,,
"Beaumont","TX","1600000US4807000",0.0081967,0,0.065574,0.588652473
"Bellevue","WA","1600000US5305210",0.027322,0,0.027322,0.411347527
"Berkeley","CA","1600000US0606000",0.019126,0.0027322,0.030055,0.477837004
"Billings","MT","1600000US3006550",0.068306,0.0054645,0.02459,0.655141814
"Birmingham","AL","1600000US0107000",0.0054645,0,0.12842,0.389182636
"Boise City","ID","1600000US1608830",0.019126,0.0054645,0.054645,0.322693513
"Boston","MA","1600000US2507000",0.0054645,0,0.062842,0.477837004
