"city","state","geo.id","region"
"Abilene","TX","1600000US4801000","South"
"Akron","OH","1600000US3901000","Ohio Valley "
"Albuquerque","NM","1600000US3502000","Southwest"
"Alexandria","VA","1600000US5101000","Southeast"
"Allentown","PA","1600000US4202000","Northeast"
"Amarillo","TX","1600000US4803000","South"
"Anaheim","CA","1600000US0602000","West"
"Anchorage","AK","1600000US0203000","Alaska Region "
"Ann Arbor","MI","1600000US2603000","Upper Midwest"
"Antioch","CA","1600000US0602252","West"
"Arlington","TX","1600000US4804000","South"
"Arvada","CO","1600000US0803455","Southwest"
"Atlanta","GA","1600000US1304000","Southeast"
"Aurora (CO)","CO","1600000US0804000","Central"
"Aurora (IL)","IL","1600000US1703012","Southwest"
"Austin","TX","1600000US4805000","South"
"Bakersfield","CA","1600000US0603526","West"
"Baltimore","MD","1600000US2404000","Northeast"
"Baton Rouge","LA","1600000US2205000","South"
"Bayam<U+0086>n","PR","1600000US7206593","Southeast"
"Beaumont","TX","1600000US4807000","South"
"Bellevue","WA","1600000US5305210","Northwest"
"Berkeley","CA","1600000US0606000","West"
"Billings","MT","1600000US3006550","Northern Rockies & Plains"
"Birmingham","AL","1600000US0107000","Southeast"
"Boise City","ID","1600000US1608830","Northwest"
"Boston","MA","1600000US2507000","Northeast"
"Bridgeport","CT","1600000US0908000","Northeast"
"Brownsville","TX","1600000US4810768","South"
"Buffalo","NY","1600000US3611000","Northeast"
"Burbank","CA","1600000US0608954","West"
"Burlington","VT","1600000US5010675","Northeast"
"Cambridge","MA","1600000US2511000","Northeast"
"Cape Coral","FL","1600000US1210275","Southeast"
"Carlsbad","CA","1600000US0611194","West"
"Carolina","PR","1600000US7214290","Southeast"
"Carrollton","TX","1600000US4813024","South"
"Cedar Rapids","IA","1600000US1912000","Upper Midwest"
"Centennial","CO","1600000US0812815","Southwest"
"Chandler","AZ","1600000US0412000","Southwest"
"Charleston (SC)","SC","1600000US4513330","Southeast"
"Charleston (WV)","WV","1600000US5414600","Ohio Valley "
"Charlotte","NC","1600000US3712000","Southeast"
"Chattanooga","TN","1600000US4714000","Ohio Valley "
"Chesapeake","VA","1600000US5116000","Southeast"
"Cheyenne","WY","1600000US5613900","Northern Rockies & Plains"
"Chicago","IL","1600000US1714000","Ohio Valley "
"Chula Vista","CA","1600000US0613392","West"
"Cincinnati","OH","1600000US3915000","Ohio Valley "
"Clarksville","TN","1600000US4715160","Ohio Valley "
"Clearwater","FL","1600000US1212875","Southeast"
"Cleveland","OH","1600000US3916000","Ohio Valley "
"Colorado Springs","CO","1600000US0816000","Southwest"
"Columbia (MO)","MO","1600000US2915670","Southeast"
"Columbia (SC)","SC","1600000US4516000","Ohio Valley "
"Columbus (GA)","GA","1600000US1319000","Southeast"
"Columbus (OH)","OH","1600000US3918000","Ohio Valley "
"Concord","CA","1600000US0616000","West"
"Coral Springs","FL","1600000US1214400","Southeast"
"Corona","CA","1600000US0616350","West"
"Corpus Christi","TX","1600000US4817000","South"
"Costa Mesa","CA","1600000US0616532","West"
"Dallas","TX","1600000US4819000","South"
"Daly City","CA","1600000US0617918","West"
"Davenport","IA","1600000US1919000","Upper Midwest"
"Dayton","OH","1600000US3921000","Ohio Valley "
"Denton","TX","1600000US4819972","South"
"Denver","CO","1600000US0820000","Southwest"
"Des Moines","IA","1600000US1921000","Upper Midwest"
"Detroit","MI","1600000US2622000","Upper Midwest"
"Downey","CA","1600000US0619766","West"
"Durham","NC","1600000US3719000","Southeast"
"El Monte","CA","1600000US0622230","West"
"El Paso","TX","1600000US4824000","South"
"Elgin","IL","1600000US1723074","Ohio Valley "
"Elizabeth","NJ","1600000US3421000","Northeast"
"Elk Grove","CA","1600000US0622020","West"
"Escondido","CA","1600000US0622804","West"
"Eugene","OR","1600000US4123850","Northwest"
"Evansville","IN","1600000US1822000","Ohio Valley "
"Everett","WA","1600000US5322640","Northwest"
