"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",8
"Akron","OH","1600000US3901000","","","","","",2
"Albuquerque","NM","1600000US3502000","","","","","",1
"Alexandria","VA","1600000US5101000","","","","","",0
"Allentown","PA","1600000US4202000","","","","","",3
"Amarillo","TX","1600000US4803000","","","","","",9
"Anaheim","CA","1600000US0602000","","","","","",0
"Anchorage","AK","1600000US0203000","","","","","",12
"Ann Arbor","MI","1600000US2603000","","","","","",1
"Antioch","CA","1600000US0602252","","","","","",0
"Arlington","TX","1600000US4804000","","","","","",13
"Arvada","CO","1600000US0803455","","","","","",3
"Atlanta","GA","1600000US1304000","","","","","",3
"Aurora (CO)","CO","1600000US0804000","","","","","",2
"Aurora (IL)","IL","1600000US1703012","","","","","",0
"Austin","TX","1600000US4805000","","","","","",0
"Bakersfield","CA","1600000US0603526","","","","","",0
"Baltimore","MD","1600000US2404000","","","","","",4
"Baton Rouge","LA","1600000US2205000","","","","","",3
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",13
"Beaumont","TX","1600000US4807000","","","","","",5
"Bellevue","WA","1600000US5305210","","","","","",0
"Berkeley","CA","1600000US0606000","","","","","",0
"Billings","MT","1600000US3006550","","","","","",0
"Birmingham","AL","1600000US0107000","","","","","",1
"Boise City","ID","1600000US1608830","","","","","",12
"Boston","MA","1600000US2507000","","","","","",0
"Bridgeport","CT","1600000US0908000","","","","","",0
"Brownsville","TX","1600000US4810768","","","","","",0
"Buffalo","NY","1600000US3611000","","","","","",6
"Burbank","CA","1600000US0608954","","","","","",0
"Burlington","VT","1600000US5010675","","","","","",0
"Cambridge","MA","1600000US2511000","","","","","",0
"Cape Coral","FL","1600000US1210275","","","","","",8
"Carlsbad","CA","1600000US0611194","","","","","",0
"Carolina","PR","1600000US7214290","","","","","",0
"Carrollton","TX","1600000US4813024","","","","","",2
"Cedar Rapids","IA","1600000US1912000","","","","","",0
"Centennial","CO","1600000US0812815","","","","","",0
"Chandler","AZ","1600000US0412000","","","","","",11
"Charleston (SC)","SC","1600000US4513330","","","","","",8
"Charleston (WV)","WV","1600000US5414600","","","","","",0
"Charlotte","NC","1600000US3712000","","","","","",3
"Chattanooga","TN","1600000US4714000","","","","","",0
"Chesapeake","VA","1600000US5116000","","","","","",0
"Cheyenne","WY","1600000US5613900","","","","","",0
"Chicago","IL","1600000US1714000","","","","","",3
"Chula Vista","CA","1600000US0613392","","","","","",0
"Cincinnati","OH","1600000US3915000","","","","","",0
"Clarksville","TN","1600000US4715160","","","","","",0
"Clearwater","FL","1600000US1212875","","","","","",4
"Cleveland","OH","1600000US3916000","","","","","",4
"Colorado Springs","CO","1600000US0816000","","","","","",0
"Columbia (MO)","MO","1600000US2915670","","","","","",0
"Columbia (SC)","SC","1600000US4516000","","","","","",2
"Columbus (GA)","GA","1600000US1319000","","","","","",0
"Columbus (OH)","OH","1600000US3918000","","","","","",4
"Concord","CA","1600000US0616000","","","","","",0
"Coral Springs","FL","1600000US1214400","","","","","",11
"Corona","CA","1600000US0616350","","","","","",11
"Corpus Christi","TX","1600000US4817000","","","","","",8
"Costa Mesa","CA","1600000US0616532","","","","","",0
"Dallas","TX","1600000US4819000","","","","","",0
"Daly City","CA","1600000US0617918","","","","","",0
"Davenport","IA","1600000US1919000","","","","","",0
"Dayton","OH","1600000US3921000","","","","","",0
"Denton","TX","1600000US4819972","","","","","",4
"Denver","CO","1600000US0820000","","","","","",13
"Des Moines","IA","1600000US1921000","","","","","",4
"Detroit","MI","1600000US2622000","","","","","",0
"Downey","CA","1600000US0619766","","","","","",12
"Durham","NC","1600000US3719000","","","","","",2
"El Monte","CA","1600000US0622230","","","","","",0
"El Paso","TX","1600000US4824000","","","","","",5
"Elgin","IL","1600000US1723074","","","","","",0
"Elizabeth","NJ","1600000US3421000","","","","","",12
"Elk Grove","CA","1600000US0622020","","","","","",0
"Escondido","CA","1600000US0622804","","","","","",1
"Eugene","OR","1600000US4123850","","","","","",0
"Evansville","IN","1600000US1822000","","","","","",5
"Everett","WA","1600000US5322640","","","","","",0
"Fairfield","CA","1600000US0623182","","","","","",0
"Fargo","ND","1600000US3825700","","","","","",0
"Fayetteville","NC","1600000US3722920","","","","","",0
"Fontana","CA","1600000US0624680","","","","","",0
"Fort Collins","CO","1600000US0827425","","","","","",0
"Fort Lauderdale","FL","1600000US1224000","","","","","",12
"Fort Wayne","IN","1600000US1825000","","","","","",0
"Fort Worth","TX","1600000US4827000","","","","","",4
"Fremont","CA","1600000US0626000","","","","","",0
"Fresno","CA","1600000US0627000","","","","","",5
"Frisco","TX","1600000US4827684","","","","","",0
"Fullerton","CA","1600000US0628000","","","","","",0
"Gainesville","FL","1600000US1225175","","","","","",3
"Garden Grove","CA","1600000US0629000","","","","","",0
"Garland","TX","1600000US4829000","","","","","",3
"Glendale (AZ)","AZ","1600000US0427820","","","","","",6
"Glendale (CA)","CA","1600000US0630000","","","","","",0
"Grand Prairie","TX","1600000US4830464","","","","","",0
"Grand Rapids","MI","1600000US2634000","","","","","",0
"Green Bay","WI","1600000US5531000","","","","","",6
"Greensboro","NC","1600000US3728000","","","","","",6
"Gresham","OR","1600000US4131250","","","","","",0
"Hampton","VA","1600000US5135000","","","","","",0
"Hartford","CT","1600000US0937000","","","","","",13
"Hayward","CA","1600000US0633000","","","","","",0
"Henderson","NV","1600000US3231900","","","","","",0
"Hialeah","FL","1600000US1230000","","","","","",12
"High Point","NC","1600000US3731400","","","","","",0
"Hollywood","FL","1600000US1232000","","","","","",3
"Honolulu","HI","1600000US1571550","","","","","",0
"Houston","TX","1600000US4835000","","","","","",6
"Huntington Beach","CA","1600000US0636000","","","","","",0
"Huntsville","AL","1600000US0137000","","","","","",0
"Independence","MO","1600000US2935000","","","","","",0
"Indianapolis","IN","1600000US1836003","","","","","",5
"Inglewood","CA","1600000US0636546","","","","","",0
"Irvine","CA","1600000US0636770","","","","","",0
"Irving","TX","1600000US4837000","","","","","",3
"Jackson","MS","1600000US2836000","","","","","",0
"Jacksonville","FL","1600000US1235000","","","","","",2
"Jersey City","NJ","1600000US3436000","","","","","",2
"Joliet","IL","1600000US1738570","","","","","",0
"Kansas City (KS)","KS","1600000US2036000","","","","","",0
"Kansas City (MO)","MO","1600000US2938000","","","","","",0
"Kent","WA","1600000US5335415","","","","","",13
"Killeen","TX","1600000US4839148","","","","","",13
"Knoxville","TN","1600000US4740000","","","","","",0
