City,Geo_ID,Latitutde,Longitude,State,Flood Instances,Flood Injuries Direct,Flood Injuries Indirect,Total Flood Injuries,Flood Deaths Direct,Flood Deaths Indirect,Total Flood Deaths0,Flood Damage,Heat Instances,Heat Injuries Direct,Heat Injuries Indirect,Total Heat Injuries,Heat Deaths Direct,Heat Deaths Indirect,Total Heat Deaths,Heat Damage,Cold Instances,Cold Injuries Direct,Cold Injuries Indirect,Total Cold Injuries,Cold Deaths Direct,Cold Deaths Indirect,Total Cold Deaths,Cold Damage,Coastal Flood Instances,Coastal Flood Injuries Direct,Coastal Flood Injuries Indirect,Total Coastal Flood Injuries,Coastal Flood Deaths Direct,Coastal Flood Deaths Indirect,Total Coastal Flood Deaths,Coastal Flood Damage
Birmingham,1600000US0107000,33.5207,-86.8025,Alabama,21,0,0,0,0,0,0,24400,6,0,0,0,1,0,1,13223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntsville,1600000US0137000,34.7304,-86.5861,Alabama,37,0,0,0,0,0,0,44432,31,33,49,82,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobile,1600000US0150000,30.6954,-88.0399,Alabama,24,0,0,0,0,0,0,2669516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,1600000US0151000,32.3668,-86.3,Alabama,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,30374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage,1600000US0203000,61.2181,-149.9003,Alaska,3,0,0,0,0,0,0,3590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandler,1600000US0412000,33.3062,-111.8413,Arizona,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3276234,0,0,0,0,0,0,0,0
Glendale,1600000US0427820,33.5387,-112.186,Arizona,5,0,0,0,0,0,0,57,12,0,0,0,1,0,1,0,8,0,0,0,0,0,0,3046452,0,0,0,0,0,0,0,0
Mesa,1600000US0446000,33.4152,-111.8315,Arizona,22,0,0,0,0,0,0,6453536,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6951688,0,0,0,0,0,0,0,0
Peoria,1600000US0454050,33.5806,-112.2374,Arizona,5,0,0,0,0,0,0,9568904,14,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4520920,0,0,0,0,0,0,0,0
Phoenix,1600000US0455000,33.4484,-112.074,Arizona,55,0,7,7,0,0,0,5900743,12,0,0,0,5,0,5,0,8,0,1,1,0,0,0,24461766,0,0,0,0,0,0,0,0
Scottsdale,1600000US0465000,33.4942,-111.9261,Arizona,19,0,0,0,1,0,1,289223,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8083947,0,0,0,0,0,0,0,0
Surprise,1600000US0471510,33.6292,-112.3679,Arizona,6,0,0,0,0,0,0,539693,12,0,0,0,1,0,1,0,8,0,0,0,0,0,0,5007605,0,0,0,0,0,0,0,0
Tempe,1600000US0473000,33.4255,-111.94,Arizona,7,0,0,0,0,0,0,54779,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2286226,0,0,0,0,0,0,0,0
Tucson,1600000US0477000,32.2217,-110.9265,Arizona,40,1,0,1,1,0,1,1093969,9,15,0,15,6,0,6,0,4,1,1,2,2,0,2,115453,0,0,0,0,0,0,0,0
Little Rock,1600000US0541000,34.7465,-92.2896,Arkansas,27,0,0,0,0,0,0,6848751,10,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaheim,1600000US0602000,33.8366,-117.9143,California,4,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioch,1600000US0602252,38.0049,-121.8058,California,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakersfield,1600000US0603526,35.3733,-119.0187,California,15,0,0,0,0,0,0,10435130,4,0,1,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,1600000US0606000,37.8716,-122.2727,California,2,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burbank,1600000US0608954,34.1808,-118.309,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlsbad,1600000US0611194,33.1581,-117.3506,California,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Chula Vista,1600000US0613392,32.6401,-117.0842,California,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Concord,1600000US0616000,37.978,-122.0311,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
